episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,is_best,wall_sec
50,45.3333,3.9861,7.3333,0.6118,875.6124,0.25,1,1238.1
100,46.0833,3.796,7.6667,0.6092,893.0275,0.4167,1,2614.0
150,43.8333,4.0173,7.0,0.5871,875.513,0.0,0,3984.2
200,46.0,4.0415,7.8333,0.5945,891.2219,0.3333,0,5349.9
250,46.9167,2.8419,8.1667,0.605,904.7334,0.3333,1,6716.0
300,47.25,3.3198,8.0,0.5957,906.3377,0.3333,1,8071.0
350,47.0833,3.5227,8.0,0.5902,922.3276,0.4167,0,9412.5
400,46.75,2.8904,8.0,0.5878,904.1465,0.25,0,10750.0
450,46.8333,2.6405,7.75,0.592,907.778,0.25,0,12124.5
500,47.5,2.7839,8.0,0.6026,912.304,0.4167,1,13470.5
550,47.4167,2.431,7.8333,0.6009,904.6862,0.25,0,14723.3
600,47.3333,2.1731,8.0833,0.6184,916.3739,0.25,0,16084.8
650,48.0833,1.3819,8.1667,0.6114,915.9388,0.25,1,17432.9
700,47.0,3.0,7.9167,0.6065,910.3886,0.3333,0,18632.7
750,49.25,1.3617,8.4167,0.6139,923.5176,0.75,1,19773.7
800,47.3333,2.5604,8.0833,0.6273,912.0767,0.3333,0,20927.9
850,47.75,2.1262,8.3333,0.6056,915.7787,0.4167,0,22088.7
900,47.0833,2.3614,8.1667,0.614,907.2487,0.1667,0,23223.1
950,48.8333,1.8634,8.25,0.625,920.783,0.6667,0,24373.8
1000,47.6667,2.5604,8.25,0.6227,902.5205,0.3333,0,25351.0
1050,47.6667,3.0092,8.0833,0.6188,912.5886,0.5,0,26273.3
1100,47.6667,2.5927,8.1667,0.6213,920.2307,0.3333,0,27171.0
1150,47.75,3.2178,8.0,0.6323,921.3337,0.4167,0,27886.8
1200,48.1667,2.0344,8.3333,0.6323,914.5681,0.4167,0,28559.7
1250,49.0833,1.441,8.25,0.6193,919.0439,0.5833,0,29231.3
1300,48.75,1.299,8.25,0.6186,926.3397,0.3333,0,29904.7
1350,48.1667,1.6245,8.25,0.6319,918.7895,0.3333,0,30575.3
1400,48.9167,1.6051,8.4167,0.6256,920.6805,0.5833,0,31248.1
1450,49.0833,1.3819,8.4167,0.6301,922.2247,0.6667,0,31907.5
1500,48.5,1.2583,8.25,0.6189,912.0275,0.3333,0,32503.9
