episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,4,50,1000,620.0,45,,7,0.6005,882.5,0.2569,15,step_limit,0.2161,1.6
2,4,50,1000,630.0,46,,7,0.5975,904.5,0.2636,28,step_limit,0.1927,2.6
3,4,50,1000,580.0,41,,7,0.6218,911.1,0.3229,36,step_limit,0.2135,3.7
4,4,50,1000,590.0,42,,7,0.5935,884.1,0.2173,24,step_limit,0.1763,4.8
5,4,50,1000,380.0,30,,4,0.2737,766.9,0.093,11,step_limit,0.0714,16.2
6,4,50,1000,450.0,34,,5,0.412,829.2,0.2668,23,step_limit,0.0375,36.6
7,4,50,1000,470.0,36,,5,0.543,884.2,0.4546,111,step_limit,0.1649,64.1
8,4,50,1000,640.0,47,,7,0.6485,909.5,0.5045,41,step_limit,0.1262,92.1
9,4,50,1000,580.0,44,,6,0.6508,909.7,0.6013,221,step_limit,0.125,119.7
10,4,50,886,704.56,50,886,8,0.6377,950.8,0.4275,68,complete,0.135,144.5
11,4,50,993,730.28,50,993,9,0.644,909.2,0.4163,58,complete,0.1359,171.0
12,4,50,1000,520.0,41,,5,0.5607,835.6,0.5446,278,step_limit,0.086,198.8
13,4,50,1000,610.0,44,,7,0.608,936.0,0.462,39,step_limit,0.1378,226.3
14,4,50,1000,690.0,49,,8,0.6302,929.3,0.4027,23,step_limit,0.0971,254.1
15,4,50,852,445.92,33,,5,0.6717,724.0,0.6911,408,no_progress,0.1,275.9
16,4,50,941,302.36,25,,3,0.6735,682.7,0.8057,450,no_progress,0.04,302.2
17,4,50,1000,690.0,49,,8,0.6012,878.9,0.5356,67,step_limit,0.1143,329.7
18,4,50,1000,380.0,30,,4,0.5725,822.3,0.6937,275,step_limit,0.0833,356.8
19,4,50,1000,570.0,43,,6,0.5725,817.9,0.6558,222,step_limit,0.0579,384.4
20,4,50,1000,530.0,39,,6,0.67,857.9,0.6541,116,step_limit,0.0707,410.4
21,4,50,1000,670.0,47,,8,0.6565,865.2,0.4168,106,step_limit,0.1475,437.8
22,4,50,1000,580.0,44,,6,0.6755,909.5,0.6323,118,step_limit,0.0714,465.8
