episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,4,50,1000,600.0,43,,7,0.6075,863.3,0.4006,30,step_limit,0.1264,3.7
2,4,50,1000,570.0,40,,7,0.633,887.9,0.4623,35,step_limit,0.1,5.1
3,4,50,1000,540.0,40,,6,0.582,830.4,0.3497,58,step_limit,0.1099,6.4
4,4,50,1000,400.0,32,,4,0.6118,816.6,0.5192,66,step_limit,0.125,7.9
5,4,50,1000,410.0,30,,5,0.4893,696.3,0.4992,29,step_limit,0.0877,13.6
6,4,50,1000,290.0,27,,2,0.096,509.8,0.0721,17,step_limit,0.0788,38.1
7,4,50,1000,270.0,25,,2,0.2702,710.1,0.1983,23,step_limit,0.1717,63.7
8,4,50,1000,510.0,40,,5,0.4855,837.5,0.1343,8,step_limit,0.2727,91.4
9,4,50,1000,610.0,44,,7,0.529,810.5,0.1599,16,step_limit,0.3063,119.5
10,4,50,1000,530.0,39,,6,0.5713,889.6,0.2517,23,step_limit,0.25,146.9
11,4,50,1000,660.0,49,,7,0.5958,956.8,0.2446,41,step_limit,0.2451,174.9
12,4,50,1000,500.0,39,,5,0.64,954.9,0.4057,38,step_limit,0.2151,200.9
13,4,50,1000,420.0,34,,4,0.6587,901.8,0.648,305,step_limit,0.1235,228.1
14,4,50,1000,690.0,49,,8,0.6743,923.3,0.4698,153,step_limit,0.1725,255.6
15,4,50,969,701.24,50,969,8,0.662,937.4,0.4389,27,complete,0.1912,282.3
16,4,50,974,471.04,36,,5,0.6368,760.5,0.6541,393,no_progress,0.2098,309.0
17,4,50,1000,660.0,46,,8,0.6577,927.4,0.3902,23,step_limit,0.1942,335.0
18,4,50,714,711.44,50,714,8,0.5858,911.1,0.2416,29,complete,0.0962,355.3
19,4,50,1000,550.0,41,,6,0.6683,831.8,0.5266,43,step_limit,0.0994,382.6
20,4,50,1000,480.0,37,,5,0.6425,830.6,0.5247,59,step_limit,0.1173,409.8
21,4,50,1000,550.0,41,,6,0.588,877.2,0.42,55,step_limit,0.1,435.6
22,4,50,1000,610.0,47,,6,0.6542,922.7,0.4061,27,step_limit,0.1051,462.8
23,4,50,1000,520.0,38,,6,0.6492,795.3,0.4847,43,step_limit,0.1147,490.0
24,4,50,1000,530.0,42,,5,0.58,751.3,0.4236,36,step_limit,0.0772,518.0
25,4,50,1000,400.0,32,,4,0.656,834.3,0.5668,56,step_limit,0.148,545.6
26,4,50,1000,550.0,41,,6,0.6348,883.4,0.4887,85,step_limit,0.1437,571.2
27,4,50,1000,490.0,38,,5,0.6488,873.3,0.5202,98,step_limit,0.0952,598.5
28,4,50,1000,440.0,33,,5,0.6633,760.6,0.5102,249,step_limit,0.0779,625.9
