episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,is_best,wall_sec
50,36.9167,12.8547,5.0,0.6441,834.9639,0.0833,1,768.4
100,44.8333,3.8909,7.25,0.6417,892.4677,0.1667,1,1629.3
150,43.1667,6.0942,7.0,0.6284,869.4191,0.25,0,2558.0
200,45.3333,3.5198,7.5,0.6466,906.0998,0.0833,1,3488.5
250,43.6667,2.7487,7.0833,0.6426,890.5322,0.0,0,4371.5
300,43.75,4.9519,7.4167,0.6314,897.3336,0.0,0,5353.3
350,46.5,2.3274,7.8333,0.6374,915.3541,0.1667,1,6330.8
400,45.5,6.7392,7.9167,0.6013,897.6661,0.4167,0,7294.5
450,45.75,2.1651,8.0,0.6145,909.2768,0.0833,0,8337.8
500,47.75,1.8764,8.3333,0.6161,913.2331,0.3333,1,9378.1
550,47.5833,1.9347,8.0833,0.6038,915.8138,0.3333,0,10378.4
600,46.5,2.5658,7.75,0.6072,885.477,0.1667,0,11380.7
650,47.5833,1.9347,8.0833,0.6187,923.9027,0.3333,0,12475.5
700,42.9167,4.1924,7.0833,0.6064,878.5331,0.0833,0,13519.3
750,46.0833,3.1214,7.8333,0.6133,901.5242,0.25,0,14489.3
800,44.5,3.594,7.5833,0.5967,898.3911,0.0833,0,15513.8
850,46.8333,2.9392,8.1667,0.5979,905.5966,0.3333,0,16524.6
900,45.75,2.681,7.8333,0.596,907.6936,0.1667,0,17509.5
950,45.8333,4.6338,8.0,0.6118,902.057,0.3333,0,18364.2
1000,46.8333,2.8819,8.0833,0.6018,916.1235,0.3333,0,19128.9
1050,45.4167,1.9773,8.0,0.6186,891.751,0.0,0,20052.1
1100,48.0833,1.441,8.4167,0.6216,905.4966,0.25,1,20878.6
1150,46.8333,3.9965,7.9167,0.6007,908.3231,0.5,0,21741.3
1200,46.6667,2.4267,8.1667,0.6159,923.3229,0.0833,0,22578.4
1250,45.4167,4.2123,7.75,0.6028,894.8058,0.1667,0,23496.9
1300,45.75,3.3696,7.6667,0.6069,910.8405,0.1667,0,24365.0
1350,45.6667,3.7044,7.9167,0.5966,901.8876,0.25,0,25138.2
1400,44.0,3.4641,7.5,0.5913,882.6586,0.0,0,25856.2
1450,44.8333,2.4438,7.9167,0.6102,905.8503,0.0833,0,26536.5
1500,47.0833,1.6051,7.8333,0.5942,904.4291,0.0833,0,27308.9
