episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,6,57,1000,549.326,53,,8,0.5012,794.2,0.1557,4,step_limit,0.1529,1.2
2,3,50,1000,528.414,45,,8,0.425,768.3,0.1978,35,step_limit,0.1818,1.7
3,6,72,914,872.543,72,914,13,0.5263,798.8,0.2013,8,complete,0.1612,2.7
4,3,46,1000,297.52,32,,5,0.2307,529.4,0.3013,58,step_limit,0.1583,4.3
5,4,58,1000,285.034,41,,6,0.3937,898.0,0.1455,14,step_limit,0.21,10.3
6,3,61,842,331.679,32,,6,0.5281,593.9,0.7018,487,no_progress,0.0947,17.8
7,3,30,627,369.2,30,627,5,0.4891,774.2,0.1518,31,complete,0.2083,26.5
8,3,69,1000,556.374,50,,8,0.4727,678.1,0.5227,97,step_limit,0.0349,45.8
9,4,66,1000,625.485,58,,8,0.6082,888.4,0.4516,50,step_limit,0.1932,62.3
10,4,26,447,240.751,26,447,2,0.5593,817.6,0.5211,73,complete,0.0156,73.6
11,6,32,222,371.686,32,222,4,0.4857,698.6,0.0121,0,complete,0.0797,77.8
12,4,35,361,432.794,35,361,5,0.4494,706.6,0.1766,12,complete,0.0805,83.8
13,4,23,388,281.941,23,388,4,0.4865,813.4,0.3328,20,complete,0.0698,90.1
14,3,61,1000,553.887,50,,8,0.4623,770.7,0.4378,81,step_limit,0.0513,110.0
15,5,78,841,991.149,78,841,13,0.5553,759.5,0.3773,14,complete,0.0608,123.7
16,6,46,572,526.467,46,572,7,0.5903,884.3,0.3865,12,complete,0.013,133.5
17,5,74,1000,789.628,66,,11,0.5404,636.9,0.4792,21,step_limit,0.015,154.5
18,4,24,335,287.167,24,335,4,0.5224,750.0,0.2103,13,complete,0.0179,160.4
19,5,24,326,222.992,24,326,2,0.6417,837.1,0.2964,10,complete,0.0049,166.2
20,4,66,888,871.104,66,888,12,0.4693,621.2,0.3077,19,complete,0.0363,185.0
21,4,43,570,576.251,43,570,8,0.4737,625.6,0.3204,38,complete,0.0685,194.5
22,4,43,531,516.369,43,531,6,0.3395,487.0,0.2391,11,complete,0.0036,203.7
23,3,22,991,200.561,21,,3,0.6152,777.9,0.6678,449,no_progress,0.0315,223.7
24,4,35,466,448.011,35,466,6,0.5198,771.5,0.2802,32,complete,0.0403,231.9
25,5,25,328,200.58,25,328,1,0.6287,885.5,0.1519,3,complete,0.0829,237.8
26,4,79,1000,693.094,62,,10,0.3093,603.1,0.4026,107,step_limit,0.0491,257.8
27,6,63,584,754.76,63,584,10,0.6701,1118.3,0.2494,11,complete,0.0789,268.2
28,3,77,1000,599.243,52,,9,0.4147,602.4,0.3406,70,step_limit,0.0962,288.5
29,4,34,1000,227.4,29,,4,0.5735,883.2,0.3858,39,step_limit,0.0549,306.4
30,4,25,1000,125.968,23,,3,0.6805,897.1,0.4061,30,step_limit,0.0878,326.6
31,6,68,847,790.598,68,847,10,0.5864,788.8,0.2171,24,complete,0.0657,341.2
32,4,79,1000,736.0,64,,11,0.4843,759.6,0.3174,36,step_limit,0.1426,362.1
