episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,41.0833,7.2624,6.0833,0.6581,850.527,0.0833,1339.5,13.8683,1,619.7
100,49.9167,0.2764,8.5,0.6467,930.0609,0.9167,1391.75,97.0275,1,1340.4
150,49.5,1.6583,8.5833,0.6674,924.5495,0.9167,1479.3333,96.7356,0,2136.1
200,49.9167,0.2764,8.4167,0.6454,923.1412,0.9167,1295.0833,97.3497,1,2955.7
250,50.0,0.0,8.5833,0.6258,931.0183,1.0,1159.9167,106.1336,1,3709.9
300,49.5833,0.9538,8.4167,0.6198,930.3044,0.8333,1301.0833,88.9964,0,4548.0
350,50.0,0.0,8.3333,0.6304,933.4654,1.0,1250.3333,105.8322,0,5366.5
400,50.0,0.0,8.6667,0.6237,932.9748,1.0,1131.8333,106.2272,1,6101.5
450,50.0,0.0,8.5,0.6241,931.3188,1.0,1200.3333,105.9989,0,6850.9
500,48.1667,6.0805,8.0,0.606,913.1875,0.9167,1139.25,97.8692,0,7593.0
550,50.0,0.0,8.25,0.6367,931.8294,1.0,1184.5,106.0517,0,8346.0
600,49.9167,0.2764,8.0833,0.6237,932.6243,0.9167,1113.0833,97.9564,0,9096.0
650,50.0,0.0,8.5,0.6241,928.5506,1.0,1236.4167,105.8786,0,9853.5
700,49.25,2.4875,8.0,0.6172,930.3836,0.9167,1271.0,97.43,0,10620.1
750,50.0,0.0,8.3333,0.6231,933.9926,1.0,1246.5,105.845,0,11350.2
800,50.0,0.0,8.3333,0.6382,927.828,1.0,1212.0833,105.9597,0,12071.9
850,50.0,0.0,8.0833,0.6383,931.6882,1.0,1276.75,105.7442,0,12794.3
900,50.0,0.0,8.5,0.6359,930.5337,1.0,1327.3333,105.5756,0,13472.9
950,49.8333,0.5528,8.5,0.6332,929.9584,0.9167,1489.0,96.7033,0,14152.0
1000,49.4167,1.9347,8.3333,0.6331,930.2724,0.9167,1333.0,97.2233,0,14838.9
1050,50.0,0.0,8.9167,0.6219,931.0311,1.0,1269.3333,105.7689,0,15547.3
1100,49.6667,1.1055,8.5,0.6564,929.8077,0.9167,1373.1667,97.0894,0,16087.1
1150,49.1667,2.7639,8.1667,0.6426,921.9411,0.9167,1211.9167,97.6269,0,16647.2
