episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,49.25,1.1637,8.1667,0.6661,923.5046,0.6667,1483.75,71.7208,1,749.4
100,49.5833,1.3819,8.25,0.6501,926.672,0.9167,1519.8333,96.6006,1,1569.5
150,50.0,0.0,8.4167,0.6505,932.3212,1.0,1364.0,105.4533,1,2474.5
200,49.5,1.6583,8.25,0.6467,926.63,0.9167,1478.5,96.7383,0,3334.5
250,49.4167,1.0375,8.0833,0.6117,925.6868,0.75,1462.0833,80.1264,0,4203.4
300,50.0,0.0,8.3333,0.6399,930.6915,1.0,1281.0,105.73,1,5142.7
350,50.0,0.0,8.0,0.6153,930.4483,1.0,1322.25,105.5925,0,5918.1
400,47.0833,9.6735,7.5,0.5881,899.7853,0.9167,1234.6667,97.5511,0,6739.3
450,50.0,0.0,8.4167,0.6277,929.0274,1.0,1270.8333,105.7639,1,7521.9
500,50.0,0.0,8.25,0.6345,932.53,1.0,1271.0,105.7633,0,8296.4
550,49.1667,2.7639,8.1667,0.6296,925.43,0.9167,1317.4167,97.2753,0,9054.4
600,50.0,0.0,8.25,0.6401,930.921,1.0,1279.1667,105.7361,0,9800.0
650,49.75,0.8292,8.4167,0.6202,923.2018,0.9167,1274.8333,97.4172,0,10603.8
700,49.8333,0.5528,8.75,0.6209,929.3169,0.9167,1362.1667,97.1261,0,11399.8
750,49.1667,2.2298,8.5,0.6427,926.0938,0.8333,1347.0,88.8433,0,12181.4
800,50.0,0.0,8.5833,0.643,932.0058,1.0,1345.0,105.5167,0,12894.9
850,50.0,0.0,8.4167,0.6311,931.2891,1.0,1323.0,105.59,0,13695.7
900,50.0,0.0,8.5,0.6289,928.9796,1.0,1294.75,105.6842,0,14490.1
950,49.9167,0.2764,8.5,0.6233,927.0156,0.9167,1147.8333,97.8406,0,15227.0
1000,50.0,0.0,8.5833,0.6426,932.043,1.0,1316.0,105.6133,0,15856.1
1050,50.0,0.0,8.3333,0.6248,930.9173,1.0,1382.0833,105.3931,0,16466.9
1100,49.8333,0.5528,8.3333,0.6239,931.996,0.9167,1232.25,97.5592,0,16917.5
1150,50.0,0.0,8.6667,0.6471,931.3492,1.0,1295.6667,105.6811,0,17282.3
1200,48.5833,4.6986,8.3333,0.6481,912.3532,0.9167,1170.8333,97.7639,0,17672.5
