episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,6,57,1000,571.895,55,,9,0.5652,756.1,0.3772,12,step_limit,0.1738,2.4
2,3,50,1000,386.51,38,,6,0.459,726.3,0.3585,50,step_limit,0.1986,3.5
3,6,72,946,834.207,72,946,12,0.5758,796.1,0.2305,12,complete,0.1844,5.2
4,3,46,1000,311.387,33,,5,0.288,508.5,0.4291,156,step_limit,0.119,9.8
5,4,58,1000,443.117,48,,7,0.6342,884.7,0.396,39,step_limit,0.3554,30.3
6,3,61,1000,742.961,59,,10,0.5047,778.9,0.2231,56,step_limit,0.2861,48.3
7,3,30,674,324.83,30,674,4,0.5035,769.3,0.3529,144,complete,0.3286,63.1
8,3,69,1000,662.565,57,,9,0.4987,768.4,0.3481,60,step_limit,0.2816,81.0
9,4,66,1000,518.388,50,,8,0.5995,863.4,0.4871,35,step_limit,0.2367,101.6
10,4,26,629,234.948,26,629,3,0.4797,812.8,0.5263,55,complete,0.2426,112.9
11,6,32,349,348.054,32,349,4,0.5415,689.1,0.4231,10,complete,0.1122,119.4
12,4,35,400,424.251,35,400,5,0.4662,707.4,0.1642,27,complete,0.0877,129.9
13,4,23,354,259.77,23,354,3,0.5035,815.1,0.3107,14,complete,0.1548,136.4
14,3,61,881,275.862,33,,4,0.5316,664.7,0.7668,519,no_progress,0.2178,152.5
15,5,78,830,958.885,78,830,12,0.4672,761.8,0.4362,62,complete,0.115,170.8
16,6,46,418,527.529,46,418,6,0.5582,881.6,0.3949,8,complete,0.0821,180.2
17,5,74,955,941.993,74,955,13,0.4884,772.9,0.3211,13,complete,0.1126,202.9
18,4,24,449,252.34,24,449,3,0.5874,761.2,0.4104,13,complete,0.1354,211.7
19,5,24,348,224.933,24,348,2,0.6966,834.0,0.2812,20,complete,0.0537,219.1
20,4,66,648,899.238,66,648,12,0.4533,619.8,0.2808,39,complete,0.0858,233.4
21,4,43,578,522.21,43,578,7,0.433,620.0,0.4202,119,complete,0.05,244.7
22,4,43,670,497.181,43,670,7,0.4052,495.3,0.6005,116,complete,0.0222,256.9
23,3,22,761,80.947,16,,1,0.6334,660.7,0.7724,309,no_progress,0.2407,273.1
24,4,35,900,360.754,35,900,5,0.6031,772.1,0.4853,22,complete,0.2326,289.4
25,5,25,445,224.41,25,445,2,0.7164,884.3,0.3153,13,complete,0.272,300.2
26,4,79,1000,796.41,69,,11,0.4395,622.0,0.5222,98,step_limit,0.1443,317.9
27,6,63,1000,624.448,61,,9,0.7145,1118.9,0.287,11,step_limit,0.2778,338.5
