episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,50.0,0.0,7.725,0.6331,934.7266,1.0,1010.075,106.6331,1,640.8
100,49.5,2.5298,8.25,0.6381,932.4077,0.925,1187.6,98.5413,0,1328.1
150,49.85,0.691,8.075,0.6315,932.6206,0.95,1107.4,101.3087,0,2049.1
200,49.8,1.1,8.225,0.6433,930.7917,0.95,1232.575,100.8914,0,2787.0
250,47.975,6.1987,8.025,0.6361,915.4172,0.9,1135.85,96.2138,0,3470.8
300,50.0,0.0,8.3,0.6473,932.7749,1.0,1200.1,105.9997,0,4163.0
350,50.0,0.0,8.475,0.6462,932.6183,1.0,1296.275,105.6791,0,4914.0
400,49.975,0.1561,8.35,0.6438,932.7723,0.975,1095.05,103.8498,0,5618.2
450,49.675,1.876,8.275,0.6472,932.9433,0.95,1132.925,101.2236,0,6364.1
500,49.975,0.1561,8.325,0.6437,933.6187,0.975,1117.85,103.7738,0,7075.5
550,49.625,2.3419,8.4,0.6364,930.6293,0.975,1137.625,103.7079,0,7775.6
600,50.0,0.0,8.55,0.6356,934.8945,1.0,1134.35,106.2188,0,8479.0
650,49.5,2.6646,8.425,0.6403,932.2543,0.925,1213.25,98.4558,0,9216.5
700,49.425,2.3863,8.3,0.6393,926.6292,0.875,1186.45,93.5452,0,9964.1
750,49.925,0.4684,8.25,0.6355,933.6574,0.975,1087.65,103.8745,0,10675.8
800,49.925,0.4684,8.35,0.6402,934.3966,0.975,1136.875,103.7104,0,11380.0
