episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,5,43,1000,241.512,35,,5,0.58,784.5,0.4555,36,step_limit,0.0627,1.6
2,4,74,1000,862.065,69,,12,0.4265,542.1,0.3672,41,step_limit,0.0752,2.5
3,5,43,1000,381.267,38,,6,0.3334,579.5,0.1587,6,step_limit,0.0609,3.4
4,4,23,1000,60.157,20,,3,0.585,944.8,0.5525,177,step_limit,0.0784,4.3
5,4,31,1000,192.052,27,,4,0.542,727.7,0.4278,52,step_limit,0.125,7.7
6,3,68,1000,734.943,60,,10,0.3863,627.3,0.3069,58,step_limit,0.1947,22.7
7,6,44,342,514.048,44,342,6,0.5395,833.8,0.1924,5,complete,0.2743,29.6
8,6,30,228,285.3,30,228,2,0.6447,771.7,0.1716,2,complete,0.317,33.7
9,6,42,456,474.154,42,456,6,0.6594,829.9,0.3121,15,complete,0.3104,41.9
10,6,47,723,527.28,47,723,7,0.6289,853.2,0.5749,143,complete,0.3225,56.9
11,5,21,326,194.438,21,326,2,0.4417,578.5,0.4241,11,complete,0.3321,62.5
12,3,37,596,469.971,37,596,6,0.373,740.9,0.1969,59,complete,0.3251,72.7
13,6,28,308,283.056,28,308,3,0.4632,618.2,0.272,11,complete,0.22,78.1
14,3,41,1000,431.924,40,,6,0.5187,783.2,0.3796,201,step_limit,0.3333,99.0
15,3,66,1000,721.086,60,,9,0.4913,772.7,0.1578,22,step_limit,0.312,116.7
16,4,71,970,913.279,71,970,13,0.507,839.3,0.1739,22,complete,0.3108,137.7
17,4,24,396,224.377,24,396,2,0.6162,1044.9,0.1165,9,complete,0.4364,145.7
18,5,49,557,595.374,49,557,8,0.488,729.3,0.3282,29,complete,0.2774,155.6
19,6,34,318,399.026,34,318,5,0.5749,864.7,0.1645,6,complete,0.3011,165.2
20,3,48,1000,500.763,42,,8,0.3887,650.7,0.3351,46,step_limit,0.2727,184.4
21,4,63,941,777.198,63,941,11,0.5446,937.3,0.3298,30,complete,0.2206,206.7
22,6,46,382,513.345,46,382,6,0.6139,797.6,0.1759,3,complete,0.2759,213.8
23,3,44,844,563.875,44,844,8,0.5233,782.1,0.2258,32,complete,0.2821,228.5
