episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,49.1,2.99,7.725,0.6461,926.9991,0.85,1264.5,90.785,1,660.2
100,49.975,0.1561,8.125,0.6496,936.5804,0.975,1197.2,103.5093,1,1401.7
150,50.0,0.0,8.4,0.6381,934.8069,1.0,1116.6,106.278,1,2140.9
200,49.35,3.0541,8.125,0.648,928.8926,0.925,1172.1,98.593,0,2834.2
250,49.875,0.7806,8.325,0.6474,932.5452,0.975,1186.85,103.5438,0,3541.1
300,50.0,0.0,8.525,0.647,933.5816,1.0,1145.675,106.1811,0,4267.4
350,50.0,0.0,8.35,0.6409,934.9696,1.0,1078.8,106.404,1,4981.8
400,49.9,0.6245,8.45,0.6332,936.3079,0.975,1074.1,103.9197,0,5717.5
450,49.925,0.4684,8.35,0.6233,933.5553,0.975,1101.275,103.8291,0,6448.7
500,50.0,0.0,8.375,0.6229,933.5789,1.0,1037.425,106.5419,1,7171.9
550,50.0,0.0,8.4,0.6274,934.7735,1.0,1139.85,106.2005,0,7869.0
600,50.0,0.0,8.425,0.6134,935.4616,1.0,1149.1,106.1697,0,8539.5
650,50.0,0.0,8.425,0.6132,934.0118,1.0,1105.325,106.3156,0,9246.9
700,49.925,0.4684,8.35,0.6175,934.0376,0.975,1113.475,103.7884,0,9962.0
750,50.0,0.0,8.475,0.6048,935.3096,1.0,1110.325,106.2989,0,10686.2
800,49.9,0.4899,8.525,0.6238,934.4804,0.95,1129.9,101.2337,0,11370.2
850,49.9,0.6245,8.45,0.6245,934.6659,0.975,1104.75,103.8175,0,11936.0
900,49.975,0.1561,8.575,0.6231,935.1905,0.975,1080.7,103.8977,0,12525.3
950,50.0,0.0,8.475,0.6219,935.8361,1.0,1100.7,106.331,0,13058.1
1000,49.925,0.4684,8.55,0.6265,933.0429,0.975,1082.75,103.8908,0,13616.0
1050,49.825,0.9457,8.45,0.6189,933.6485,0.95,1113.1,101.2897,0,14243.8
1100,50.0,0.0,8.475,0.6118,933.6864,1.0,1158.35,106.1388,0,14818.9
1150,49.375,1.9325,8.325,0.6237,931.1477,0.875,1114.575,93.7848,0,15328.1
1200,50.0,0.0,8.5,0.6276,934.8876,1.0,1068.775,106.4374,0,15904.7
1250,49.95,0.3122,8.55,0.6277,934.7077,0.975,1070.925,103.9303,0,16436.2
