episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,6,57,1000,518.874,52,,8,0.4613,759.1,0.1399,5,step_limit,0.1437,2.0
2,3,50,1000,218.076,30,,4,0.412,616.9,0.4441,201,step_limit,0.1496,2.9
3,6,72,1000,813.4,70,,12,0.4548,797.3,0.1361,15,step_limit,0.1604,4.4
4,3,46,1000,417.739,40,,6,0.3783,594.6,0.2886,39,step_limit,0.1704,6.6
5,4,58,1000,332.007,39,,6,0.674,881.4,0.5593,267,step_limit,0.363,25.0
6,3,61,1000,689.307,57,,9,0.4983,761.7,0.2115,59,step_limit,0.3279,41.9
7,3,30,496,341.3,30,496,4,0.4892,777.4,0.1295,21,complete,0.3182,53.3
8,3,69,1000,644.826,55,,9,0.487,688.6,0.4741,144,step_limit,0.2108,71.9
9,4,66,1000,776.394,65,,10,0.6008,1009.4,0.2281,14,step_limit,0.3829,92.4
10,4,26,355,313.769,26,355,4,0.4944,817.5,0.1622,19,complete,0.2448,99.1
11,6,32,231,332.071,32,231,3,0.5354,689.3,0.0899,5,complete,0.1967,103.4
12,4,35,396,425.12,35,396,5,0.5032,709.1,0.2594,10,complete,0.1734,110.8
13,4,23,390,258.922,23,390,3,0.5109,815.4,0.3002,15,complete,0.2609,120.9
14,3,61,1000,651.508,55,,9,0.5247,774.2,0.2582,54,step_limit,0.3016,138.1
15,5,78,761,1022.001,78,761,14,0.4909,766.9,0.3542,30,complete,0.1885,151.9
16,6,46,494,540.734,46,494,7,0.5803,883.2,0.4533,35,complete,0.203,163.3
17,5,74,809,905.077,74,809,12,0.4912,775.3,0.3716,38,complete,0.2129,176.6
18,4,24,344,282.49,24,344,4,0.5596,758.2,0.2733,12,complete,0.2554,182.6
19,5,24,250,229.646,24,250,2,0.6184,832.9,0.1521,4,complete,0.2333,186.9
20,4,66,559,873.107,66,559,11,0.4025,633.1,0.154,16,complete,0.1921,200.2
21,4,43,614,529.645,43,614,7,0.4515,622.2,0.4532,46,complete,0.1677,210.6
22,4,43,523,541.731,43,523,7,0.3924,494.2,0.3331,19,complete,0.1975,219.5
23,3,22,688,28.978,14,,0,0.6318,688.2,0.8004,488,no_progress,0.4667,233.8
24,4,35,478,448.263,35,478,6,0.4848,784.0,0.2899,19,complete,0.2319,242.4
25,5,25,300,302.26,25,300,4,0.6047,883.4,0.0993,1,complete,0.2875,247.7
26,4,79,989,1024.799,79,989,14,0.4522,672.3,0.3704,76,complete,0.2516,267.3
27,6,63,595,720.09,63,595,9,0.6938,1118.2,0.166,10,complete,0.2939,278.0
28,3,77,1000,869.079,67,,12,0.4227,745.9,0.1489,30,step_limit,0.2756,298.9
29,4,34,660,364.753,34,660,5,0.6208,888.0,0.3598,17,complete,0.2465,309.7
30,4,25,602,245.632,25,602,4,0.6478,888.9,0.2998,21,complete,0.3919,319.8
31,6,68,573,853.52,68,573,11,0.5858,778.4,0.1704,2,complete,0.2555,333.9
32,4,79,1000,860.79,71,,12,0.5723,811.4,0.2928,98,step_limit,0.3305,351.1
33,4,62,960,781.49,62,960,11,0.6115,935.8,0.2607,36,complete,0.312,371.5
34,4,33,374,379.525,33,374,4,0.4592,647.9,0.1996,10,complete,0.1815,378.2
35,4,26,486,243.437,26,486,3,0.5401,687.0,0.5078,64,complete,0.1509,386.0
36,4,57,1000,622.028,56,,8,0.6055,932.6,0.3668,129,step_limit,0.3201,406.0
37,4,29,479,284.895,29,479,3,0.5945,961.1,0.2163,10,complete,0.307,413.7
38,5,63,1000,645.341,59,,9,0.6478,857.7,0.4955,32,step_limit,0.297,431.0
39,5,44,918,357.85,44,918,5,0.6126,897.5,0.5096,95,complete,0.2935,449.8
40,6,56,449,676.246,56,449,8,0.6095,849.9,0.2119,6,complete,0.2391,457.5
41,6,21,217,142.723,21,217,0,0.6782,934.3,0.1536,0,complete,0.2634,461.3
42,3,24,575,248.5,24,575,3,0.5525,793.3,0.3311,57,complete,0.2833,471.2
