episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,6,57,1000,500.189,52,,9,0.4713,788.7,0.1303,6,step_limit,0.1411,1.4
2,3,50,1000,245.446,35,,6,0.4767,605.5,0.3521,47,step_limit,0.1461,2.2
3,6,72,1000,591.699,67,,11,0.5887,784.6,0.2698,10,step_limit,0.1652,3.5
4,3,46,1000,421.966,41,,7,0.304,524.5,0.2014,26,step_limit,0.1377,5.0
5,4,58,1000,257.902,45,,7,0.6402,890.2,0.4266,24,step_limit,0.3483,15.6
6,3,61,1000,635.76,57,,9,0.4673,767.4,0.1728,60,step_limit,0.3664,31.1
7,3,30,526,353.168,30,526,5,0.4588,773.9,0.1542,41,complete,0.3081,41.0
8,3,69,921,256.896,40,,6,0.5393,613.6,0.6439,498,no_progress,0.2465,58.8
9,4,66,981,721.358,66,981,10,0.6065,1011.6,0.194,57,complete,0.3988,77.9
10,4,26,569,165.248,26,569,3,0.5062,813.4,0.439,29,complete,0.2852,88.9
11,6,32,232,330.583,32,232,3,0.5417,693.6,0.0612,3,complete,0.1883,93.8
12,4,35,462,347.061,35,462,4,0.415,698.1,0.2541,16,complete,0.1866,102.9
13,4,23,464,238.104,23,464,4,0.5097,809.8,0.2429,18,complete,0.307,111.8
14,3,61,1000,532.808,55,,8,0.5273,772.0,0.3881,54,step_limit,0.3168,130.8
15,5,78,925,911.99,78,925,14,0.5721,762.1,0.2755,23,complete,0.2465,148.5
16,6,46,442,565.743,46,442,8,0.5803,880.7,0.0982,1,complete,0.2228,157.2
17,5,74,761,895.984,74,761,13,0.5361,773.7,0.2526,12,complete,0.2107,172.0
18,4,24,396,252.58,24,396,4,0.5644,766.5,0.2263,8,complete,0.31,179.5
19,5,24,449,185.475,24,449,3,0.6218,834.1,0.2603,18,complete,0.3125,188.0
20,4,66,744,822.683,66,744,12,0.4567,628.0,0.2878,29,complete,0.1812,202.9
21,4,43,442,572.727,43,442,8,0.4338,625.8,0.0804,9,complete,0.2062,211.8
22,4,43,440,528.453,43,440,7,0.4307,497.6,0.2016,12,complete,0.1781,220.6
23,3,22,567,234.575,22,567,4,0.515,779.9,0.2169,34,complete,0.375,231.6
24,4,35,590,385.329,35,590,6,0.4657,782.4,0.2242,13,complete,0.3,242.6
