episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,39.575,11.7407,5.7,0.6236,829.273,0.3,1131.175,36.2294,1,668.7
100,49.5,2.8107,7.925,0.6198,933.2886,0.925,1222.825,98.4239,1,1393.8
150,49.875,0.7806,8.1,0.6271,933.9184,0.975,1127.175,103.7428,1,2158.4
200,50.0,0.0,8.125,0.6244,934.2238,1.0,1138.9,106.2037,1,2930.6
250,49.9,0.6245,8.0,0.6116,934.3794,0.975,1201.1,103.4963,0,3652.4
300,50.0,0.0,8.325,0.6235,934.9817,1.0,1111.15,106.2962,1,4412.0
350,50.0,0.0,8.4,0.5942,933.7575,1.0,1234.35,105.8855,0,5268.1
400,49.7,1.4697,8.275,0.6212,934.0405,0.95,1162.15,101.1262,0,6178.3
450,49.775,1.4051,8.2,0.6119,933.7538,0.975,1107.875,103.8071,0,7006.4
500,50.0,0.0,8.3,0.6064,934.4105,1.0,1224.95,105.9168,0,7787.8
550,49.825,1.0929,8.325,0.6047,932.2106,0.975,1271.1,103.263,0,8546.7
600,50.0,0.0,8.2,0.5981,932.7906,1.0,1221.275,105.9291,0,9285.7
650,49.95,0.3122,8.2,0.6097,931.5334,0.975,1150.975,103.6634,0,10104.6
700,49.875,0.7806,8.375,0.5966,934.9041,0.975,1131.575,103.7281,0,10903.9
750,49.875,0.7806,8.4,0.6052,934.9739,0.975,1098.0,103.84,0,11675.9
800,50.0,0.0,8.25,0.5907,934.8061,1.0,1152.2,106.1593,0,12459.8
850,50.0,0.0,8.2,0.5996,933.3763,1.0,1220.9,105.9303,0,13232.0
900,50.0,0.0,8.225,0.6009,934.2481,1.0,1122.55,106.2582,0,13983.7
950,50.0,0.0,7.875,0.6095,935.4735,1.0,1134.15,106.2195,0,14700.6
1000,50.0,0.0,8.35,0.5808,933.8138,1.0,1092.025,106.3599,1,15371.0
1050,49.9,0.6245,8.2,0.588,932.7388,0.975,1132.175,103.7261,0,16053.3
1100,50.0,0.0,8.3,0.5698,935.0961,1.0,1084.625,106.3846,1,16394.9
1150,49.625,1.9195,8.225,0.5856,930.8669,0.95,1125.0,101.25,0,16685.7
1200,49.95,0.3122,8.3,0.5907,934.8199,0.975,1098.35,103.8388,0,16967.6
1250,49.85,0.9367,8.325,0.5843,933.1442,0.975,1126.175,103.7461,0,17259.3
1300,49.925,0.4684,8.25,0.5886,933.6524,0.975,1081.575,103.8948,0,17555.6
1350,49.85,0.9367,8.35,0.5782,933.2216,0.975,1065.175,103.9494,0,17837.9
1400,49.9,0.6245,8.2,0.5719,932.4967,0.975,1098.3,103.839,0,18123.0
1450,50.0,0.0,8.475,0.5721,933.6642,1.0,1195.625,106.0146,0,18407.0
1500,50.0,0.0,8.375,0.5742,934.5271,1.0,1144.95,106.1835,0,18715.0
