episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,49.775,1.1289,7.75,0.6321,932.1582,0.95,1110.85,101.2972,1,738.2
100,50.0,0.0,8.2,0.6251,934.6293,1.0,1349.1,105.503,1,1515.5
150,50.0,0.0,8.3,0.6396,933.3171,1.0,1349.475,105.5018,0,2338.2
200,50.0,0.0,8.075,0.6314,933.2287,1.0,1209.5,105.9683,1,3162.3
250,49.875,0.7806,8.1,0.6026,932.0819,0.975,1244.175,103.3528,0,3948.9
300,49.75,1.5612,8.05,0.6199,929.8759,0.975,1257.05,103.3098,0,4816.4
350,50.0,0.0,7.875,0.6103,934.0057,1.0,1242.15,105.8595,0,5741.2
400,50.0,0.0,8.1,0.5976,933.5875,1.0,1337.75,105.5408,0,6723.5
450,50.0,0.0,7.725,0.5843,933.3035,1.0,1497.1,105.0097,0,7545.0
500,50.0,0.0,7.9,0.5725,934.703,1.0,1541.2,104.8627,0,8409.5
550,50.0,0.0,7.875,0.6007,934.4371,1.0,1283.4,105.722,0,9236.3
600,50.0,0.0,7.55,0.6184,933.9219,1.0,1264.225,105.7859,0,10043.4
650,48.575,3.9044,7.7,0.5779,917.3132,0.875,1294.15,93.1862,0,10864.5
700,48.95,3.8727,7.6,0.5694,926.6395,0.925,1322.05,98.0932,0,11704.6
750,50.0,0.0,7.675,0.5966,934.7961,1.0,1256.3,105.8123,0,12542.5
800,48.425,4.2479,7.55,0.575,916.4768,0.875,1333.45,93.0552,0,13292.9
850,42.025,9.1692,6.55,0.4899,831.1744,0.55,1477.925,60.0736,0,14159.3
900,40.825,9.6718,6.075,0.4843,817.7285,0.475,1476.425,52.5786,0,15062.1
950,39.625,10.1506,5.9,0.4384,801.1063,0.45,1478.25,50.0725,0,15927.5
