episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,5,43,1000,-175.713,38,,6,0.6416,787.5,0.3507,23,step_limit,0.086,2.7
2,4,74,1000,251.861,59,,10,0.2925,547.5,0.4069,21,step_limit,0.066,4.5
3,5,43,961,207.777,43,961,6,0.3215,587.1,0.1726,8,complete,0.0923,6.2
4,4,23,1000,-514.804,18,,1,0.6605,922.1,0.4239,36,step_limit,0.0385,7.7
5,4,31,1000,-327.283,31,1000,4,0.5345,805.4,0.4763,46,complete,0.2184,15.4
6,3,68,1000,211.577,55,,8,0.4043,757.9,0.5425,147,step_limit,0.211,34.6
7,6,44,322,466.025,44,322,6,0.5849,829.2,0.1257,5,complete,0.2381,41.1
8,6,30,341,133.299,30,341,3,0.6105,771.8,0.3127,6,complete,0.2715,47.8
9,6,42,425,321.942,42,425,6,0.6298,844.7,0.2557,4,complete,0.2352,56.2
10,6,47,639,-51.196,47,639,5,0.5809,859.6,0.513,7,complete,0.2626,69.0
11,5,21,270,109.265,21,270,2,0.4563,581.8,0.2753,5,complete,0.145,74.3
12,3,37,612,327.592,37,612,6,0.342,748.1,0.3244,41,complete,0.1911,85.9
13,6,28,382,33.794,28,382,3,0.4559,628.5,0.3737,6,complete,0.1727,93.8
14,3,41,752,332.612,41,752,6,0.523,778.5,0.2797,72,complete,0.2884,108.6
15,3,66,1000,434.078,54,,9,0.4397,772.7,0.2951,171,step_limit,0.265,127.8
16,4,71,1000,502.811,69,,12,0.5278,831.3,0.3444,60,step_limit,0.2882,147.6
17,4,24,484,128.683,24,484,2,0.64,1050.8,0.1624,10,complete,0.4,157.2
18,5,49,462,435.087,49,462,6,0.5333,734.5,0.2191,9,complete,0.2359,166.3
19,6,34,370,301.57,34,370,6,0.6315,860.8,0.2191,13,complete,0.2333,173.9
20,3,48,1000,352.766,46,,8,0.451,753.1,0.2809,134,step_limit,0.3012,192.4
21,4,63,1000,215.506,56,,10,0.5405,838.4,0.4308,55,step_limit,0.2831,210.9
22,6,46,414,390.472,46,414,6,0.6127,788.8,0.1845,11,complete,0.2201,219.4
23,3,44,1000,335.569,41,,7,0.5113,783.2,0.1826,66,step_limit,0.3531,238.5
24,5,41,523,249.545,41,523,7,0.5904,845.5,0.3614,52,complete,0.2193,248.7
25,5,38,432,370.775,38,432,5,0.638,876.9,0.1017,5,complete,0.2833,257.0
26,5,77,1000,488.445,76,,13,0.6446,900.8,0.3635,119,step_limit,0.254,276.0
27,3,41,1000,-54.275,37,,5,0.599,780.5,0.5787,352,step_limit,0.3193,294.7
28,5,52,1000,-36.172,41,,5,0.5496,785.6,0.2261,134,step_limit,0.3303,313.6
29,5,72,1000,293.361,60,,8,0.5854,858.6,0.1709,8,step_limit,0.2605,332.9
30,5,61,946,409.545,61,946,9,0.5886,989.9,0.1742,5,complete,0.3047,350.9
31,5,45,865,256.064,45,865,6,0.5077,952.3,0.1509,7,complete,0.1897,367.8
32,3,68,1000,457.99,51,,9,0.362,679.9,0.1676,46,step_limit,0.1848,386.7
33,3,35,642,326.147,35,642,5,0.4232,709.5,0.1646,31,complete,0.2,399.4
34,3,24,477,162.162,24,477,3,0.3222,649.9,0.2547,51,complete,0.1135,408.4
35,3,58,1000,472.538,55,,8,0.4103,775.5,0.2351,67,step_limit,0.2544,427.4
36,4,64,1000,425.884,59,,10,0.5357,864.7,0.2427,19,step_limit,0.1944,446.0
37,6,58,1000,-215.598,57,,9,0.7417,1128.9,0.4518,31,step_limit,0.2808,465.3
38,3,77,1000,550.988,56,,10,0.4603,779.2,0.1531,23,step_limit,0.2667,484.4
39,3,28,973,-169.696,28,973,3,0.5533,789.3,0.5256,259,complete,0.3211,502.6
40,3,37,755,310.415,37,755,6,0.3629,696.6,0.2203,41,complete,0.2063,516.9
41,5,59,622,474.363,59,622,9,0.4148,629.1,0.312,9,complete,0.1069,529.0
42,6,58,503,527.808,58,503,9,0.6746,992.5,0.2344,8,complete,0.1915,539.2
43,6,20,317,-37.954,20,317,0,0.6635,890.3,0.2851,4,complete,0.175,545.5
44,6,30,229,287.552,30,229,3,0.4774,657.7,0.1014,1,complete,0.0833,549.9
45,6,39,329,387.247,39,329,6,0.6064,822.2,0.1802,2,complete,0.1299,556.4
46,6,32,303,315.864,32,303,4,0.5721,812.2,0.0713,2,complete,0.1905,562.4
47,5,35,484,98.612,35,484,4,0.619,878.1,0.4148,19,complete,0.15,572.2
48,5,39,538,224.865,39,538,5,0.7007,1050.8,0.2645,10,complete,0.2638,582.7
49,5,47,629,277.108,47,629,8,0.5358,823.5,0.3646,12,complete,0.1911,593.4
50,4,72,897,724.68,72,897,13,0.5215,748.1,0.2601,51,complete,0.2035,605.8
51,4,71,1000,246.805,64,,11,0.426,626.7,0.5392,134,step_limit,0.1468,676.7
52,4,45,516,401.458,45,516,6,0.4966,629.2,0.245,11,complete,0.175,685.1
53,6,64,428,716.039,64,428,10,0.454,568.5,0.1855,6,complete,0.0993,692.0
54,5,24,442,46.224,24,442,3,0.7271,1075.7,0.2914,13,complete,0.3083,698.8
55,6,60,580,494.359,60,580,9,0.642,1021.5,0.226,5,complete,0.2407,708.5
56,6,20,224,19.867,20,224,0,0.7552,823.5,0.3174,12,complete,0.1354,712.2
57,5,61,544,656.676,61,544,9,0.5449,843.1,0.1183,5,complete,0.19,721.4
58,5,77,865,589.084,77,865,13,0.5216,804.2,0.3424,20,complete,0.1807,735.5
59,5,40,766,-169.172,40,766,4,0.7149,1089.9,0.5051,49,complete,0.2765,750.4
60,3,76,1000,247.885,53,,8,0.403,619.6,0.424,79,step_limit,0.2145,770.0
61,5,66,760,507.377,66,760,11,0.62,945.2,0.3414,21,complete,0.2356,785.3
62,5,43,524,324.255,43,524,7,0.5324,837.3,0.3156,26,complete,0.1827,795.7
63,5,57,527,632.361,57,527,9,0.5822,784.3,0.1208,4,complete,0.1634,806.1
64,3,52,1000,342.306,49,,8,0.4877,795.6,0.3127,61,step_limit,0.2399,825.3
65,5,42,526,291.297,42,526,6,0.549,836.1,0.2923,16,complete,0.1945,835.5
66,4,41,855,255.755,41,855,7,0.507,893.9,0.2289,10,complete,0.2875,851.6
67,5,23,295,285.091,23,295,4,0.3756,746.1,0.0075,0,complete,0.1673,857.2
68,5,77,904,627.826,77,904,14,0.3927,680.2,0.298,17,complete,0.1535,875.2
69,4,48,584,441.666,48,584,7,0.3896,610.7,0.2363,28,complete,0.1609,886.7
70,3,69,1000,375.822,55,,9,0.4803,691.9,0.3432,51,step_limit,0.2479,905.3
71,5,34,388,290.827,34,388,5,0.4943,647.8,0.2265,6,complete,0.1873,912.7
72,5,61,942,400.935,61,942,10,0.6658,1127.3,0.2158,8,complete,0.3235,931.5
73,6,50,705,175.038,50,705,5,0.6426,979.9,0.2253,10,complete,0.2763,945.9
74,4,70,1000,335.314,59,,10,0.4968,750.3,0.3438,25,step_limit,0.1931,965.8
