episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,49.7,1.0536,8.375,0.6568,932.9085,0.9,1245.25,95.8492,1,2064.7
100,48.825,5.1521,7.9,0.6381,928.4813,0.95,1165.65,101.1145,1,4175.1
150,49.875,0.6398,7.925,0.6433,933.7728,0.95,1220.275,100.9324,0,6448.7
200,49.6,1.2,7.825,0.6513,932.5327,0.875,1340.55,93.0315,0,8720.9
250,49.225,2.7972,7.875,0.6485,926.9643,0.9,1209.3,95.969,0,10913.3
300,49.925,0.3455,8.075,0.6526,932.685,0.95,1214.975,100.9501,0,13123.2
350,49.15,3.9658,8.05,0.6429,926.7622,0.925,1080.4,98.8987,0,15300.6
400,50.0,0.0,8.175,0.6443,934.3359,1.0,1105.0,106.3167,1,17486.8
450,49.7,1.8735,7.925,0.64,931.8039,0.975,1029.625,104.0679,0,19611.2
500,49.95,0.3122,8.275,0.6327,934.5818,0.975,1136.45,103.7118,0,21820.5
550,50.0,0.0,8.175,0.6239,934.3342,1.0,1042.45,106.5252,1,23924.3
600,50.0,0.0,8.375,0.6367,934.235,1.0,1067.95,106.4402,0,25983.5
650,50.0,0.0,8.325,0.6368,934.7138,1.0,1106.875,106.3104,0,28147.4
700,50.0,0.0,8.15,0.6356,934.0871,1.0,1010.175,106.6328,1,30252.7
750,50.0,0.0,8.425,0.6255,934.2965,1.0,1043.2,106.5227,0,32354.2
800,50.0,0.0,8.425,0.624,932.3259,1.0,1094.0,106.3533,0,34372.5
850,50.0,0.0,8.55,0.6328,934.8655,1.0,1041.7,106.5277,0,36554.5
900,49.75,1.4098,8.45,0.6248,933.8042,0.95,1055.45,101.4818,0,38703.7
950,50.0,0.0,8.575,0.6335,933.8715,1.0,1099.4,106.3353,0,40773.2
1000,50.0,0.0,8.4,0.6358,934.4563,1.0,1079.5,106.4017,0,42946.9
1050,50.0,0.0,8.425,0.6436,935.0362,1.0,1131.275,106.2291,0,45151.0
1100,49.95,0.3122,8.6,0.6391,934.9151,0.975,1129.15,103.7362,0,47380.8
1150,50.0,0.0,8.475,0.6358,933.7897,1.0,1128.5,106.2383,0,49363.8
1200,50.0,0.0,8.6,0.6347,934.623,1.0,1141.7,106.1943,0,51517.4
1250,50.0,0.0,8.65,0.6379,935.4901,1.0,1074.975,106.4168,0,53659.7
1300,49.625,2.3419,8.45,0.6282,932.9593,0.975,1135.75,103.7142,0,55867.4
1350,50.0,0.0,8.55,0.6329,934.989,1.0,1060.575,106.4647,0,58028.6
1400,49.875,0.7806,8.5,0.6295,933.5962,0.975,1110.375,103.7987,0,60054.0
1450,49.95,0.3122,8.475,0.6286,932.7531,0.975,1109.575,103.8014,0,62195.0
