episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,6,57,780,649.677,57,780,9,0.4434,799.7,0.1404,6,complete,0.1509,4.9
2,3,50,1000,332.242,37,,5,0.4043,647.6,0.3399,57,step_limit,0.1948,8.2
3,6,72,1000,735.372,68,,11,0.5223,803.7,0.1333,5,step_limit,0.155,14.8
4,3,46,1000,397.195,38,,6,0.3553,619.7,0.2208,53,step_limit,0.1864,28.3
5,4,58,1000,214.462,33,,5,0.6532,750.0,0.6037,231,step_limit,0.2941,81.9
6,3,61,1000,664.375,52,,10,0.516,713.3,0.3696,139,step_limit,0.3087,138.8
7,3,30,782,339.903,30,782,4,0.5503,781.7,0.5136,206,complete,0.3009,180.1
8,3,69,1000,722.08,59,,10,0.4873,683.6,0.3406,74,step_limit,0.2441,236.0
9,4,66,1000,799.624,65,,11,0.6082,979.2,0.3268,29,step_limit,0.3134,294.2
10,4,26,576,283.598,26,576,4,0.4965,820.8,0.4244,47,complete,0.2705,325.5
11,6,32,258,401.107,32,258,5,0.4845,695.0,0.0921,5,complete,0.1327,341.5
12,4,35,635,384.411,35,635,5,0.4398,705.8,0.4674,72,complete,0.2036,375.6
13,4,23,313,261.645,23,313,3,0.5128,809.1,0.217,17,complete,0.2073,392.9
14,3,61,1000,638.913,51,,10,0.4933,746.9,0.2621,52,step_limit,0.2368,446.7
15,5,78,703,1033.126,78,703,14,0.5129,762.3,0.2888,15,complete,0.1752,487.5
16,6,46,396,529.41,46,396,6,0.5501,876.9,0.2496,3,complete,0.1291,512.0
17,5,74,757,940.373,74,757,12,0.4724,778.6,0.2364,16,complete,0.1721,556.2
18,4,24,361,265.002,24,361,3,0.5492,764.9,0.2369,26,complete,0.2278,576.1
19,5,24,252,209.233,24,252,1,0.6333,843.4,0.159,8,complete,0.2462,590.2
20,4,66,733,819.68,66,733,10,0.426,633.1,0.3245,35,complete,0.1147,631.0
