episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,48.0,6.3246,7.25,0.6523,917.7421,0.85,1009.675,91.6344,1,1917.0
100,49.875,0.5562,8.3,0.6577,933.8957,0.95,1199.95,101.0002,1,3987.9
150,50.0,0.0,8.425,0.6529,934.6207,1.0,1257.25,105.8092,1,6250.2
200,49.725,0.9997,8.325,0.6519,933.0756,0.925,1197.6,98.508,0,8478.4
250,50.0,0.0,8.375,0.6474,933.5697,1.0,1210.775,105.9641,1,10543.2
300,49.95,0.3122,8.475,0.646,933.93,0.975,1173.475,103.5884,0,12683.3
350,49.95,0.3122,8.275,0.6386,934.2636,0.975,1066.975,103.9434,0,14858.5
400,50.0,0.0,8.25,0.6372,933.6541,1.0,1067.4,106.442,1,17075.3
450,49.95,0.3122,8.35,0.6355,933.8971,0.975,1063.125,103.9562,0,19374.3
500,50.0,0.0,8.275,0.6257,935.515,1.0,1043.775,106.5207,1,21531.4
550,50.0,0.0,8.4,0.6286,933.5506,1.0,1039.875,106.5337,1,23691.2
600,49.5,3.1225,8.225,0.6365,929.3614,0.975,1024.575,104.0847,0,25795.9
650,50.0,0.0,8.375,0.6237,933.1276,1.0,1062.8,106.4573,0,27974.2
700,50.0,0.0,8.325,0.6197,934.7692,1.0,1015.85,106.6138,1,30155.9
750,50.0,0.0,8.4,0.6271,933.1409,1.0,1080.9,106.397,0,32303.6
800,50.0,0.0,8.225,0.6169,935.4578,1.0,1022.85,106.5905,0,34538.8
850,50.0,0.0,8.3,0.6155,933.8229,1.0,1038.075,106.5397,0,36675.8
900,50.0,0.0,8.475,0.6278,935.2988,1.0,1028.95,106.5702,0,38717.4
950,50.0,0.0,8.525,0.6098,933.5237,1.0,1054.825,106.4839,0,40789.1
1000,50.0,0.0,8.375,0.6205,935.4201,1.0,1025.9,106.5803,0,42784.5
1050,49.95,0.3122,8.35,0.6276,934.6807,0.975,1034.975,104.0501,0,45068.5
1100,50.0,0.0,8.625,0.6283,936.2077,1.0,1106.75,106.3108,0,47112.9
1150,50.0,0.0,8.35,0.6276,934.6521,1.0,1077.8,106.4073,0,49341.1
1200,49.55,2.8102,8.35,0.6359,927.6079,0.975,1062.7,103.9577,0,51533.2
1250,50.0,0.0,8.4,0.6332,934.9262,1.0,1100.525,106.3316,0,53744.1
1300,49.925,0.4684,8.475,0.635,934.1745,0.975,1154.6,103.6513,0,55911.5
1350,50.0,0.0,8.575,0.6357,935.9736,1.0,1103.625,106.3213,0,58120.7
1400,50.0,0.0,8.525,0.6388,934.8019,1.0,1094.325,106.3522,0,60407.6
1450,50.0,0.0,8.475,0.6302,934.1636,1.0,1066.125,106.4463,0,62478.0
