episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,5,43,928,441.507,43,928,7,0.5569,844.1,0.2712,21,complete,0.1056,5.2
2,4,74,1000,781.788,62,,12,0.312,506.9,0.2951,48,step_limit,0.075,11.4
3,5,43,1000,390.016,40,,6,0.358,548.1,0.1953,16,step_limit,0.0636,17.3
4,4,23,1000,57.68,19,,2,0.6552,923.9,0.295,46,step_limit,0.1286,22.6
5,4,31,738,322.19,31,738,5,0.5278,816.0,0.2217,19,complete,0.1901,40.8
6,3,68,1000,552.681,50,,8,0.424,743.8,0.4911,157,step_limit,0.2068,96.0
7,6,44,439,561.015,44,439,8,0.5767,834.0,0.2066,4,complete,0.2542,120.8
8,6,30,207,294.093,30,207,2,0.624,778.5,0.1254,4,complete,0.2391,133.2
9,6,42,380,490.805,42,380,6,0.6373,831.2,0.1786,5,complete,0.2452,155.7
10,6,47,402,531.867,47,402,6,0.5547,855.8,0.2946,9,complete,0.2115,180.6
11,5,21,276,170.295,21,276,1,0.5101,584.1,0.3425,10,complete,0.1371,196.4
12,3,37,664,439.094,37,664,5,0.4709,743.6,0.4351,66,complete,0.1602,233.9
13,6,28,255,332.243,28,255,4,0.4497,625.5,0.095,3,complete,0.1923,249.2
14,3,41,858,295.995,30,,4,0.5598,769.9,0.7363,496,no_progress,0.3458,295.0
15,3,66,855,344.424,36,,5,0.5255,614.3,0.7348,552,no_progress,0.2683,342.5
16,4,71,977,928.805,71,977,13,0.5279,841.6,0.2119,12,complete,0.2842,398.6
17,4,24,424,226.557,24,424,2,0.6374,1046.8,0.268,9,complete,0.3316,422.1
18,5,49,441,628.481,49,441,8,0.5483,735.6,0.1124,3,complete,0.2471,449.7
19,6,34,723,367.826,34,723,5,0.7183,854.1,0.6428,307,complete,0.3173,489.6
20,3,48,1000,528.104,44,,8,0.3843,740.0,0.4012,107,step_limit,0.2799,543.8
21,4,63,1000,676.031,59,,10,0.5515,832.9,0.4076,104,step_limit,0.2598,600.2
22,6,46,684,457.569,46,684,7,0.71,792.1,0.5348,51,complete,0.2333,638.1
23,3,44,774,512.114,44,774,6,0.5401,780.6,0.2533,21,complete,0.272,682.4
24,5,41,439,489.379,41,439,6,0.5877,846.3,0.2068,10,complete,0.2385,708.0
