episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,47.3,5.8489,7.55,0.6138,896.7803,0.725,1308.675,78.1377,1,2015.3
100,49.75,1.5612,8.525,0.6518,930.4406,0.975,1349.725,103.0009,1,4192.7
150,50.0,0.0,8.45,0.6526,934.5595,1.0,1261.425,105.7952,1,6482.8
200,49.65,1.5256,8.225,0.6628,931.6116,0.95,1284.375,100.7188,0,8731.0
250,49.925,0.4684,8.425,0.6567,932.6454,0.975,1304.975,103.1501,0,10967.4
300,50.0,0.0,8.35,0.6557,934.2621,1.0,1212.8,105.9573,1,13180.9
350,50.0,0.0,8.4,0.6464,935.7117,1.0,1189.675,106.0344,1,15378.1
400,49.925,0.4684,8.275,0.6468,933.5857,0.975,1130.575,103.7314,0,17636.3
450,50.0,0.0,8.475,0.6491,934.2986,1.0,1121.225,106.2626,1,19826.3
500,49.95,0.3122,8.525,0.6543,931.8812,0.975,1262.0,103.2933,0,22079.5
550,49.925,0.3455,8.425,0.6403,933.963,0.95,1112.925,101.2903,0,24278.5
600,50.0,0.0,8.375,0.6417,933.0228,1.0,1155.675,106.1478,0,26373.2
650,50.0,0.0,8.425,0.6481,934.6045,1.0,1158.45,106.1385,0,28652.7
700,50.0,0.0,8.45,0.6389,933.6723,1.0,1097.075,106.3431,1,30812.5
750,50.0,0.0,8.2,0.642,934.4706,1.0,1084.125,106.3863,1,32933.1
800,50.0,0.0,8.45,0.6413,934.7844,1.0,1095.9,106.347,0,34956.0
850,50.0,0.0,8.425,0.6387,934.7038,1.0,1135.3,106.2157,0,37103.4
900,49.95,0.3122,8.375,0.6421,932.1421,0.975,1089.375,103.8688,0,39321.3
950,50.0,0.0,8.4,0.6459,934.4318,1.0,1148.9,106.1703,0,41422.1
1000,50.0,0.0,8.575,0.6311,934.949,1.0,1093.1,106.3563,0,43738.9
1050,49.875,0.7806,8.3,0.6302,932.143,0.975,1037.55,104.0415,0,46010.5
1100,49.85,0.9367,8.35,0.6398,933.3468,0.975,1131.575,103.7281,0,48246.4
1150,49.975,0.1561,8.525,0.6428,934.7029,0.975,1054.775,103.9841,0,50239.6
1200,50.0,0.0,8.35,0.6405,934.4472,1.0,1084.0,106.3867,1,52375.8
1250,49.975,0.1561,8.375,0.6412,934.4459,0.975,1133.2,103.7227,0,54463.9
1300,50.0,0.0,8.5,0.6414,934.2004,1.0,1114.65,106.2845,0,56732.5
1350,50.0,0.0,8.25,0.63,934.6784,1.0,980.1,106.733,1,58841.4
1400,49.9,0.6245,8.45,0.641,935.3156,0.975,1052.8,103.9907,0,60728.9
1450,49.975,0.1561,8.425,0.6389,933.8579,0.975,1119.025,103.7699,0,62639.0
1500,50.0,0.0,8.325,0.6394,935.5633,1.0,1093.925,106.3536,0,63592.8
