episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,6,57,1000,509.337,52,,8,0.5222,788.5,0.3283,11,step_limit,0.1608,3.2
2,3,50,1000,342.274,37,,5,0.4527,746.0,0.4145,57,step_limit,0.1992,4.9
3,6,72,1000,704.083,65,,11,0.5672,761.9,0.2876,19,step_limit,0.1379,7.7
4,3,46,1000,441.152,40,,7,0.2923,548.7,0.2027,33,step_limit,0.1584,13.4
5,4,58,1000,292.241,40,,5,0.6552,1013.7,0.3782,37,step_limit,0.3308,57.6
6,3,61,1000,728.908,58,,10,0.508,782.6,0.264,39,step_limit,0.2963,117.2
7,3,30,658,360.18,30,658,5,0.4965,779.0,0.1771,51,complete,0.3476,154.2
8,3,69,1000,741.07,60,,10,0.4897,779.5,0.3209,112,step_limit,0.2467,212.7
9,4,66,1000,657.358,57,,10,0.619,854.6,0.3503,77,step_limit,0.312,269.6
10,4,26,530,292.877,26,530,4,0.5274,808.8,0.3733,29,complete,0.3,298.9
11,6,32,245,336.125,32,245,3,0.4993,691.9,0.2048,10,complete,0.1771,313.7
12,4,35,481,419.834,35,481,5,0.4558,708.1,0.25,20,complete,0.2077,341.9
13,4,23,339,258.405,23,339,3,0.4565,808.2,0.1359,10,complete,0.25,360.6
14,3,61,1000,659.338,55,,9,0.485,785.6,0.2371,45,step_limit,0.3048,417.5
15,5,78,870,986.244,78,870,13,0.5074,761.4,0.316,14,complete,0.2153,468.3
16,6,46,409,587.743,46,409,8,0.544,884.7,0.1301,6,complete,0.1961,492.6
17,5,74,647,973.481,74,647,13,0.5051,775.3,0.245,10,complete,0.178,530.0
18,4,24,329,258.173,24,329,3,0.5099,758.5,0.2815,12,complete,0.2143,549.5
19,5,24,455,235.042,24,455,3,0.5833,830.4,0.3057,17,complete,0.264,574.5
20,4,66,738,851.474,66,738,11,0.4112,629.8,0.4005,26,complete,0.153,618.2
21,4,43,458,547.522,43,458,7,0.4154,616.9,0.1271,9,complete,0.1733,645.1
22,4,43,404,558.398,43,404,7,0.3787,495.9,0.1698,30,complete,0.1267,669.1
23,3,22,498,274.21,22,498,4,0.5663,776.6,0.258,32,complete,0.22,697.3
24,4,35,699,358.84,35,699,5,0.3948,772.9,0.2674,11,complete,0.1549,736.0
25,5,25,365,262.09,25,365,3,0.5195,884.5,0.0818,9,complete,0.2298,756.0
26,4,79,1000,947.241,75,,13,0.48,666.1,0.3459,111,step_limit,0.1866,812.7
27,6,63,821,708.169,63,821,10,0.6476,1116.1,0.304,11,complete,0.229,864.7
28,3,77,1000,731.349,60,,10,0.4723,742.1,0.4021,216,step_limit,0.1961,923.2
29,4,34,596,339.36,34,596,4,0.6011,882.9,0.3817,22,complete,0.1929,955.3
30,4,25,928,127.024,25,928,2,0.6425,889.5,0.465,115,complete,0.2692,1008.6
31,6,68,543,883.388,68,543,12,0.519,787.1,0.0884,8,complete,0.1417,1040.9
32,4,79,1000,875.362,75,,12,0.506,818.8,0.247,36,step_limit,0.2757,1097.5
33,4,62,1000,659.748,59,,9,0.5813,926.6,0.3071,32,step_limit,0.2357,1154.5
34,4,33,451,391.996,33,451,5,0.4612,650.9,0.3396,23,complete,0.1694,1180.2
35,4,26,334,309.409,26,334,4,0.5419,671.1,0.1563,8,complete,0.1902,1198.8
36,4,57,928,689.996,57,928,9,0.5929,931.7,0.337,60,complete,0.2387,1249.5
37,4,29,1000,251.172,28,,4,0.6673,967.4,0.6551,174,step_limit,0.2238,1302.1
38,5,63,673,805.81,63,673,11,0.5807,860.0,0.2111,26,complete,0.1491,1340.4
39,5,44,908,392.861,44,908,5,0.6322,888.3,0.4687,30,complete,0.2538,1390.4
40,6,56,480,693.329,56,480,9,0.5646,853.0,0.262,5,complete,0.1174,1419.4
41,6,21,272,163.08,21,272,1,0.6268,933.9,0.2272,2,complete,0.1716,1435.0
42,3,24,522,230.34,24,522,2,0.5243,794.0,0.3623,43,complete,0.2121,1464.0
43,4,52,743,696.449,52,743,10,0.5303,791.6,0.2673,23,complete,0.1302,1505.1
44,4,72,813,967.897,72,813,13,0.4228,749.3,0.3268,36,complete,0.1504,1551.2
45,4,52,925,598.038,52,925,8,0.6208,1019.0,0.3115,35,complete,0.2905,1601.1
46,6,72,507,890.872,72,507,11,0.4231,640.8,0.2441,8,complete,0.1074,1631.7
47,4,69,853,893.99,69,853,12,0.4818,716.2,0.3008,47,complete,0.1686,1681.7
48,4,56,739,689.211,56,739,9,0.5101,723.8,0.2382,10,complete,0.1769,1725.7
49,6,78,625,948.831,78,625,12,0.5891,878.5,0.1365,5,complete,0.1639,1761.1
50,5,40,1000,64.088,32,,3,0.4868,942.2,0.1966,9,step_limit,0.3191,1800.9
51,6,51,361,641.846,51,361,8,0.494,742.1,0.0953,3,complete,0.0892,2033.5
52,3,42,796,552.799,42,796,8,0.4933,727.6,0.2285,48,complete,0.2199,2070.9
53,6,60,757,618.37,60,757,8,0.4555,625.7,0.4856,43,complete,0.0971,2112.4
54,4,49,488,624.072,49,488,8,0.4462,630.4,0.0483,5,complete,0.1369,2141.7
55,4,40,403,488.38,40,403,6,0.4268,700.1,0.1622,12,complete,0.1192,2165.5
56,5,61,666,749.725,61,666,10,0.5204,832.7,0.2322,10,complete,0.1429,2203.4
57,3,53,1000,590.066,48,,9,0.4787,784.7,0.3115,57,step_limit,0.2421,2257.8
58,6,57,611,680.403,57,611,9,0.626,934.6,0.325,10,complete,0.1545,2293.8
59,3,50,974,641.798,50,974,9,0.4788,772.0,0.3211,72,complete,0.2061,2346.2
60,4,21,379,223.64,21,379,3,0.5554,753.3,0.2498,13,complete,0.1534,2366.6
61,5,26,369,271.819,26,369,3,0.5751,851.4,0.2172,10,complete,0.1592,2387.5
62,5,55,593,635.114,55,593,8,0.6044,895.4,0.2795,10,complete,0.2083,2421.6
63,6,68,739,768.41,68,739,9,0.5866,954.2,0.3637,7,complete,0.1711,2464.0
64,3,41,1000,387.361,38,,5,0.516,765.2,0.5243,167,step_limit,0.1875,2517.0
65,5,68,826,833.524,68,826,11,0.4646,659.8,0.4647,37,complete,0.112,2563.6
66,3,61,1000,770.389,59,,11,0.302,607.1,0.3804,82,step_limit,0.1368,2619.0
67,3,53,939,652.832,53,939,9,0.5112,773.1,0.2221,35,complete,0.2973,2670.2
68,3,44,907,560.949,44,907,8,0.4087,670.7,0.3438,39,complete,0.1875,2719.1
69,4,34,477,369.908,34,477,4,0.4575,725.3,0.2493,22,complete,0.1855,2745.4
70,4,31,1000,152.065,26,,4,0.6222,1023.5,0.5948,186,step_limit,0.3206,2798.7
71,5,71,624,958.885,71,624,13,0.4122,585.1,0.2111,17,complete,0.0865,2835.5
