episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,45.475,8.4261,6.925,0.6456,888.8332,0.65,1083.425,71.3886,1,1921.0
100,49.825,1.0929,8.375,0.6582,932.4443,0.975,1289.325,103.2022,1,3992.2
150,49.85,0.5723,8.35,0.6468,931.8838,0.925,1216.425,98.4453,0,6245.4
200,49.95,0.3122,8.55,0.6344,934.3296,0.975,1120.4,103.7653,1,8526.7
250,50.0,0.0,8.4,0.6379,934.4229,1.0,1084.125,106.3863,1,10687.6
300,50.0,0.0,8.275,0.641,934.3591,1.0,1089.85,106.3672,0,12879.0
350,49.95,0.3122,8.575,0.6368,935.4962,0.975,1106.025,103.8132,0,15033.6
400,49.925,0.3455,8.35,0.6401,931.6043,0.95,1117.35,101.2755,0,17289.9
450,50.0,0.0,8.2,0.6447,934.8602,1.0,1182.75,106.0575,0,19592.0
500,50.0,0.0,8.225,0.6398,935.357,1.0,1101.85,106.3272,0,21843.9
550,50.0,0.0,8.1,0.6418,933.8491,1.0,1183.65,106.0545,0,24006.2
600,50.0,0.0,8.35,0.6296,934.2801,1.0,1087.9,106.3737,0,26225.3
650,50.0,0.0,8.0,0.6341,934.8236,1.0,1105.525,106.3149,0,28489.3
700,49.975,0.1561,8.275,0.6411,933.7339,0.975,1124.55,103.7515,0,30789.6
750,49.9,0.4899,8.05,0.632,934.2922,0.95,1060.0,101.4667,0,33025.1
800,49.95,0.3122,8.125,0.632,935.9101,0.975,1091.125,103.8629,0,35262.8
850,49.875,0.5562,8.075,0.6373,932.2776,0.95,1169.675,101.1011,0,37524.2
900,50.0,0.0,7.975,0.6252,934.4313,1.0,1059.925,106.4669,1,39680.2
950,49.5,2.5199,8.075,0.6244,932.2289,0.925,1065.25,98.9492,0,41872.8
1000,49.425,1.6566,7.85,0.6272,931.4718,0.85,1093.85,91.3538,0,43967.6
1050,49.675,1.058,8.025,0.6312,926.547,0.9,1136.6,96.2113,0,46336.3
1100,49.9,0.4359,8.175,0.6217,933.346,0.95,1226.75,100.9108,0,48686.9
1150,49.925,0.3455,8.275,0.6441,935.6142,0.95,1233.925,100.8869,0,51095.1
1200,49.15,3.1666,8.075,0.6225,926.7125,0.9,1178.375,96.0721,0,53396.6
1250,49.75,1.4098,8.425,0.6292,932.4039,0.95,1174.95,101.0835,0,55743.9
1300,49.95,0.3122,8.425,0.6336,934.713,0.975,1158.375,103.6388,0,58028.4
1350,50.0,0.0,8.5,0.6342,933.1906,1.0,1120.275,106.2657,0,60291.3
1400,49.65,2.1857,8.375,0.638,930.7746,0.975,1208.5,103.4717,0,62489.4
1450,49.825,0.7031,8.3,0.6352,932.1664,0.925,1218.5,98.4383,0,63560.2
1500,49.95,0.3122,8.475,0.6308,933.1289,0.975,1159.65,103.6345,0,64336.3
