episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,5,43,1000,301.907,38,,6,0.5658,782.4,0.5612,53,step_limit,0.1056,3.3
2,4,74,1000,834.659,67,,12,0.3192,518.7,0.2921,32,step_limit,0.0786,6.4
3,5,43,1000,369.733,40,,5,0.2928,550.5,0.1829,21,step_limit,0.0588,9.9
4,4,23,1000,96.783,20,,3,0.7107,948.2,0.3994,28,step_limit,0.1179,12.8
5,4,31,1000,268.955,29,,5,0.5675,811.7,0.4448,120,step_limit,0.2349,35.7
6,3,68,1000,758.101,62,,10,0.4367,731.1,0.2848,119,step_limit,0.2443,92.0
7,6,44,386,536.049,44,386,7,0.5937,835.1,0.2019,11,complete,0.2468,114.7
8,6,30,337,272.94,30,337,2,0.6583,777.9,0.3298,5,complete,0.25,134.9
9,6,42,417,438.809,42,417,5,0.6239,840.1,0.2765,13,complete,0.2123,159.7
10,6,47,425,559.611,47,425,7,0.5329,855.7,0.3187,17,complete,0.2078,184.3
11,5,21,311,158.664,21,311,1,0.3904,587.8,0.3703,10,complete,0.16,200.8
12,3,37,909,309.176,30,,4,0.5196,622.3,0.7569,499,no_progress,0.2658,250.7
13,6,28,301,224.226,28,301,1,0.4546,629.3,0.3806,5,complete,0.1979,267.3
14,3,41,635,533.516,41,635,7,0.4782,775.3,0.1278,28,complete,0.2659,303.1
15,3,66,1000,800.009,62,,11,0.4643,773.6,0.3213,58,step_limit,0.2507,360.6
16,4,71,858,911.477,71,858,12,0.5041,842.9,0.1878,16,complete,0.2653,410.3
17,4,24,998,230.247,23,,4,0.6824,925.4,0.6645,79,no_progress,0.4435,465.2
18,5,49,458,545.069,49,458,6,0.4969,742.9,0.2856,18,complete,0.1714,492.1
19,6,34,514,401.825,34,514,6,0.6346,867.6,0.4482,123,complete,0.2623,521.6
20,3,48,975,600.713,48,975,8,0.5101,743.0,0.4165,218,complete,0.2252,575.0
21,4,63,821,803.903,63,821,11,0.5773,934.8,0.1899,32,complete,0.2802,620.3
22,6,46,386,482.988,46,386,5,0.6183,798.1,0.1901,8,complete,0.2237,643.4
23,3,44,1000,420.686,40,,6,0.539,768.8,0.4204,97,step_limit,0.2745,697.6
24,5,41,693,393.74,41,693,5,0.5483,841.5,0.4535,36,complete,0.2756,735.7
25,5,38,376,401.858,38,376,4,0.6346,881.1,0.1819,10,complete,0.1571,756.7
26,5,77,676,950.343,77,676,12,0.5879,896.5,0.2022,9,complete,0.2202,796.3
27,3,41,793,49.751,19,,1,0.5864,556.5,0.7833,497,no_progress,0.1344,839.1
28,5,52,621,632.613,52,621,9,0.6486,1010.0,0.1208,8,complete,0.2731,873.3
29,5,72,958,846.107,72,958,12,0.6382,957.0,0.2151,11,complete,0.3314,927.7
30,5,61,726,707.102,61,726,9,0.6512,985.7,0.2388,10,complete,0.32,969.1
31,5,45,985,466.528,45,985,6,0.6828,965.4,0.663,215,complete,0.287,1025.1
32,3,68,1000,683.419,56,,10,0.435,687.5,0.2806,83,step_limit,0.3051,1079.9
33,3,35,1000,225.269,29,,4,0.35,708.6,0.5776,367,step_limit,0.2048,1133.1
34,3,24,303,282.847,24,303,3,0.4235,648.1,0.1914,19,complete,0.1349,1151.0
35,3,58,1000,385.31,40,,7,0.3247,734.5,0.3705,191,step_limit,0.202,1204.7
36,4,64,1000,716.475,62,,10,0.5723,958.2,0.3591,39,step_limit,0.2831,1260.5
37,6,58,561,672.806,58,561,9,0.6907,1185.2,0.2281,7,complete,0.3239,1293.1
38,3,77,1000,612.334,55,,9,0.486,790.0,0.2877,115,step_limit,0.2802,1349.2
39,3,28,1000,236.075,26,,3,0.6003,760.4,0.6554,408,step_limit,0.3504,1403.4
40,3,37,683,454.161,37,683,6,0.4622,701.0,0.3262,47,complete,0.2616,1440.8
41,5,59,642,731.476,59,642,10,0.4065,626.6,0.3126,10,complete,0.1429,1477.9
42,6,58,483,711.789,58,483,9,0.6377,995.4,0.1085,3,complete,0.2376,1507.1
43,6,20,253,151.61,20,253,1,0.6133,894.3,0.2264,4,complete,0.2398,1521.3
44,6,30,279,373.04,30,279,5,0.4337,663.1,0.1668,4,complete,0.1518,1537.6
45,6,39,364,436.206,39,364,5,0.6108,827.7,0.379,5,complete,0.1849,1559.5
46,6,32,337,400.636,32,337,6,0.5702,812.5,0.1109,2,complete,0.2366,1579.8
47,5,35,653,335.264,35,653,4,0.6867,880.6,0.4967,152,complete,0.2474,1615.7
48,5,39,540,411.936,39,540,5,0.69,1059.7,0.3382,29,complete,0.2676,1645.0
49,5,47,518,586.738,47,518,8,0.5375,823.2,0.2228,11,complete,0.2069,1674.5
50,4,72,911,907.243,72,911,12,0.5022,748.9,0.2127,11,complete,0.2424,1724.7
51,4,71,792,912.382,71,792,12,0.447,723.4,0.1763,15,complete,0.1827,1953.7
52,4,45,564,513.156,45,564,6,0.516,621.6,0.3331,13,complete,0.212,1976.9
53,6,64,437,812.783,64,437,10,0.4569,570.0,0.1315,7,complete,0.1406,1995.6
54,5,24,341,239.992,24,341,3,0.712,1079.4,0.1989,9,complete,0.3106,2011.0
55,6,60,566,656.95,60,566,8,0.6511,1017.1,0.3068,10,complete,0.2647,2042.2
56,6,20,175,138.8,20,175,0,0.6933,820.8,0.172,9,complete,0.2549,2051.5
57,5,61,1000,652.607,58,,10,0.602,833.7,0.4766,97,step_limit,0.2295,2105.6
58,5,77,943,992.259,77,943,14,0.5559,805.3,0.3645,73,complete,0.2264,2159.6
59,5,40,639,399.125,40,639,5,0.6814,1080.8,0.3596,58,complete,0.3062,2198.6
60,3,76,1000,810.362,65,,11,0.4603,799.3,0.157,21,step_limit,0.2687,2254.6
61,5,66,955,780.818,66,955,11,0.599,928.4,0.381,19,complete,0.2586,2308.3
62,5,43,535,495.901,43,535,6,0.5843,845.7,0.3374,15,complete,0.2234,2337.8
63,5,57,708,675.907,57,708,9,0.5808,794.3,0.2988,34,complete,0.2456,2380.1
64,3,52,1000,499.183,45,,7,0.4873,745.6,0.4217,115,step_limit,0.2212,2435.6
65,5,42,393,480.219,42,393,5,0.5608,829.9,0.3216,15,complete,0.1254,2459.5
66,4,41,533,494.456,41,533,6,0.5356,892.2,0.2197,16,complete,0.2373,2490.3
67,5,23,306,228.83,23,306,2,0.5268,745.0,0.1096,3,complete,0.1535,2507.7
68,5,77,564,1017.488,77,564,13,0.4475,682.3,0.1661,8,complete,0.1333,2541.4
69,4,48,555,645.842,48,555,9,0.3658,604.8,0.1522,19,complete,0.1429,2572.9
70,3,69,1000,496.317,46,,8,0.466,726.5,0.4739,142,step_limit,0.2181,2627.1
71,5,34,396,433.376,34,396,6,0.4798,634.5,0.313,12,complete,0.1356,2650.6
72,5,61,1000,584.115,57,,9,0.7102,1086.5,0.4424,32,step_limit,0.2542,2708.3
73,6,50,658,554.372,50,658,8,0.675,987.6,0.3861,7,complete,0.2146,2744.2
74,4,70,1000,847.2,69,,12,0.49,768.4,0.4048,37,step_limit,0.1992,2801.5
75,6,21,158,187.749,21,158,1,0.5148,748.2,0.0899,1,complete,0.1719,2811.1
76,3,49,1000,597.341,47,,9,0.511,741.5,0.3619,122,step_limit,0.2244,2864.4
77,4,67,1000,404.531,48,,7,0.62,785.2,0.5797,233,step_limit,0.2547,2919.4
78,3,34,875,350.244,34,875,5,0.3642,629.6,0.3586,73,complete,0.2121,2966.1
79,5,31,335,372.556,31,335,5,0.5994,840.9,0.135,10,complete,0.1897,2985.6
80,3,44,899,523.989,44,899,7,0.5165,739.9,0.3277,62,complete,0.2344,3033.3
81,6,71,870,815.524,71,870,11,0.6841,1005.0,0.3431,12,complete,0.2487,3083.4
82,4,59,646,794.804,59,646,11,0.4679,694.3,0.1607,34,complete,0.1816,3120.4
83,6,21,166,151.497,21,166,0,0.2922,642.4,0.091,0,complete,0.1022,3130.1
84,4,41,1000,456.488,40,,7,0.63,927.9,0.3971,49,step_limit,0.2877,3184.7
85,5,38,641,418.608,38,641,6,0.7008,1045.4,0.3353,19,complete,0.2842,3220.0
86,5,64,728,822.584,64,728,11,0.5764,777.2,0.2633,31,complete,0.1932,3262.4
87,5,24,290,218.875,24,290,2,0.6062,956.3,0.1202,6,complete,0.2455,3278.5
88,5,66,659,877.217,66,659,12,0.5527,814.0,0.2023,20,complete,0.2136,3317.3
89,6,20,222,134.27,20,222,0,0.6464,820.1,0.0712,2,complete,0.1515,3330.0
90,6,37,343,423.512,37,343,5,0.4368,657.2,0.0512,8,complete,0.1172,3352.0
91,4,60,1000,699.753,59,,10,0.5903,814.3,0.3676,18,step_limit,0.2164,3406.9
92,3,37,998,416.471,37,998,6,0.5685,775.7,0.3616,58,complete,0.2234,3461.6
93,4,27,592,303.846,27,592,5,0.5334,698.5,0.3168,33,complete,0.2463,3494.4
94,4,76,1000,951.084,75,,13,0.5302,860.2,0.3529,26,step_limit,0.2021,3554.1
95,5,30,345,315.95,30,345,3,0.553,784.7,0.2432,18,complete,0.1547,3574.6
96,6,34,348,392.585,34,348,5,0.6188,1028.2,0.1066,7,complete,0.2333,3595.4
97,5,35,506,384.943,35,506,5,0.6221,954.8,0.2588,20,complete,0.2029,3622.3
98,5,39,494,465.441,39,494,6,0.447,682.0,0.2246,12,complete,0.1811,3649.5
99,5,69,1000,634.159,63,,9,0.7072,1106.9,0.4113,21,step_limit,0.2537,3704.8
100,6,80,631,1044.935,80,631,14,0.5576,730.4,0.1525,5,complete,0.1691,3742.3
101,3,62,1000,659.297,55,,9,0.4007,693.6,0.2455,35,step_limit,0.2,4029.4
102,4,30,500,347.2,30,500,5,0.3815,665.7,0.1141,8,complete,0.1708,4050.7
103,5,75,835,947.81,75,835,13,0.5701,816.1,0.2872,20,complete,0.2034,4084.2
104,4,39,535,470.323,39,535,6,0.5388,789.3,0.1832,13,complete,0.2013,4105.1
105,5,24,572,231.796,24,572,3,0.5913,848.5,0.2913,24,complete,0.2159,4128.2
106,5,73,990,875.445,73,990,12,0.6259,943.4,0.3723,60,complete,0.2326,4167.9
107,5,25,330,290.94,25,330,4,0.5461,796.4,0.2051,10,complete,0.1689,4180.7
108,3,69,1000,629.774,53,,9,0.504,804.9,0.3514,119,step_limit,0.2358,4232.7
109,4,25,369,299.496,25,369,4,0.397,721.5,0.1742,10,complete,0.1333,4252.9
110,3,26,859,238.892,26,859,3,0.5219,797.0,0.4499,114,complete,0.1972,4298.2
111,3,21,648,183.789,21,648,2,0.5571,753.1,0.4034,163,complete,0.303,4333.3
112,6,31,330,343.929,31,330,4,0.2823,641.3,0.1276,7,complete,0.1209,4352.1
113,4,57,1000,633.789,55,,9,0.6165,896.2,0.4032,42,step_limit,0.2478,4405.9
114,6,64,750,694.384,64,750,9,0.7084,945.0,0.2901,6,complete,0.2316,4450.3
115,5,57,832,682.558,57,832,10,0.5406,902.1,0.4,17,complete,0.2019,4498.9
116,3,78,1000,656.965,55,,10,0.4507,754.7,0.4081,62,step_limit,0.2562,4555.0
117,6,76,975,881.208,76,975,13,0.6906,1129.0,0.3164,12,complete,0.2782,4611.7
118,3,59,922,753.364,59,922,10,0.432,777.1,0.3474,39,complete,0.177,4662.9
119,4,73,1000,625.622,57,,9,0.6295,873.8,0.4022,52,step_limit,0.2316,4718.4
120,4,68,1000,711.4,64,,9,0.5797,815.2,0.4236,50,step_limit,0.2246,4775.4
121,6,59,783,657.112,59,783,9,0.6445,948.7,0.3355,9,complete,0.219,4820.8
122,6,55,526,679.567,55,526,9,0.5805,844.0,0.1624,8,complete,0.1594,4851.2
123,4,22,396,240.705,22,396,3,0.4362,622.6,0.1699,10,complete,0.1413,4873.1
124,3,57,1000,700.321,55,,10,0.4007,661.4,0.3623,78,step_limit,0.1728,4927.9
125,3,29,828,315.094,29,828,5,0.409,742.2,0.2457,79,complete,0.2387,4973.7
126,6,80,665,1022.27,80,665,14,0.5977,878.7,0.1516,7,complete,0.1716,5013.4
127,6,23,286,169.17,23,286,1,0.5845,844.6,0.275,3,complete,0.1548,5029.0
128,4,75,1000,708.619,62,,11,0.5938,849.1,0.3634,60,step_limit,0.2583,5084.1
129,5,31,510,313.581,31,510,4,0.7122,1172.2,0.2579,7,complete,0.3082,5112.0
130,5,26,285,250.596,26,285,2,0.4098,574.2,0.0765,5,complete,0.1348,5128.8
131,6,57,623,691.178,57,623,9,0.557,723.9,0.208,7,complete,0.1209,5164.0
132,4,51,1000,432.737,43,,7,0.6438,970.5,0.4521,90,step_limit,0.319,5218.1
133,6,36,538,339.437,36,538,4,0.6856,1001.0,0.2688,9,complete,0.2292,5248.2
134,5,49,581,594.226,49,581,8,0.6324,928.4,0.1434,6,complete,0.1881,5279.8
135,4,56,1000,532.421,48,,9,0.585,919.7,0.4517,60,step_limit,0.2284,5333.7
136,3,38,964,449.606,38,964,7,0.453,737.0,0.3805,70,complete,0.1941,5386.2
137,6,37,301,429.972,37,301,5,0.4895,683.2,0.1286,3,complete,0.1299,5404.7
138,5,68,789,832.785,68,789,12,0.6193,810.8,0.1926,13,complete,0.213,5450.6
139,3,63,1000,619.814,52,,9,0.377,565.3,0.4456,60,step_limit,0.1458,5506.8
140,6,64,568,847.157,64,568,12,0.5851,846.4,0.1862,6,complete,0.1803,5541.2
141,4,48,833,572.088,48,833,8,0.5321,718.9,0.295,15,complete,0.1814,5587.0
142,5,69,838,844.752,69,838,12,0.515,752.7,0.2913,10,complete,0.1824,5635.7
143,3,58,1000,653.781,53,,9,0.4463,694.8,0.3677,44,step_limit,0.2018,5690.0
144,6,55,599,669.918,55,599,9,0.6369,918.8,0.1471,3,complete,0.2037,5724.1
145,3,39,921,441.847,39,921,6,0.5577,787.7,0.2924,30,complete,0.2348,5774.5
146,3,60,1000,733.855,55,,11,0.373,512.0,0.2562,49,step_limit,0.1402,5831.0
147,4,44,682,540.62,44,682,7,0.3493,653.4,0.112,9,complete,0.1372,5868.7
148,6,50,421,577.76,50,421,7,0.6164,899.4,0.1145,8,complete,0.1644,5894.0
149,3,36,768,397.202,36,768,5,0.4818,660.2,0.3107,54,complete,0.2167,5937.1
150,5,78,934,1000.268,78,934,14,0.6101,876.4,0.2307,9,complete,0.2298,5990.8
151,4,64,1000,765.5,60,,11,0.3985,514.6,0.3335,59,step_limit,0.1468,6282.2
152,6,21,162,192.366,21,162,1,0.4074,639.7,0.0157,0,complete,0.046,6290.2
153,5,76,1000,814.941,68,,12,0.6322,853.9,0.3812,31,step_limit,0.2075,6329.8
154,3,40,1000,474.345,39,,7,0.5353,728.8,0.2357,28,step_limit,0.2843,6370.4
155,4,64,710,820.187,64,710,11,0.4842,742.7,0.1817,16,complete,0.1741,6400.8
156,5,50,724,578.01,50,724,8,0.6461,947.0,0.2841,10,complete,0.2146,6431.0
157,3,56,1000,693.777,54,,10,0.4057,695.5,0.327,85,step_limit,0.1637,6473.0
158,6,67,1000,743.8,64,,12,0.6593,872.3,0.288,6,step_limit,0.25,6526.5
159,5,78,1000,988.295,77,,14,0.4336,656.7,0.3328,19,step_limit,0.1425,6581.8
160,5,23,556,212.635,23,556,3,0.6698,872.5,0.2593,7,complete,0.2,6611.4
161,6,73,664,921.842,73,664,13,0.6333,977.2,0.1643,7,complete,0.2042,6649.6
162,4,49,696,654.307,49,696,9,0.3843,709.3,0.1319,9,complete,0.1589,6688.6
163,5,36,568,404.531,36,568,6,0.5437,700.0,0.2756,7,complete,0.2158,6720.2
164,5,54,576,689.08,54,576,9,0.4142,699.9,0.1402,9,complete,0.1231,6754.4
165,6,47,380,527.562,47,380,6,0.6018,870.0,0.212,8,complete,0.1859,6777.6
166,5,63,611,809.458,63,611,11,0.5597,819.0,0.1512,7,complete,0.1654,6813.1
167,5,38,442,457.15,38,442,6,0.6208,822.6,0.1944,13,complete,0.2118,6838.9
168,5,44,693,536.486,44,693,8,0.6291,1021.8,0.3281,39,complete,0.2,6878.5
169,5,45,847,452.572,45,847,7,0.5818,928.9,0.3242,25,complete,0.2705,6925.4
170,4,78,1000,958.964,72,,14,0.457,778.7,0.2686,22,step_limit,0.1777,6980.6
171,5,34,534,372.991,34,534,5,0.6423,916.4,0.3595,23,complete,0.1908,7010.6
172,4,48,704,590.948,48,704,8,0.5234,757.1,0.2105,11,complete,0.1559,7050.7
173,4,64,1000,357.919,44,,6,0.605,824.1,0.5388,177,step_limit,0.2646,7105.5
174,5,38,636,411.187,38,636,5,0.4909,664.6,0.1702,14,complete,0.1493,7140.2
175,4,56,1000,593.4,54,,8,0.5725,826.7,0.3299,15,step_limit,0.1978,7194.3
176,3,68,1000,636.484,55,,9,0.475,775.2,0.2565,48,step_limit,0.306,7251.0
177,5,74,877,948.386,74,877,13,0.623,923.5,0.3233,13,complete,0.1852,7300.2
178,5,37,387,390.731,37,387,4,0.5225,916.5,0.2219,11,complete,0.1517,7322.7
179,6,48,506,569.177,48,506,7,0.6571,925.6,0.2855,17,complete,0.1299,7352.0
180,4,61,1000,708.59,60,,10,0.5383,803.7,0.2881,15,step_limit,0.2413,7409.3
181,3,80,1000,654.961,56,,10,0.49,695.1,0.4236,57,step_limit,0.2182,7465.1
182,5,31,462,347.303,31,462,5,0.6688,821.3,0.2435,3,complete,0.2,7492.3
183,4,53,1000,562.468,50,,8,0.6162,866.7,0.363,43,step_limit,0.2391,7549.9
184,4,64,1000,667.688,60,,9,0.6058,946.8,0.3792,42,step_limit,0.1958,7606.6
185,3,49,1000,431.133,40,,7,0.3163,618.6,0.4704,110,step_limit,0.1769,7658.9
186,5,47,735,476.548,47,735,6,0.6781,857.9,0.4483,60,complete,0.217,7699.0
187,5,59,935,705.258,59,935,10,0.6941,1067.8,0.3241,18,complete,0.2564,7751.9
