episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,48.325,5.8838,7.925,0.6438,909.8315,0.85,1141.8,91.194,1,1877.9
100,48.95,3.1141,7.95,0.6477,930.5871,0.825,1048.5,89.005,0,3900.6
150,49.525,2.3768,8.375,0.6361,927.508,0.925,1021.675,99.0944,1,5988.8
200,49.175,2.6447,8.0,0.6442,924.5678,0.875,1092.65,93.8578,0,8032.6
250,49.875,0.7806,8.225,0.6418,931.7343,0.975,1070.725,103.9309,1,10025.7
300,48.925,3.4813,8.1,0.6424,924.652,0.875,1035.3,94.049,0,12059.0
350,49.275,4.2189,8.25,0.6323,925.8635,0.95,1000.025,101.6666,0,14135.0
400,49.975,0.1561,8.525,0.6357,934.5662,0.975,1033.675,104.0544,1,16242.7
450,49.975,0.1561,8.3,0.6259,934.6161,0.975,991.1,104.1963,1,18294.6
500,49.95,0.2179,8.4,0.6322,933.3199,0.95,992.1,101.693,0,20448.6
550,49.975,0.1561,8.4,0.634,935.4998,0.975,1005.375,104.1488,0,22470.5
600,50.0,0.0,8.45,0.6274,934.5227,1.0,944.525,106.8516,1,24415.4
650,50.0,0.0,8.475,0.6372,934.576,1.0,1026.35,106.5788,0,26472.9
700,49.775,1.1289,8.225,0.6267,934.217,0.95,964.025,101.7866,0,28521.0
750,49.95,0.3122,8.375,0.633,933.8015,0.975,989.475,104.2018,0,30569.2
800,49.675,1.1486,8.35,0.6416,929.4223,0.925,1016.85,99.1105,0,32578.6
850,49.875,0.5093,8.35,0.6335,931.6139,0.925,979.775,99.2341,0,34588.4
900,50.0,0.0,8.275,0.6304,934.9725,1.0,978.5,106.7383,0,36619.7
950,49.875,0.7806,8.2,0.615,931.825,0.975,1010.025,104.1333,0,38660.6
1000,49.95,0.3122,8.425,0.6268,933.3452,0.975,1029.1,104.0697,0,40795.5
1050,49.825,0.771,8.15,0.6209,935.6557,0.95,1005.625,101.6479,0,42961.4
1100,49.925,0.3455,8.4,0.6232,934.1265,0.95,1060.075,101.4664,0,45146.8
1150,50.0,0.0,8.175,0.6294,935.1474,1.0,1028.6,106.5713,0,47093.7
1200,50.0,0.0,8.4,0.6346,936.1678,1.0,1105.2,106.316,0,49101.5
1250,49.975,0.1561,8.35,0.641,933.8189,0.975,1064.425,103.9519,0,51174.2
1300,49.85,0.9367,8.175,0.6212,933.4583,0.975,1034.775,104.0507,0,53298.3
1350,49.05,3.5281,8.275,0.6357,927.0964,0.925,1035.275,99.0491,0,55310.5
