episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,46.35,5.5477,7.4,0.6315,898.2019,0.5,1176.45,56.0785,1,1922.9
100,49.125,2.3894,8.125,0.6499,926.0605,0.725,1214.825,78.4506,1,3917.1
150,49.925,0.2634,8.025,0.6426,934.7414,0.925,1035.725,99.0476,1,6053.7
200,49.65,1.0618,8.0,0.6428,931.9016,0.85,1083.275,91.3891,0,8191.7
250,50.0,0.0,8.1,0.6207,935.8148,1.0,969.825,106.7673,1,10115.7
300,49.325,2.9188,7.85,0.6342,931.1874,0.9,1055.325,96.4822,0,12210.2
350,49.85,0.5268,8.025,0.6348,934.8949,0.9,1049.5,96.5017,0,14351.0
400,49.975,0.1561,8.075,0.6313,936.2942,0.975,1023.5,104.0883,0,16459.8
450,49.825,0.8333,8.0,0.6302,934.0913,0.95,986.125,101.7129,0,18594.1
500,49.775,1.4051,8.125,0.6319,931.8278,0.975,994.825,104.1839,0,20724.8
550,49.875,0.7806,7.925,0.6322,933.9322,0.975,994.475,104.1851,0,22816.0
600,49.9,0.3742,7.9,0.6349,934.3605,0.925,989.875,99.2004,0,24878.5
650,50.0,0.0,8.025,0.6266,935.8749,1.0,904.6,106.9847,1,26967.2
700,50.0,0.0,7.9,0.6243,935.8615,1.0,928.8,106.904,0,29071.5
750,50.0,0.0,8.125,0.6235,934.3487,1.0,963.025,106.7899,0,31090.5
800,49.625,1.478,7.725,0.6226,930.8042,0.875,972.65,94.2578,0,33285.4
850,49.55,1.3219,7.85,0.6195,928.7174,0.875,1063.3,93.9557,0,35410.9
900,49.475,1.6123,7.7,0.6273,933.2678,0.85,1030.25,91.5658,0,37400.9
950,49.85,0.5723,7.75,0.618,932.8977,0.925,1064.425,98.9519,0,39449.0
1000,50.0,0.0,7.775,0.6209,933.8332,1.0,1016.175,106.6128,0,41431.2
1050,49.625,1.4948,7.675,0.6196,931.1157,0.9,1112.375,96.2921,0,43679.6
1100,49.775,0.7241,7.675,0.6196,931.9076,0.9,1124.55,96.2515,0,45745.4
1150,49.65,1.4756,7.85,0.6197,930.4947,0.9,1145.75,96.1808,0,47963.7
1200,49.925,0.4684,7.825,0.6182,934.7817,0.975,1056.875,103.9771,0,50100.8
1250,50.0,0.0,7.925,0.6187,935.3966,1.0,979.1,106.7363,0,52318.1
1300,49.9,0.6245,8.05,0.6056,934.2834,0.975,942.2,104.3593,0,54513.6
1350,49.95,0.3122,8.075,0.6159,934.2784,0.975,1036.85,104.0438,0,56238.6
1400,49.375,2.566,8.1,0.6207,925.4637,0.9,1009.775,96.6341,0,57785.1
