episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,5,43,1000,420.674,42,,7,0.6186,846.1,0.2863,23,step_limit,0.1213,3.3
2,4,74,1000,745.881,62,,11,0.3335,542.5,0.2371,49,step_limit,0.0991,6.6
3,5,43,953,430.013,43,953,6,0.2735,586.0,0.1253,11,complete,0.0804,9.9
4,4,23,1000,129.165,21,,3,0.6643,945.9,0.3466,31,step_limit,0.137,12.9
5,4,31,617,296.275,31,617,4,0.5113,809.2,0.2896,36,complete,0.2463,28.9
6,3,68,1000,702.116,59,,9,0.4787,757.6,0.3802,195,step_limit,0.2194,84.5
7,6,44,344,542.278,44,344,7,0.6119,831.5,0.0624,1,complete,0.2557,106.1
8,6,30,333,320.44,30,333,4,0.6802,777.6,0.4222,22,complete,0.2222,125.9
9,6,42,376,456.04,42,376,5,0.6294,839.4,0.1551,6,complete,0.2606,149.2
10,6,47,453,517.399,47,453,6,0.5802,853.0,0.354,10,complete,0.2243,175.7
11,5,21,610,116.738,21,610,2,0.4036,588.4,0.641,88,complete,0.2097,210.4
12,3,37,688,459.76,37,688,6,0.4855,749.4,0.4808,96,complete,0.1579,248.5
13,6,28,316,303.833,28,316,4,0.4256,626.3,0.2756,7,complete,0.1733,267.2
14,3,41,776,516.913,41,776,7,0.4841,783.5,0.2344,44,complete,0.2841,311.5
15,3,66,1000,758.218,59,,11,0.45,774.3,0.2586,57,step_limit,0.2722,367.4
16,4,71,1000,844.975,68,,12,0.5045,844.2,0.3041,72,step_limit,0.2796,422.9
17,4,24,972,170.053,24,972,4,0.6682,1055.6,0.4947,320,complete,0.4006,475.7
18,5,49,608,542.957,49,608,7,0.475,737.2,0.3848,38,complete,0.2286,510.5
19,6,34,334,401.454,34,334,5,0.6367,853.9,0.1953,9,complete,0.2328,529.4
20,3,48,1000,539.656,45,,7,0.521,723.7,0.4534,339,step_limit,0.1746,583.6
21,4,63,889,799.069,63,889,11,0.5574,940.5,0.2158,13,complete,0.3277,633.7
22,6,46,439,569.351,46,439,8,0.6431,788.4,0.1366,3,complete,0.2417,659.1
23,3,44,916,551.638,44,916,8,0.4967,770.7,0.1675,20,complete,0.3077,709.3
24,5,41,638,371.807,41,638,5,0.6564,845.3,0.547,102,complete,0.2076,745.0
25,5,38,424,398.3,38,424,4,0.6401,877.6,0.1301,9,complete,0.2226,769.5
26,5,77,835,995.633,77,835,14,0.6168,891.3,0.1743,5,complete,0.2451,816.6
27,3,41,1000,422.8,40,,6,0.5427,781.5,0.3987,69,step_limit,0.3131,870.4
28,5,52,634,607.175,52,634,8,0.6883,1005.8,0.2443,12,complete,0.3,905.6
29,5,72,960,889.069,72,960,13,0.6519,958.7,0.1904,7,complete,0.3439,961.3
30,5,61,860,700.623,61,860,10,0.6372,986.4,0.2452,17,complete,0.3417,1009.5
31,5,45,839,495.139,45,839,7,0.6191,958.4,0.5345,52,complete,0.2854,1055.8
32,3,68,1000,703.328,60,,9,0.4883,787.5,0.2803,52,step_limit,0.2953,1111.1
33,3,35,707,417.17,35,707,6,0.3753,708.0,0.3038,67,complete,0.2667,1150.2
34,3,24,333,277.885,24,333,3,0.3904,656.7,0.0923,10,complete,0.2121,1168.9
35,3,58,1000,663.103,54,,9,0.4563,781.3,0.307,98,step_limit,0.2806,1223.8
36,4,64,1000,725.594,60,,11,0.5333,865.6,0.2398,18,step_limit,0.3049,1281.0
37,6,58,790,629.366,58,790,9,0.7291,1175.0,0.2488,11,complete,0.3275,1327.2
38,3,77,1000,707.86,60,,10,0.5183,777.7,0.2766,43,step_limit,0.265,1381.8
39,3,28,816,104.07,18,,2,0.5584,643.4,0.7254,494,no_progress,0.3817,1424.9
40,3,37,670,489.57,37,670,7,0.3866,698.5,0.1777,20,complete,0.2068,1461.2
41,5,59,456,750.429,59,456,9,0.407,628.8,0.074,10,complete,0.1239,1487.7
42,6,58,593,748.854,58,593,11,0.6686,995.5,0.2627,33,complete,0.2748,1522.0
43,6,20,277,150.53,20,277,1,0.4236,896.7,0.1334,6,complete,0.1667,1537.5
44,6,30,227,319.2,30,227,3,0.4633,663.7,0.1129,3,complete,0.1123,1550.3
45,6,39,369,464.014,39,369,6,0.6292,830.8,0.2589,4,complete,0.2619,1573.8
46,6,32,298,350.776,32,298,4,0.5789,823.5,0.0586,2,complete,0.2115,1591.0
47,5,35,531,332.136,35,531,4,0.5879,888.3,0.2472,8,complete,0.2479,1621.0
48,5,39,526,406.969,39,526,5,0.6513,1057.8,0.1954,13,complete,0.274,1650.2
49,5,47,702,531.091,47,702,7,0.5875,819.3,0.427,21,complete,0.2347,1685.6
50,4,72,951,930.549,72,951,13,0.5334,747.8,0.2706,66,complete,0.2408,1731.9
51,4,71,980,925.161,71,980,13,0.4691,717.2,0.3723,31,complete,0.1908,1967.0
52,4,45,549,589.969,45,549,8,0.4945,628.4,0.234,14,complete,0.1364,1996.5
53,6,64,435,820.656,64,435,10,0.4636,572.1,0.1477,3,complete,0.1062,2021.3
54,5,24,424,258.196,24,424,4,0.7165,1075.3,0.2325,5,complete,0.3245,2045.5
55,6,60,601,645.4,60,601,8,0.6248,1018.9,0.1878,12,complete,0.292,2080.9
56,6,20,176,138.53,20,176,0,0.7273,819.4,0.0671,0,complete,0.1935,2091.6
57,5,61,631,766.663,61,631,10,0.607,836.5,0.2755,24,complete,0.1728,2127.7
58,5,77,842,1031.796,77,842,15,0.4791,796.9,0.2966,14,complete,0.2,2176.4
59,5,40,638,478.275,40,638,7,0.6702,1086.0,0.3119,13,complete,0.3264,2211.2
60,3,76,1000,850.551,69,,11,0.482,732.3,0.1506,39,step_limit,0.2761,2266.7
61,5,66,700,829.038,66,700,11,0.6126,945.3,0.215,16,complete,0.2425,2306.4
62,5,43,402,518.295,43,402,6,0.5219,839.7,0.2742,21,complete,0.1727,2330.0
63,5,57,600,683.482,57,600,9,0.5443,788.7,0.2327,17,complete,0.1957,2364.6
64,3,52,1000,531.881,47,,7,0.481,771.6,0.3827,148,step_limit,0.2893,2419.1
65,5,42,484,529.121,42,484,7,0.6041,826.7,0.2596,6,complete,0.1833,2446.7
66,4,41,645,510.249,41,645,7,0.5721,890.2,0.2394,24,complete,0.2313,2484.3
67,5,23,306,259.504,23,306,3,0.4758,750.2,0.1859,23,complete,0.11,2501.0
68,5,77,685,947.705,77,685,12,0.475,683.2,0.3451,11,complete,0.1377,2540.6
69,4,48,479,657.032,48,479,9,0.4238,604.5,0.1727,27,complete,0.089,2568.6
70,3,69,1000,605.704,52,,9,0.5053,724.9,0.3999,173,step_limit,0.3182,2625.4
71,5,34,358,399.056,34,358,5,0.5067,650.4,0.2124,9,complete,0.1429,2647.2
72,5,61,1000,625.115,59,,9,0.6936,1082.3,0.277,17,step_limit,0.3339,2702.8
73,6,50,503,565.112,50,503,7,0.6713,989.8,0.2655,8,complete,0.2378,2732.0
74,4,70,1000,828.434,68,,11,0.5155,840.8,0.4132,40,step_limit,0.1923,2787.4
75,6,21,211,147.511,21,211,0,0.4803,755.0,0.25,2,complete,0.1414,2799.4
76,3,49,1000,485.486,45,,7,0.466,756.8,0.3431,63,step_limit,0.2698,2854.1
77,4,67,1000,620.012,57,,9,0.6322,900.8,0.4176,113,step_limit,0.3256,2910.8
78,3,34,585,422.182,34,585,6,0.412,640.7,0.2186,23,complete,0.181,2944.4
79,5,31,359,368.292,31,359,5,0.5833,834.3,0.1756,7,complete,0.2364,2964.7
80,3,44,659,547.86,44,659,7,0.524,748.2,0.2337,21,complete,0.2054,3002.4
81,6,71,687,880.673,71,687,12,0.6764,1009.1,0.2179,6,complete,0.2528,3044.1
82,4,59,596,774.967,59,596,10,0.4648,684.7,0.1392,14,complete,0.1395,3078.2
83,6,21,189,155.717,21,189,0,0.4321,635.7,0.1231,0,complete,0.0889,3088.8
84,4,41,834,480.972,41,834,7,0.6181,931.4,0.3295,26,complete,0.2557,3134.0
85,5,38,495,444.263,38,495,6,0.6582,1053.4,0.167,10,complete,0.1971,3161.4
86,5,64,669,770.019,64,669,10,0.5288,775.4,0.27,19,complete,0.1925,3200.2
87,5,24,451,225.846,24,451,3,0.6621,962.7,0.3445,17,complete,0.2118,3225.4
88,5,66,585,844.72,66,585,11,0.5125,808.5,0.1717,10,complete,0.1524,3259.0
89,6,20,271,160.34,20,271,1,0.623,820.8,0.3434,10,complete,0.1126,3274.8
90,6,37,286,466.71,37,286,6,0.4003,670.0,0.0826,14,complete,0.0772,3291.4
91,4,60,876,677.233,60,876,9,0.5656,948.6,0.3175,50,complete,0.2193,3340.8
92,3,37,1000,335.505,33,,5,0.5507,728.9,0.4849,97,step_limit,0.2772,3394.4
93,4,27,658,258.776,27,658,4,0.5175,704.3,0.3685,50,complete,0.2383,3429.4
94,4,76,1000,933.305,74,,13,0.5285,854.0,0.2679,19,step_limit,0.227,3486.5
95,5,30,373,370.3,30,373,5,0.5346,790.0,0.1572,8,complete,0.1593,3507.8
96,6,34,472,313.709,34,472,3,0.7094,1033.0,0.3661,13,complete,0.2111,3534.1
97,5,35,573,346.279,35,573,4,0.6342,955.3,0.3884,15,complete,0.227,3566.0
98,5,39,417,464.547,39,417,6,0.5108,685.2,0.1836,12,complete,0.1313,3591.1
99,5,69,1000,703.522,64,,11,0.6736,1002.7,0.3475,15,step_limit,0.2929,3645.2
100,6,80,664,1031.24,80,664,14,0.5266,733.3,0.3293,11,complete,0.1385,3684.0
101,3,62,1000,705.232,57,,10,0.435,636.8,0.3665,85,step_limit,0.2222,3960.3
102,4,30,358,337.267,30,358,4,0.4176,669.1,0.3228,16,complete,0.1569,3975.8
103,5,75,779,941.357,75,779,12,0.6041,815.5,0.3156,30,complete,0.2197,4012.2
104,4,39,503,473.47,39,503,6,0.506,788.6,0.246,17,complete,0.1692,4037.1
105,5,24,362,263.192,24,362,3,0.5757,860.1,0.2548,10,complete,0.15,4053.7
106,5,73,818,974.908,73,818,14,0.6005,942.4,0.289,24,complete,0.2175,4096.8
107,5,25,259,301.57,25,259,4,0.5645,805.8,0.1134,6,complete,0.1561,4110.5
108,3,69,1000,770.491,60,,11,0.5,775.6,0.2615,45,step_limit,0.2857,4158.5
109,4,25,290,310.832,25,290,4,0.5009,717.1,0.0817,7,complete,0.0976,4174.9
110,3,26,637,290.967,26,637,4,0.5453,799.9,0.3243,34,complete,0.2396,4210.9
111,3,21,833,168.367,21,833,2,0.6046,764.3,0.6516,351,complete,0.2593,4254.7
112,6,31,244,330.741,31,244,3,0.3907,641.8,0.1046,2,complete,0.0688,4269.5
113,4,57,1000,577.382,51,,9,0.5667,881.5,0.3564,43,step_limit,0.2614,4326.8
114,6,64,626,792.124,64,626,11,0.696,947.0,0.2312,7,complete,0.1944,4366.4
115,5,57,598,703.53,57,598,9,0.5595,913.0,0.1889,10,complete,0.2,4403.8
116,3,78,1000,640.435,55,,9,0.5077,707.1,0.4014,251,step_limit,0.2619,4458.0
117,6,76,894,851.418,76,894,12,0.7049,1127.7,0.3079,10,complete,0.3132,4510.3
118,3,59,1000,711.698,56,,10,0.4077,726.8,0.3541,78,step_limit,0.2404,4565.5
119,4,73,1000,818.471,66,,12,0.584,891.8,0.4134,36,step_limit,0.2578,4621.2
120,4,68,1000,737.5,61,,11,0.5357,742.6,0.3178,27,step_limit,0.2355,4677.3
121,6,59,503,708.661,59,503,9,0.611,951.0,0.1504,7,complete,0.2246,4707.4
122,6,55,567,629.533,55,567,8,0.5752,845.8,0.3354,23,complete,0.2101,4739.8
123,4,22,353,208.989,22,353,2,0.4377,634.9,0.2445,19,complete,0.1719,4759.5
124,3,57,1000,688.479,55,,10,0.3807,651.7,0.4007,72,step_limit,0.1989,4815.1
125,3,29,671,303.739,29,671,4,0.4416,739.3,0.2367,28,complete,0.2126,4852.2
126,6,80,643,1031.862,80,643,14,0.6019,893.0,0.1501,5,complete,0.168,4890.7
127,6,23,285,172.674,23,285,1,0.6708,843.9,0.3722,15,complete,0.2061,4909.0
128,4,75,1000,710.245,64,,10,0.5815,924.8,0.3793,31,step_limit,0.2857,4967.6
129,5,31,512,291.335,31,512,3,0.7164,1171.9,0.4481,12,complete,0.3016,4995.6
