episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,6,57,1000,544.821,54,,8,0.4163,802.4,0.1706,5,step_limit,0.1504,2.8
2,3,50,1000,379.882,38,,6,0.4383,749.9,0.3973,99,step_limit,0.176,4.4
3,6,72,1000,653.492,65,,9,0.5905,766.6,0.3161,16,step_limit,0.1265,7.0
4,3,46,1000,464.77,41,,7,0.2717,564.0,0.2509,35,step_limit,0.1375,11.5
5,4,58,1000,284.676,38,,6,0.6085,818.5,0.5513,225,step_limit,0.2739,48.5
6,3,61,1000,626.598,55,,8,0.4827,761.8,0.2262,39,step_limit,0.3165,103.6
7,3,30,611,373.63,30,611,5,0.5139,774.4,0.2717,54,complete,0.2995,137.4
8,3,69,1000,507.687,46,,8,0.425,674.4,0.4953,145,step_limit,0.2346,190.2
9,4,66,1000,861.718,65,,13,0.5845,1011.3,0.1537,37,step_limit,0.3583,247.0
10,4,26,313,291.349,26,313,3,0.4457,816.1,0.2633,29,complete,0.1744,264.3
11,6,32,232,366.211,32,232,4,0.5194,698.1,0.0307,3,complete,0.1867,279.0
12,4,35,366,400.583,35,366,4,0.4433,705.1,0.1137,10,complete,0.1708,300.7
13,4,23,307,296.972,23,307,4,0.4528,812.0,0.0983,5,complete,0.2333,318.9
14,3,61,1000,373.239,40,,6,0.4233,740.1,0.5488,106,step_limit,0.301,373.1
15,5,78,875,1015.91,78,875,15,0.48,759.7,0.3917,48,complete,0.2107,423.5
16,6,46,464,532.308,46,464,7,0.4986,877.0,0.2912,6,complete,0.2012,450.6
17,5,74,888,965.728,74,888,13,0.4739,770.8,0.3746,13,complete,0.207,501.5
18,4,24,367,293.22,24,367,4,0.5613,761.8,0.2663,12,complete,0.3032,521.6
19,5,24,330,218.229,24,330,2,0.6485,841.3,0.2221,10,complete,0.2565,540.6
20,4,66,743,846.407,66,743,11,0.3943,618.1,0.2922,46,complete,0.1996,583.3
21,4,43,811,527.434,43,811,7,0.5102,631.5,0.5386,123,complete,0.1995,627.5
