episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,49.975,0.1561,8.4,0.6253,933.9541,0.975,1128.225,103.7392,1,1943.0
100,49.975,0.1561,8.3,0.6481,934.3478,0.975,1111.975,103.7934,1,3930.3
150,50.0,0.0,8.375,0.6508,936.1138,1.0,1129.875,106.2338,1,6052.5
200,49.875,0.7806,7.95,0.6534,932.9612,0.975,1163.625,103.6213,0,8199.0
250,49.025,3.9717,8.1,0.639,925.4233,0.925,1109.65,98.8012,0,10182.3
300,50.0,0.0,8.35,0.6431,934.7064,1.0,1158.1,106.1397,0,12284.1
350,49.975,0.1561,8.125,0.6386,935.1117,0.975,1071.7,103.9277,0,14404.2
400,49.475,2.9664,7.9,0.6397,925.3519,0.925,1033.35,99.0555,0,16520.5
450,49.8,0.9798,8.35,0.6302,932.2753,0.95,1047.15,101.5095,0,18669.7
500,50.0,0.0,8.025,0.6283,935.3005,1.0,974.425,106.7519,1,20762.8
550,49.425,3.2855,7.9,0.6356,927.8374,0.95,996.025,101.6799,0,22896.5
600,49.525,1.9103,8.225,0.6372,928.7301,0.925,1057.3,98.9757,0,24979.6
650,49.225,3.921,8.25,0.6431,929.0425,0.9,1144.55,96.1848,0,27167.4
700,49.625,1.7704,8.275,0.6438,933.5971,0.925,1070.575,98.9314,0,29340.2
750,49.875,0.7806,8.325,0.6381,932.9647,0.975,1045.45,104.0152,0,31397.0
800,49.8,0.7141,8.375,0.6371,933.3906,0.9,1071.5,96.4283,0,33592.5
850,49.9,0.6245,8.5,0.6396,933.68,0.975,1109.05,103.8032,0,35730.4
900,49.875,0.7806,8.525,0.6346,933.9848,0.975,1014.65,104.1178,0,37750.3
950,50.0,0.0,8.55,0.625,935.3054,1.0,1062.65,106.4578,0,39818.2
1000,49.85,0.7921,8.45,0.6283,933.8624,0.95,1061.45,101.4618,0,41855.6
1050,50.0,0.0,8.525,0.6208,934.2333,1.0,998.3,106.6723,0,44117.4
1100,49.85,0.6538,8.475,0.628,934.8612,0.95,1015.15,101.6162,0,46176.3
1150,49.675,1.4558,8.45,0.6312,932.4186,0.95,1060.9,101.4637,0,48334.9
1200,49.925,0.4684,8.425,0.6186,933.9441,0.975,963.675,104.2878,0,50450.6
1250,49.875,0.7806,8.275,0.6326,933.3004,0.975,998.325,104.1723,0,52557.4
