episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,48.75,3.8062,7.925,0.6591,924.8754,0.875,1243.2,93.356,1,2030.3
100,49.725,1.7174,7.9,0.6118,933.4876,0.975,1200.425,103.4986,1,4154.0
150,49.925,0.4684,8.35,0.6291,932.8106,0.975,1102.45,103.8252,1,6368.2
200,49.975,0.1561,8.375,0.6417,934.7001,0.975,1138.325,103.7056,0,8543.8
250,50.0,0.0,8.4,0.6387,936.5569,1.0,1082.625,106.3912,1,10692.9
300,50.0,0.0,8.3,0.6342,935.7333,1.0,1086.775,106.3774,0,12813.6
350,49.925,0.4684,8.45,0.6409,935.3357,0.975,1110.65,103.7978,0,14928.6
400,50.0,0.0,8.2,0.6359,935.555,1.0,1076.875,106.4104,1,17145.2
450,49.975,0.1561,8.275,0.6391,934.5383,0.975,1082.675,103.8911,0,19265.4
500,49.875,0.5562,8.15,0.6383,934.2102,0.95,1139.75,101.2008,0,21448.8
550,49.975,0.1561,8.25,0.6519,936.098,0.975,1157.875,103.6404,0,23501.9
600,50.0,0.0,8.45,0.6238,934.7917,1.0,972.8,106.7573,1,25462.6
650,50.0,0.0,8.475,0.6339,935.992,1.0,1078.775,106.4041,0,27586.2
700,50.0,0.0,8.35,0.6354,934.1561,1.0,1020.15,106.5995,0,29691.3
750,49.725,1.7174,8.15,0.6314,933.2964,0.975,995.825,104.1806,0,31769.5
800,50.0,0.0,8.5,0.6332,935.036,1.0,1054.375,106.4854,0,33738.9
850,49.425,2.4175,8.275,0.6305,930.4646,0.9,1071.4,96.4287,0,35827.3
900,50.0,0.0,8.3,0.6239,934.1708,1.0,965.825,106.7806,1,38009.7
950,49.9,0.6245,8.375,0.6134,934.7643,0.975,1079.0,103.9033,0,40109.1
1000,50.0,0.0,8.175,0.6136,935.0156,1.0,1017.55,106.6082,0,42334.9
1050,49.6,2.3431,8.25,0.6091,931.6612,0.95,1032.875,101.5571,0,44534.6
1100,49.925,0.4684,8.45,0.6085,934.3545,0.975,1070.175,103.9327,0,46723.3
1150,49.725,0.9216,8.225,0.6374,932.2008,0.875,1140.6,93.698,0,48725.8
1200,49.775,1.1289,8.25,0.6271,934.9058,0.95,1071.225,101.4292,0,50823.6
1250,50.0,0.0,8.4,0.6409,935.5328,1.0,1044.65,106.5178,0,52879.2
1300,49.825,0.8333,8.25,0.6395,933.4469,0.95,1084.925,101.3836,0,54297.8
1350,49.475,3.2786,8.25,0.6396,932.3444,0.975,1093.725,103.8543,0,55608.6
1400,49.7,1.077,8.375,0.6354,934.1277,0.925,1079.575,98.9014,0,56728.8
1450,49.475,1.884,8.275,0.6407,932.1617,0.925,1132.025,98.7266,0,57532.2
1500,49.825,0.8333,8.3,0.625,932.6734,0.95,1099.475,101.3351,0,58145.1
