episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,5,43,1000,367.256,41,,6,0.5954,849.7,0.3168,13,step_limit,0.0889,6.8
2,4,74,1000,920.881,71,,13,0.324,566.2,0.1597,24,step_limit,0.0819,14.8
3,5,43,675,512.692,43,675,7,0.3419,593.9,0.0874,6,complete,0.0886,19.7
4,4,23,1000,15.03,17,,1,0.6565,900.5,0.5466,90,step_limit,0.1289,24.1
5,4,31,794,264.482,31,794,4,0.5557,812.4,0.3249,20,complete,0.1901,38.1
6,3,68,1000,742.091,59,,10,0.4747,689.6,0.388,116,step_limit,0.1893,92.5
7,6,44,451,557.626,44,451,8,0.6112,843.2,0.2242,14,complete,0.2865,120.0
8,6,30,263,304.3,30,263,3,0.6565,776.2,0.1944,3,complete,0.2515,136.0
9,6,42,530,449.114,42,530,5,0.6745,826.9,0.4792,11,complete,0.2121,165.5
10,6,47,339,549.113,47,339,6,0.5329,845.0,0.1535,4,complete,0.1869,186.5
11,5,21,454,168.586,21,454,2,0.3683,585.5,0.5526,38,complete,0.1837,210.4
12,3,37,918,433.852,37,918,6,0.3479,748.3,0.4372,307,complete,0.2597,259.0
13,6,28,314,248.017,28,314,2,0.4713,626.0,0.2934,5,complete,0.1458,277.7
14,3,41,1000,445.941,36,,7,0.5143,772.6,0.5479,291,step_limit,0.2926,333.0
15,3,66,1000,624.645,53,,9,0.414,773.7,0.325,97,step_limit,0.3009,389.5
16,4,71,1000,844.93,70,,11,0.509,838.1,0.2961,13,step_limit,0.3255,449.6
17,4,24,658,223.647,24,658,3,0.6736,1052.8,0.4171,86,complete,0.3885,486.2
18,5,49,495,608.015,49,495,8,0.543,730.9,0.38,13,complete,0.1833,515.8
19,6,34,390,368.347,34,390,4,0.6748,868.1,0.3744,9,complete,0.2385,537.5
20,3,48,757,603.69,48,757,8,0.4262,740.9,0.2185,23,complete,0.2222,587.1
21,4,63,754,782.111,63,754,10,0.5517,936.2,0.1722,9,complete,0.2345,631.1
22,6,46,439,530.238,46,439,7,0.6458,796.7,0.2842,28,complete,0.2051,657.7
23,3,44,1000,475.389,43,,6,0.5243,767.8,0.4404,68,step_limit,0.2667,711.6
24,5,41,450,481.061,41,450,6,0.5671,839.9,0.3575,13,complete,0.1859,737.3
25,5,38,539,451.287,38,539,6,0.6646,879.8,0.4228,12,complete,0.1948,767.2
26,5,77,866,975.109,77,866,14,0.5751,901.7,0.2892,40,complete,0.22,818.6
27,3,41,952,449.455,41,952,6,0.5235,780.3,0.3112,133,complete,0.323,870.6
28,5,52,659,611.233,52,659,8,0.7023,1006.5,0.2841,12,complete,0.2409,907.0
29,5,72,788,882.76,72,788,12,0.6492,956.2,0.219,10,complete,0.2803,953.3
30,5,61,763,712.243,61,763,9,0.6823,993.8,0.2793,14,complete,0.2545,996.4
31,5,45,434,538.544,45,434,6,0.6083,965.6,0.2679,8,complete,0.1457,1022.3
32,3,68,1000,770.015,60,,11,0.4803,692.5,0.3011,65,step_limit,0.3226,1076.9
33,3,35,1000,215.923,25,,4,0.473,677.9,0.7204,415,step_limit,0.2263,1131.9
34,3,24,441,266.007,24,441,3,0.4437,652.4,0.3896,71,complete,0.1765,1157.8
35,3,58,1000,702.914,56,,9,0.4913,731.3,0.3523,122,step_limit,0.1976,1212.8
36,4,64,1000,651.781,56,,10,0.4995,820.1,0.4227,20,step_limit,0.3081,1269.2
37,6,58,546,722.254,58,546,10,0.6944,1183.3,0.1781,3,complete,0.2118,1302.0
38,3,77,1000,753.305,60,,11,0.5143,772.1,0.2569,37,step_limit,0.2365,1357.9
39,3,28,741,104.952,17,,2,0.61,610.0,0.7697,498,no_progress,0.3559,1399.2
40,3,37,928,434.206,37,928,6,0.3994,699.6,0.4172,153,complete,0.2472,1449.6
41,5,59,792,699.527,59,792,9,0.4715,626.2,0.3765,20,complete,0.1157,1494.0
42,6,58,516,698.071,58,516,9,0.6696,995.4,0.2233,4,complete,0.1684,1525.5
