episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,49.325,2.1082,8.15,0.6438,929.7756,0.85,1171.2875,91.0957,1,2141.7
100,49.925,0.4116,8.4125,0.6457,931.5516,0.9625,1307.875,101.8904,1,4484.4
150,49.975,0.2222,8.4125,0.6512,935.1473,0.9875,1141.3625,104.9455,1,6786.6
200,49.8625,1.1152,8.375,0.6447,933.6057,0.975,1124.7,103.751,0,9172.6
250,49.9375,0.4567,8.175,0.6424,934.279,0.975,1084.5625,103.8848,0,11470.9
300,50.0,0.0,8.05,0.6341,935.5301,1.0,982.5,106.725,1,13731.7
350,50.0,0.0,7.9375,0.6348,935.5167,1.0,991.75,106.6942,0,15997.4
400,49.9125,0.5957,7.95,0.6353,933.6963,0.975,983.3,104.2223,0,18332.9
450,49.7375,1.6259,7.875,0.6347,933.9363,0.95,986.2875,101.7124,0,20538.0
500,49.8125,1.1412,7.975,0.6373,934.4106,0.9375,1024.3375,100.3355,0,22788.8
550,49.2875,2.8688,7.7625,0.6386,931.3255,0.8875,1042.675,95.2744,0,24986.8
600,49.85,1.0259,7.9875,0.6393,933.4912,0.9625,1055.225,102.7326,0,27169.4
650,49.7625,0.6173,7.7125,0.6406,933.0883,0.85,1002.025,91.6599,0,29468.7
700,49.85,0.6344,7.875,0.6364,935.0549,0.9375,1020.325,100.3489,0,31797.2
750,49.825,0.787,7.625,0.6312,934.0473,0.925,980.1875,99.2327,0,34141.4
800,49.5,1.6279,7.65,0.6336,934.1381,0.825,1010.475,89.1317,0,36400.7
850,49.7625,0.7457,7.85,0.6394,933.4823,0.8875,1031.1125,95.313,0,39012.3
900,49.45,1.8159,7.8,0.6332,929.1729,0.8625,995.1625,92.9328,0,41371.0
950,49.7125,1.1202,7.8125,0.6306,931.9591,0.875,1057.5125,93.975,0,43558.9
1000,49.4875,1.9105,7.7,0.6282,931.6175,0.9,994.35,96.6855,0,45879.5
1050,49.2,3.2109,7.575,0.6152,923.9115,0.9,1024.425,96.5853,0,48228.0
