episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,6,57,1000,580.147,53,,10,0.4257,766.7,0.2831,5,step_limit,0.1608,4.9
2,3,50,1000,300.062,35,,5,0.4173,676.7,0.4755,120,step_limit,0.1725,8.0
3,6,72,1000,693.558,65,,11,0.5375,773.7,0.3108,17,step_limit,0.154,14.7
4,3,46,1000,513.737,42,,8,0.3307,590.3,0.1868,25,step_limit,0.1414,27.8
5,4,58,1000,519.041,50,,8,0.6597,1056.5,0.2802,54,step_limit,0.4098,84.1
6,3,61,1000,588.402,50,,9,0.4193,762.3,0.2638,93,step_limit,0.302,139.5
7,3,30,761,340.85,30,761,5,0.4766,766.3,0.3172,59,complete,0.3713,179.9
8,3,69,1000,736.574,60,,10,0.4737,781.5,0.2429,51,step_limit,0.2984,236.2
9,4,66,932,851.872,66,932,12,0.5679,1004.5,0.1305,10,complete,0.3808,289.6
10,4,26,486,290.622,26,486,4,0.5149,816.0,0.4566,54,complete,0.2288,315.0
11,6,32,242,338.967,32,242,3,0.5076,696.8,0.2036,5,complete,0.1633,330.5
12,4,35,359,430.474,35,359,5,0.4415,702.3,0.0798,6,complete,0.2172,350.3
13,4,23,427,252.033,23,427,3,0.5615,808.7,0.3919,35,complete,0.285,374.2
14,3,61,1000,387.951,40,,7,0.4907,628.3,0.6118,208,step_limit,0.2035,428.5
15,5,78,821,984.706,78,821,13,0.5033,760.1,0.381,30,complete,0.1744,477.8
16,6,46,366,535.423,46,366,6,0.5483,885.7,0.097,3,complete,0.1756,501.6
17,5,74,740,938.993,74,740,12,0.5051,779.8,0.336,23,complete,0.158,544.4
18,4,24,351,258.693,24,351,3,0.557,763.6,0.2327,10,complete,0.244,564.7
19,5,24,283,255.662,24,283,3,0.6184,829.4,0.2192,9,complete,0.1892,580.4
20,4,66,676,891.869,66,676,12,0.4249,630.7,0.2307,27,complete,0.1438,619.2
21,4,43,469,508.766,43,469,6,0.3886,627.4,0.2385,11,complete,0.1883,647.5
22,4,43,661,481.569,43,661,6,0.3816,483.1,0.4325,47,complete,0.1355,683.4
23,3,22,635,251.418,22,635,4,0.5648,788.7,0.4268,92,complete,0.3118,718.0
24,4,35,658,354.103,35,658,4,0.5509,778.6,0.4274,110,complete,0.2204,754.2
25,5,25,314,300.72,25,314,4,0.5567,882.8,0.0388,3,complete,0.2533,772.7
26,4,79,1000,723.934,63,,10,0.4195,632.0,0.607,276,step_limit,0.1744,826.7
27,6,63,778,713.063,63,778,10,0.7001,1122.3,0.3653,56,complete,0.2375,871.8
28,3,77,1000,792.412,64,,11,0.4407,782.4,0.2727,47,step_limit,0.1813,929.5
29,4,34,517,392.202,34,517,5,0.5687,882.0,0.2239,13,complete,0.2614,958.2
30,4,25,598,197.392,25,598,2,0.6865,891.1,0.4069,62,complete,0.3545,990.1
31,6,68,514,890.775,68,514,12,0.537,781.5,0.1331,2,complete,0.1812,1021.8
32,4,79,1000,680.744,63,,10,0.5148,839.2,0.3531,19,step_limit,0.2844,1078.1
33,4,62,1000,704.981,60,,10,0.5433,920.6,0.2057,19,step_limit,0.252,1133.8
34,4,33,477,390.944,33,477,5,0.4057,651.5,0.2275,11,complete,0.1548,1161.1
35,4,26,546,216.114,26,546,2,0.4771,684.9,0.3014,19,complete,0.2018,1191.8
36,4,57,872,638.334,57,872,8,0.5849,936.1,0.2744,37,complete,0.259,1240.0
37,4,29,630,288.828,29,630,4,0.594,954.8,0.343,20,complete,0.308,1275.2
38,5,63,693,759.08,63,693,10,0.5812,865.5,0.2781,17,complete,0.2321,1314.8
39,5,44,693,491.566,44,693,7,0.5732,896.7,0.2937,16,complete,0.2708,1353.9
40,6,56,611,678.151,56,611,9,0.6353,851.2,0.3845,28,complete,0.1667,1389.6
41,6,21,204,149.131,21,204,0,0.6283,929.7,0.0431,1,complete,0.2941,1401.0
42,3,24,877,185.827,20,,3,0.5887,681.2,0.681,499,no_progress,0.3535,1446.6
43,4,52,773,619.672,52,773,8,0.531,791.0,0.36,22,complete,0.1458,1488.4
