episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,49.9625,0.19,8.5125,0.6404,934.0992,0.9625,1117.05,102.5265,1,2090.8
100,49.95,0.4444,8.45,0.651,933.9538,0.9875,1248.525,104.5883,1,4376.1
150,49.8875,0.9999,8.375,0.6499,933.6525,0.9875,1117.475,105.0251,1,6734.6
200,49.7125,2.5554,8.3125,0.6434,930.8979,0.9875,1098.7125,105.0876,1,9152.7
250,49.925,0.5651,8.3375,0.6385,933.1499,0.975,1133.2125,103.7226,0,11416.2
300,49.7125,1.892,8.2125,0.6366,932.0868,0.9625,1016.2625,102.8625,0,13683.6
350,49.8625,1.2221,8.15,0.6356,933.6621,0.9875,1076.8875,105.1604,1,15937.7
400,50.0,0.0,8.325,0.6279,935.0757,1.0,982.125,106.7262,1,18207.0
450,50.0,0.0,8.225,0.6207,934.6832,1.0,1010.9125,106.6303,0,20547.2
500,49.975,0.2222,8.3125,0.6126,935.0631,0.9875,1007.025,105.3932,0,22774.0
550,49.75,1.5207,8.125,0.6098,933.4388,0.95,1052.775,101.4908,0,25002.9
600,50.0,0.0,8.2125,0.6217,935.1196,1.0,1030.6625,106.5645,0,27326.1
650,49.925,0.4116,8.3125,0.6254,934.7973,0.9625,982.9375,102.9735,0,29636.3
700,49.7625,1.4164,8.35,0.6183,932.1276,0.95,994.4625,101.6851,0,31969.7
750,49.8875,0.6323,8.225,0.6325,934.4516,0.9625,1018.275,102.8558,0,34385.3
800,49.7625,1.645,8.35,0.6311,933.6674,0.975,963.15,104.2895,0,36889.5
850,49.5875,2.3489,8.0875,0.6341,932.3063,0.95,1000.4,101.6653,0,39482.5
900,49.825,1.2427,8.175,0.6285,934.871,0.9625,994.55,102.9348,0,41667.8
950,49.275,3.074,8.025,0.6274,931.3154,0.9375,987.0875,100.4597,0,43695.5
1000,49.85,0.7599,8.075,0.6369,935.1995,0.95,1024.8,101.584,0,45772.3
1050,49.8625,0.9048,8.025,0.6333,931.9306,0.95,995.3,101.6823,0,48108.3
1100,49.4125,3.165,8.0625,0.6304,930.8161,0.95,973.6625,101.7545,0,49662.0
1150,49.975,0.2222,8.1625,0.6283,935.2708,0.9875,987.5375,105.4582,0,51355.5
