episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,5,43,1000,387.163,41,,6,0.594,844.6,0.2952,11,step_limit,0.0913,5.8
2,4,74,1000,852.735,67,,12,0.3362,571.6,0.1973,16,step_limit,0.0888,12.5
3,5,43,1000,439.093,41,,7,0.2854,596.3,0.1776,9,step_limit,0.0711,17.8
4,4,23,1000,4.278,19,,2,0.6205,945.8,0.3996,53,step_limit,0.1215,22.7
5,4,31,932,245.855,31,932,4,0.5461,813.5,0.3649,107,complete,0.241,50.1
6,3,68,1000,801.315,65,,10,0.435,743.5,0.2179,66,step_limit,0.2331,104.9
7,6,44,353,511.615,44,353,6,0.5982,831.9,0.1915,3,complete,0.1961,127.3
8,6,30,207,322.14,30,207,3,0.6079,773.6,0.1131,3,complete,0.1587,139.3
9,6,42,394,493.817,42,394,6,0.6502,837.0,0.2085,11,complete,0.2167,163.3
10,6,47,628,581.541,47,628,9,0.5671,855.0,0.5061,14,complete,0.224,199.4
11,5,21,340,159.69,21,340,1,0.4506,581.3,0.4496,23,complete,0.155,218.9
12,3,37,640,500.443,37,640,7,0.4578,747.8,0.3709,40,complete,0.1579,254.1
13,6,28,289,312.974,28,289,4,0.4608,627.8,0.3133,7,complete,0.2153,270.4
14,3,41,1000,452.107,39,,6,0.51,776.7,0.5334,229,step_limit,0.3574,323.6
15,3,66,978,388.637,39,,6,0.4973,527.7,0.7282,562,no_progress,0.195,376.4
16,4,71,892,938.855,71,892,13,0.5387,846.5,0.1763,14,complete,0.292,427.4
17,4,24,971,130.36,21,,2,0.7008,872.1,0.7585,482,no_progress,0.4253,476.9
18,5,49,521,606.052,49,521,8,0.5013,735.1,0.2898,8,complete,0.2217,506.5
19,6,34,390,424.018,34,390,6,0.6538,856.8,0.1885,5,complete,0.2275,529.4
20,3,48,936,615.726,48,936,9,0.4284,745.1,0.3277,34,complete,0.2917,578.8
21,4,63,1000,728.4,60,,10,0.5763,937.5,0.3321,69,step_limit,0.3178,634.6
22,6,46,481,493.436,46,481,6,0.6861,793.8,0.2947,6,complete,0.2472,663.1
23,3,44,1000,379.798,40,,5,0.467,755.1,0.3586,122,step_limit,0.3567,716.9
24,5,41,466,504.237,41,466,7,0.5275,845.9,0.2162,9,complete,0.2152,744.2
25,5,38,499,412.458,38,499,5,0.6024,880.6,0.3477,10,complete,0.2203,772.5
26,5,77,1000,844.026,71,,12,0.5928,787.1,0.4098,172,step_limit,0.2367,830.0
27,3,41,1000,417.744,40,,6,0.5377,781.5,0.3964,121,step_limit,0.3366,885.0
28,5,52,734,587.396,52,734,8,0.661,997.0,0.1549,6,complete,0.3086,925.9
29,5,72,1000,771.736,69,,11,0.675,906.2,0.2092,12,step_limit,0.3503,983.3
30,5,61,819,711.247,61,819,10,0.6735,986.3,0.2596,12,complete,0.3512,1030.3
31,5,45,566,507.044,45,566,6,0.6152,958.9,0.3194,16,complete,0.2296,1062.8
32,3,68,1000,734.157,60,,10,0.4883,773.0,0.2391,74,step_limit,0.3005,1118.5
33,3,35,755,407.313,35,755,6,0.3894,700.8,0.3323,59,complete,0.275,1160.5
34,3,24,327,277.777,24,327,3,0.3986,656.7,0.0874,14,complete,0.0985,1179.0
35,3,58,883,300.312,32,,5,0.4775,650.6,0.6428,483,no_progress,0.2369,1225.7
36,4,64,1000,768.988,62,,11,0.5655,884.9,0.3062,33,step_limit,0.2964,1282.7
37,6,58,797,666.746,58,797,10,0.6639,1177.5,0.2618,10,complete,0.3093,1327.3
38,3,77,1000,671.766,57,,10,0.4723,788.9,0.2755,59,step_limit,0.2845,1382.1
39,3,28,715,296.125,28,715,4,0.5217,796.4,0.3684,97,complete,0.3063,1419.9
40,3,37,749,413.749,37,749,5,0.4041,697.9,0.3764,76,complete,0.1754,1461.9
41,5,59,649,720.313,59,649,9,0.3821,623.1,0.3226,11,complete,0.1437,1498.2
42,6,58,560,651.845,58,560,8,0.6613,992.6,0.3225,17,complete,0.2354,1530.5
43,6,20,208,163.04,20,208,1,0.609,897.2,0.1569,4,complete,0.1615,1543.3
44,6,30,358,295.64,30,358,3,0.4264,661.1,0.4792,9,complete,0.1728,1563.3
45,6,39,462,404.018,39,462,5,0.6144,829.2,0.3148,4,complete,0.232,1589.3
46,6,32,315,343.512,32,315,4,0.6079,823.1,0.0828,1,complete,0.1836,1607.7
47,5,35,480,385.6,35,480,5,0.6371,885.4,0.3496,11,complete,0.1938,1633.8
48,5,39,534,413.274,39,534,5,0.7022,1055.3,0.2901,6,complete,0.2464,1663.8
49,5,47,441,573.003,47,441,7,0.5215,822.6,0.135,9,complete,0.1658,1690.3
50,4,72,1000,849.256,70,,12,0.4425,753.4,0.3592,32,step_limit,0.2371,1733.5
51,4,71,1000,773.865,68,,10,0.4447,719.9,0.4785,91,step_limit,0.1736,2138.6
52,4,45,735,557.693,45,735,8,0.4799,624.2,0.3915,28,complete,0.1809,2178.7
53,6,64,483,814.467,64,483,10,0.4983,568.1,0.3463,10,complete,0.1212,2206.8
54,5,24,561,247.658,24,561,4,0.7134,1079.7,0.3366,20,complete,0.35,2236.2
55,6,60,622,655.64,60,622,8,0.6527,1025.1,0.2711,9,complete,0.2092,2273.8
56,6,20,182,168.83,20,182,1,0.7262,820.4,0.0766,1,complete,0.1814,2284.8
57,5,61,725,699.717,61,725,9,0.5713,838.9,0.391,15,complete,0.2165,2326.3
58,5,77,595,971.334,77,595,12,0.4961,796.9,0.1996,10,complete,0.1684,2360.7
59,5,40,769,420.563,40,769,6,0.7035,1082.2,0.3685,15,complete,0.292,2404.4
60,3,76,1000,849.872,66,,12,0.4743,731.0,0.2403,26,step_limit,0.2308,2463.2
61,5,66,650,812.462,66,650,10,0.628,945.1,0.1974,8,complete,0.1778,2501.2
62,5,43,568,496.995,43,568,6,0.6444,833.5,0.3113,14,complete,0.1923,2533.0
63,5,57,480,748.237,57,480,10,0.5521,786.0,0.1433,7,complete,0.1618,2561.7
64,3,52,1000,467.112,42,,7,0.4963,782.6,0.4211,73,step_limit,0.2007,2616.0
65,5,42,539,531.133,42,539,7,0.623,830.8,0.3547,39,complete,0.1353,2645.6
66,4,41,681,470.672,41,681,6,0.5918,891.5,0.3329,62,complete,0.1667,2682.4
67,5,23,237,238.389,23,237,2,0.4329,744.2,0.0444,1,complete,0.0889,2695.2
68,5,77,754,1018.813,77,754,14,0.4679,683.0,0.3282,18,complete,0.1521,2738.7
69,4,48,509,585.965,48,509,7,0.4907,612.1,0.1799,27,complete,0.09,2767.5
70,3,69,1000,555.626,50,,8,0.5347,633.2,0.5203,179,step_limit,0.1667,2822.1
71,5,34,430,365.485,34,430,4,0.4577,641.5,0.2648,10,complete,0.1067,2847.1
72,5,61,1000,583.984,56,,9,0.6932,1116.2,0.3922,20,step_limit,0.2965,2900.1
73,6,50,952,519.812,50,952,9,0.684,975.6,0.4104,11,complete,0.2749,2953.6
74,4,70,1000,684.366,61,,10,0.4308,721.3,0.4602,41,step_limit,0.1688,3009.5
