episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,48.75,3.5899,7.1625,0.6346,923.1651,0.8125,1010.925,87.8803,1,2043.4
100,48.3625,4.8017,7.475,0.6536,922.6879,0.7875,1126.7,84.9943,0,4226.8
150,47.175,6.4144,7.3625,0.6454,911.3823,0.7375,1088.675,80.1211,0,6416.6
200,47.1375,6.9259,7.325,0.6481,915.8224,0.75,1067.7375,81.4409,0,8672.1
250,46.975,6.8245,7.325,0.6427,907.4202,0.75,1037.475,81.5418,0,10825.9
300,48.45,4.2629,7.4375,0.6413,925.8417,0.8125,1083.325,87.6389,0,12963.6
350,47.5625,5.4996,7.55,0.6382,912.9452,0.7,1055.2125,76.4826,0,15169.9
400,48.15,4.3849,7.6,0.6356,921.0695,0.8125,1070.1,87.683,0,17400.6
450,48.5375,3.7045,7.55,0.6401,918.2652,0.7375,1065.4,80.1987,0,19647.4
500,48.9,3.7901,7.5875,0.6294,927.1342,0.825,986.1875,89.2127,1,21859.3
550,48.7375,2.8273,7.5375,0.6409,926.4773,0.7375,1058.1125,80.223,0,23979.4
600,49.175,2.4585,7.45,0.6351,929.3035,0.825,1030.7125,89.0643,0,26119.6
650,48.7625,3.2064,7.5375,0.6323,920.9621,0.8,987.1125,86.7096,0,28404.7
700,48.9375,3.1159,7.3,0.6309,929.2755,0.8,1000.4,86.6653,0,30723.5
750,49.125,2.6381,7.5,0.635,929.9741,0.8,979.425,86.7353,0,32921.3
800,49.2375,3.0872,7.4375,0.6197,927.5493,0.875,946.1375,94.3462,1,35099.1
850,49.5625,1.6571,7.55,0.629,931.442,0.8625,1029.9625,92.8168,0,37667.7
900,49.625,1.3358,7.6875,0.6163,933.7366,0.9,997.5375,96.6749,1,40220.4
950,49.425,2.2236,7.675,0.5894,933.3615,0.8875,1044.6625,95.2678,0,42409.7
1000,49.5375,1.7674,7.6875,0.6085,932.3836,0.9,995.325,96.6822,1,44726.3
1050,49.35,2.8289,7.8375,0.6095,932.2457,0.9,1015.0375,96.6165,0,47094.1
1100,49.8875,0.8061,7.8625,0.6147,935.0069,0.975,1001.4875,104.1617,1,49094.2
1150,49.875,0.62,8.05,0.6114,933.6229,0.9375,1083.175,100.1394,0,50683.3
1200,49.6375,1.3624,8.1375,0.6184,931.5741,0.925,1040.475,99.0318,0,52012.2
1250,49.825,0.6476,8.1125,0.6188,932.7302,0.9125,1058.9125,97.7203,0,53134.9
1300,49.875,0.6591,8.075,0.5919,934.1026,0.9625,1076.275,102.6624,0,54306.4
1350,49.7625,1.1095,7.8375,0.5898,934.3261,0.9375,1042.1375,100.2762,0,55439.0
1400,49.95,0.3122,7.9875,0.6036,935.1637,0.975,971.975,104.2601,1,56485.0
1450,49.8125,0.7432,7.9625,0.5961,933.108,0.925,1020.775,99.0974,0,57611.1
1500,49.6,1.562,7.925,0.6022,931.4158,0.9125,992.8,97.9407,0,58670.8
