episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,6,57,767,614.359,57,767,8,0.4644,800.1,0.1198,3,complete,0.1463,2.3
2,3,50,1000,341.77,37,,5,0.4783,684.7,0.3476,60,step_limit,0.178,3.8
3,6,72,1000,698.108,67,,10,0.5692,772.9,0.2548,15,step_limit,0.1462,6.3
4,3,46,1000,337.235,34,,6,0.2613,520.5,0.3039,57,step_limit,0.1429,8.0
5,4,58,1000,349.324,45,,5,0.657,977.0,0.4079,43,step_limit,0.3341,41.3
6,3,61,1000,539.767,47,,8,0.5003,653.1,0.544,227,step_limit,0.2895,94.8
7,3,30,921,278.69,28,,3,0.5899,775.3,0.6991,497,no_progress,0.3292,144.3
8,3,69,1000,689.422,56,,10,0.5047,671.8,0.3766,101,step_limit,0.265,199.0
9,4,66,987,819.381,66,987,11,0.6196,1006.3,0.294,15,complete,0.3321,254.2
10,4,26,341,290.191,26,341,3,0.4714,818.7,0.21,12,complete,0.2449,273.8
11,6,32,260,366.8,32,260,4,0.5308,691.4,0.2178,4,complete,0.2267,288.8
12,4,35,344,434.24,35,344,5,0.4724,707.0,0.1103,7,complete,0.1375,310.6
13,4,23,330,293.322,23,330,4,0.4833,815.2,0.187,11,complete,0.189,330.3
14,3,61,1000,732.864,56,,11,0.502,764.4,0.2529,47,step_limit,0.2621,386.0
15,5,78,677,1029.926,78,677,14,0.4889,761.3,0.2474,15,complete,0.1874,426.8
16,6,46,416,556.657,46,416,7,0.5405,883.0,0.2286,7,complete,0.1385,453.2
17,5,74,766,900.876,74,766,11,0.5128,774.9,0.4791,84,complete,0.1661,496.9
18,4,24,358,265.497,24,358,3,0.5126,749.9,0.349,20,complete,0.2391,517.0
19,5,24,372,217.337,24,372,2,0.6742,837.5,0.372,19,complete,0.2625,537.8
20,4,66,829,772.137,66,829,10,0.4213,630.9,0.3738,20,complete,0.2283,585.7
21,4,43,570,572.577,43,570,8,0.5246,628.3,0.2192,16,complete,0.1759,617.4
22,4,43,482,545.073,43,482,7,0.3309,497.6,0.3212,13,complete,0.1474,644.9
23,3,22,501,236.579,22,501,3,0.5549,783.0,0.3323,39,complete,0.2885,672.4
24,4,35,673,392.04,35,673,5,0.5449,776.6,0.5552,33,complete,0.2078,710.1
25,5,25,301,271.61,25,301,3,0.5927,886.6,0.1316,10,complete,0.2696,726.3
26,4,79,944,1034.027,79,944,14,0.4767,671.8,0.3149,22,complete,0.2368,782.3
27,6,63,630,746.79,63,630,10,0.7016,1115.1,0.2359,4,complete,0.2361,818.7
28,3,77,1000,783.222,63,,11,0.4347,750.8,0.2813,35,step_limit,0.2554,874.1
29,4,34,570,399.318,34,570,6,0.5452,885.0,0.3218,17,complete,0.2077,906.1
30,4,25,392,220.32,25,392,2,0.6862,898.1,0.2121,30,complete,0.2609,928.2
31,6,68,477,836.374,68,477,10,0.5751,786.2,0.1214,9,complete,0.1397,956.8
32,4,79,1000,895.18,72,,13,0.5353,830.2,0.2793,14,step_limit,0.2409,1012.5
33,4,62,949,711.595,62,949,9,0.6149,932.1,0.2702,36,complete,0.2848,1065.5
34,4,33,512,393.047,33,512,5,0.458,645.7,0.3184,14,complete,0.1269,1096.1
35,4,26,365,308.615,26,365,4,0.5171,687.1,0.2724,23,complete,0.2209,1116.4
36,4,57,1000,689.565,55,,11,0.588,931.5,0.3667,136,step_limit,0.3522,1172.6
37,4,29,653,295.632,29,653,4,0.6049,967.4,0.3922,102,complete,0.2461,1208.1
38,5,63,745,773.583,63,745,11,0.5925,864.0,0.3601,24,complete,0.2392,1250.9
39,5,44,740,420.08,44,740,6,0.5668,896.8,0.448,32,complete,0.2484,1292.8
