episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,46.1,6.6551,7.1375,0.6509,907.0885,0.6125,1130.7875,67.4807,1,2063.4
100,48.7125,4.5994,8.1125,0.6381,924.4303,0.8625,1087.4375,92.6252,1,4205.0
150,48.9375,3.9634,7.7375,0.6434,925.565,0.8625,993.175,92.9394,1,6429.7
200,49.35,2.6791,8.2,0.6411,927.6767,0.875,1007.8625,94.1405,1,8692.1
250,47.9625,4.7261,7.8875,0.6382,920.4589,0.7375,1083.575,80.1381,0,10832.4
300,48.525,4.356,7.975,0.6456,926.4299,0.7875,1103.5125,85.0716,0,13091.7
350,48.1375,4.538,7.7,0.6376,920.7665,0.725,1051.2375,78.9959,0,15334.0
400,48.9375,3.1038,7.8625,0.6378,923.1322,0.775,1097.775,83.8407,0,17586.0
450,49.5125,1.5811,7.9625,0.6185,931.1628,0.8875,1028.175,95.3227,1,19845.4
500,49.625,2.3947,8.0,0.6204,932.0226,0.95,991.7375,101.6942,1,22018.9
550,49.5125,2.7431,7.9375,0.6181,930.0118,0.95,1004.15,101.6528,0,24277.9
600,49.625,1.9325,8.0625,0.6152,932.2675,0.9375,983.0875,100.473,0,26576.1
650,49.65,1.7685,8.0875,0.6131,933.3842,0.9125,1005.2875,97.899,0,28930.9
700,49.5375,1.7316,8.15,0.6238,931.5913,0.8875,1001.5625,95.4115,0,31224.5
750,49.8125,0.8381,8.4375,0.6281,931.6304,0.9375,1042.7125,100.2743,0,33561.3
800,49.9125,0.4794,8.4125,0.6294,935.1406,0.95,1020.5625,101.5981,0,35981.6
850,49.5875,1.5708,8.1375,0.6199,929.8639,0.9,1027.0625,96.5765,0,38612.8
900,49.625,1.926,8.0,0.6262,934.569,0.9625,985.05,102.9665,1,40879.5
950,49.95,0.35,7.95,0.6263,935.2375,0.975,969.2125,104.2693,1,42968.0
1000,49.875,0.5783,8.0375,0.6191,934.4698,0.95,953.4625,101.8218,0,44997.8
1050,49.75,1.3276,8.2125,0.6203,932.6584,0.95,958.2,101.806,0,47295.4
1100,49.875,0.7479,8.2375,0.6209,933.1653,0.9625,1004.7625,102.9008,0,49066.5
1150,49.45,1.7951,8.175,0.6281,929.207,0.875,1025.575,94.0814,0,50711.3
1200,49.65,1.621,8.1875,0.6162,932.8153,0.9375,1025.85,100.3305,0,51998.5
1250,49.5,2.0125,8.0625,0.6092,929.027,0.9125,1020.875,97.8471,0,53122.1
1300,49.85,0.7263,8.2625,0.617,934.0714,0.95,1015.9375,101.6135,0,54260.4
1350,49.8875,0.6323,8.1625,0.6122,934.9819,0.9625,1001.3375,102.9122,0,55382.1
1400,49.725,1.7246,8.15,0.6252,933.1258,0.975,1032.925,104.0569,0,56501.1
1450,49.5875,1.941,8.125,0.6128,932.3424,0.925,997.9,99.1737,0,57595.9
1500,49.8375,0.9545,8.3,0.6119,933.7147,0.9625,1000.375,102.9154,0,58748.6
