episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,5,43,1000,372.453,41,,6,0.5962,847.5,0.3042,32,step_limit,0.0783,2.8
2,4,74,1000,909.146,69,,13,0.3068,586.7,0.1369,10,step_limit,0.0929,6.1
3,5,43,1000,380.314,39,,6,0.3066,541.9,0.1893,16,step_limit,0.0681,9.4
4,4,23,1000,15.322,19,,1,0.6855,930.5,0.4105,25,step_limit,0.1212,11.9
5,4,31,696,316.418,31,696,5,0.5295,816.9,0.2998,37,complete,0.2196,29.0
6,3,68,1000,616.838,52,,9,0.3303,689.8,0.4292,239,step_limit,0.1976,84.2
7,6,44,400,501.336,44,400,6,0.6512,836.1,0.2368,8,complete,0.2215,109.7
8,6,30,258,312.66,30,258,3,0.6072,769.6,0.1594,3,complete,0.2244,126.3
9,6,42,553,470.634,42,553,7,0.626,831.9,0.3596,11,complete,0.2152,158.3
10,6,47,384,543.611,47,384,6,0.5734,856.9,0.2299,3,complete,0.1982,180.5
11,5,21,309,197.693,21,309,2,0.4104,583.8,0.3152,12,complete,0.1632,198.5
12,3,37,783,457.445,37,783,6,0.4636,741.8,0.3593,103,complete,0.2195,241.3
13,6,28,274,261.846,28,274,2,0.4605,631.0,0.2964,7,complete,0.122,256.6
14,3,41,676,495.327,41,676,6,0.4887,779.9,0.2029,27,complete,0.2387,295.2
15,3,66,1000,757.391,61,,10,0.481,783.1,0.1772,18,step_limit,0.2812,349.9
16,4,71,1000,878.715,70,,12,0.5228,836.7,0.3242,31,step_limit,0.2892,407.3
17,4,24,532,271.82,24,532,4,0.6006,1051.3,0.2994,16,complete,0.2857,436.7
18,5,49,500,608.898,49,500,8,0.5184,736.1,0.2491,6,complete,0.1512,465.1
19,6,34,428,426.096,34,428,6,0.6153,862.6,0.3879,5,complete,0.2205,489.3
20,3,48,894,559.274,48,894,7,0.4351,749.7,0.2689,53,complete,0.2712,538.7
21,4,63,723,788.655,63,723,10,0.5339,944.0,0.2141,11,complete,0.2325,581.3
22,6,46,460,499.261,46,460,6,0.6721,792.9,0.2411,7,complete,0.1711,608.7
23,3,44,927,518.117,44,927,7,0.5092,782.6,0.3206,63,complete,0.2904,659.9
24,5,41,409,450.916,41,409,5,0.5594,841.9,0.2833,29,complete,0.1543,685.8
25,5,38,494,408.261,38,494,5,0.5984,875.2,0.3227,11,complete,0.2171,714.6
26,5,77,782,954.283,77,782,13,0.587,896.9,0.215,31,complete,0.1906,758.7
27,3,41,931,442.363,41,931,6,0.5331,766.9,0.2944,62,complete,0.2847,809.4
28,5,52,804,556.771,52,804,8,0.69,1001.5,0.2828,12,complete,0.2619,856.9
29,5,72,1000,576.889,61,,8,0.6368,861.8,0.454,113,step_limit,0.2383,911.8
30,5,61,817,706.732,61,817,10,0.633,995.9,0.3521,24,complete,0.2737,959.5
31,5,45,459,572.883,45,459,8,0.5259,954.5,0.1234,4,complete,0.127,987.6
32,3,68,1000,672.321,55,,10,0.4663,690.8,0.2279,28,step_limit,0.25,1042.3
33,3,35,939,128.13,21,,3,0.4831,600.1,0.779,487,no_progress,0.3241,1091.6
34,3,24,383,271.335,24,383,3,0.423,655.4,0.3251,70,complete,0.1159,1112.1
35,3,58,1000,565.633,47,,8,0.4927,589.7,0.5713,418,step_limit,0.2254,1167.6
36,4,64,914,770.084,64,914,10,0.5703,958.5,0.1773,23,complete,0.2671,1219.9
37,6,58,1000,595.569,55,,9,0.752,990.6,0.5908,169,step_limit,0.3194,1276.2
38,3,77,1000,749.925,61,,11,0.5147,772.6,0.1964,32,step_limit,0.3105,1331.3
39,3,28,552,318.929,28,552,4,0.5525,792.3,0.2563,25,complete,0.2857,1362.6
40,3,37,673,484.68,37,673,7,0.3982,696.7,0.323,107,complete,0.2125,1400.7
41,5,59,624,705.054,59,624,9,0.3272,635.0,0.2337,7,complete,0.1398,1438.8
42,6,58,482,709.801,58,482,9,0.6587,999.2,0.2153,6,complete,0.1935,1467.8
43,6,20,243,154.46,20,243,1,0.5864,896.0,0.1635,1,complete,0.1847,1481.9
44,6,30,228,321.44,30,228,3,0.4298,667.2,0.0468,1,complete,0.1196,1495.1
45,6,39,403,430.912,39,403,5,0.5732,834.3,0.3111,7,complete,0.1598,1519.0
46,6,32,298,376.82,32,298,5,0.5861,816.3,0.1903,8,complete,0.1399,1536.4
47,5,35,883,112.807,24,,3,0.7078,747.9,0.8028,241,no_progress,0.2943,1585.3
48,5,39,528,416.318,39,528,5,0.6875,1058.5,0.3012,7,complete,0.2405,1615.3
49,5,47,665,536.793,47,665,7,0.6066,832.5,0.4611,50,complete,0.217,1653.7
50,4,72,1000,494.75,50,,8,0.3912,630.8,0.595,228,step_limit,0.2009,1707.6
51,4,71,1000,542.839,50,,9,0.3877,570.5,0.6365,166,step_limit,0.2263,2103.1
52,4,45,506,551.716,45,506,7,0.4792,626.9,0.2344,12,complete,0.1519,2129.2
53,6,64,458,814.458,64,458,10,0.4465,570.8,0.2631,14,complete,0.1487,2154.2
54,5,24,853,197.246,24,853,4,0.744,1078.2,0.5615,155,complete,0.3222,2199.4
55,6,60,534,738.74,60,534,10,0.6301,1021.3,0.1924,6,complete,0.2183,2230.9
56,6,20,223,134.75,20,223,0,0.6091,823.2,0.0908,3,complete,0.1343,2243.3
57,5,61,589,771.976,61,589,10,0.5963,828.6,0.1071,7,complete,0.2038,2276.4
58,5,77,908,1002.47,77,908,14,0.5744,806.8,0.4242,23,complete,0.2146,2328.6
59,5,40,695,419.225,40,695,6,0.7174,1079.4,0.4045,21,complete,0.2359,2366.0
60,3,76,1000,793.15,64,,11,0.446,696.1,0.1624,56,step_limit,0.2765,2421.6
61,5,66,646,867.655,66,646,12,0.6084,943.4,0.1893,10,complete,0.2108,2460.1
62,5,43,594,531.812,43,594,7,0.5916,833.7,0.3149,8,complete,0.2052,2492.7
63,5,57,627,707.852,57,627,10,0.5394,790.7,0.3215,9,complete,0.1804,2528.2
64,3,52,1000,621.537,51,,8,0.516,787.0,0.4158,116,step_limit,0.2593,2581.9
65,5,42,388,513.695,42,388,6,0.5887,827.3,0.1164,4,complete,0.1424,2605.6
66,4,41,655,507.859,41,655,7,0.5832,900.1,0.3087,18,complete,0.1899,2642.8
67,5,23,292,254.574,23,292,3,0.3658,749.2,0.1223,3,complete,0.065,2660.5
68,5,77,660,994.136,77,660,13,0.4618,676.4,0.3085,11,complete,0.1279,2700.2
69,4,48,566,648.36,48,566,9,0.4161,602.2,0.2404,14,complete,0.1126,2733.3
70,3,69,1000,698.839,55,,11,0.4713,786.2,0.2901,63,step_limit,0.244,2789.9
71,5,34,466,395.641,34,466,5,0.4742,653.2,0.351,10,complete,0.1508,2815.9
72,5,61,1000,569.074,56,,8,0.695,1131.2,0.3514,15,step_limit,0.3233,2873.3
73,6,50,561,539.12,50,561,7,0.648,981.2,0.2981,13,complete,0.2051,2905.3
74,4,70,905,898.274,70,905,12,0.5152,843.1,0.3799,20,complete,0.1905,2958.8
75,6,21,157,188.494,21,157,1,0.4788,749.9,0.0432,3,complete,0.0774,2968.1
76,3,49,1000,489.294,45,,7,0.4667,758.5,0.3327,51,step_limit,0.2933,3023.3
77,4,67,1000,689.307,60,,10,0.6115,898.8,0.3585,33,step_limit,0.2825,3079.8
78,3,34,737,389.74,34,737,5,0.4885,646.7,0.3851,62,complete,0.2,3118.3
79,5,31,495,303.185,31,495,4,0.6352,833.2,0.2909,28,complete,0.1969,3148.1
80,3,44,706,578.911,44,706,8,0.5236,754.3,0.308,46,complete,0.2031,3186.8
81,6,71,627,868.926,71,627,11,0.681,1017.4,0.2556,18,complete,0.1757,3223.8
