episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,49.8,1.7776,7.5375,0.6123,934.5853,0.9875,931.025,105.6466,1,2338.1
100,49.6625,2.5639,7.325,0.6239,930.7151,0.95,948.15,101.8395,0,5111.2
150,50.0,0.0,7.8875,0.6213,934.8776,1.0,986.3375,106.7122,1,7728.1
200,49.9875,0.1111,7.95,0.623,935.4148,0.9875,990.0625,105.4498,0,10378.5
250,49.9875,0.1111,7.825,0.6189,936.088,0.9875,910.0625,105.7165,0,12967.5
300,49.9875,0.1111,7.95,0.6091,936.1368,0.9875,884.4375,105.8019,0,15476.3
350,49.875,1.111,8.05,0.611,933.8297,0.9875,907.525,105.7249,0,17929.4
400,50.0,0.0,7.8375,0.6102,936.4103,1.0,890.3625,107.0321,1,20401.6
450,49.9375,0.5555,7.925,0.6106,937.2606,0.9875,873.0,105.84,0,22882.8
500,49.8375,0.7149,7.825,0.6113,932.8433,0.9375,880.875,100.8137,0,25400.1
550,50.0,0.0,7.875,0.6081,936.6635,1.0,862.95,107.1235,1,27854.8
600,49.7625,1.899,7.8375,0.6075,934.5353,0.975,870.0625,104.5998,0,30292.3
650,49.7125,2.3356,7.75,0.6105,933.3559,0.9625,867.175,103.3594,0,32822.8
700,49.5,3.7182,8.05,0.596,931.4769,0.9625,864.2375,103.3692,0,35383.4
750,49.9875,0.1111,7.925,0.6027,935.533,0.9875,873.9375,105.8369,0,37853.8
800,49.775,1.6806,7.9125,0.6118,935.0473,0.9625,901.0,103.2467,0,39802.5
850,49.8375,0.993,7.8125,0.6093,934.64,0.9625,889.65,103.2845,0,41643.8
900,49.925,0.5651,7.95,0.6128,934.4892,0.975,881.8125,104.5606,0,43470.5
950,49.9125,0.4794,7.9,0.6094,934.3856,0.9625,862.1,103.3763,0,45275.8
1000,49.8125,1.3702,7.9125,0.6118,934.8647,0.975,882.15,104.5595,0,47226.6
1050,50.0,0.0,8.0125,0.6106,935.9243,1.0,908.725,106.9709,0,49355.3
1100,49.6625,2.0059,7.8875,0.6186,933.1218,0.9375,893.2125,100.7726,0,51237.9
1150,49.75,0.9937,7.9875,0.6213,934.1079,0.925,961.325,99.2956,0,53244.7
1200,49.3875,2.8657,7.925,0.6248,930.0951,0.9125,930.3,98.149,0,55333.4
1250,49.9125,0.4241,8.0625,0.622,934.8173,0.95,960.1125,101.7996,0,57317.0
1300,49.6875,2.6674,7.9875,0.6193,930.9329,0.975,938.2875,104.3724,0,59141.3
