episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,4,43,1000,318.716,36,,5,0.6188,803.7,0.4674,116,step_limit,0.0844,4.7
2,3,74,1000,641.195,56,,9,0.2403,458.7,0.3657,50,step_limit,0.0667,10.2
3,4,43,1000,404.242,39,,6,0.3255,536.7,0.212,50,step_limit,0.0767,15.3
4,3,23,1000,84.609,19,,2,0.5483,761.6,0.3819,56,step_limit,0.081,19.7
5,3,31,1000,142.461,24,,3,0.444,693.5,0.5114,73,step_limit,0.1733,35.1
6,3,68,1000,716.866,58,,10,0.3837,672.4,0.3728,152,step_limit,0.2193,88.9
7,4,44,725,494.573,44,725,6,0.5779,836.7,0.3037,124,complete,0.3689,130.1
8,4,30,352,314.28,30,352,3,0.5455,768.9,0.1961,11,complete,0.2807,151.7
9,4,42,626,-26.916,16,,0,0.6494,479.3,0.7906,499,no_progress,0.2885,185.5
10,4,47,599,592.576,47,599,8,0.5,859.8,0.0801,14,complete,0.2935,220.3
11,4,21,531,150.646,21,531,2,0.4482,586.4,0.4763,132,complete,0.2591,249.8
12,3,37,967,416.095,37,967,6,0.5157,743.1,0.5142,250,complete,0.2867,302.1
13,4,28,267,286.191,28,267,2,0.486,621.3,0.0269,10,complete,0.2073,317.8
14,3,41,760,487.049,41,760,6,0.5202,773.1,0.1364,36,complete,0.3333,359.5
15,3,66,1000,792.486,61,,11,0.446,787.1,0.152,31,step_limit,0.2849,416.3
16,3,71,1000,749.407,61,,10,0.4143,669.0,0.1807,50,step_limit,0.3,469.6
17,3,24,647,270.79,24,647,4,0.5585,800.8,0.2289,59,complete,0.371,508.3
18,4,49,712,591.006,49,712,8,0.4431,740.8,0.2148,19,complete,0.2952,548.9
19,4,34,589,414.369,34,589,6,0.57,870.7,0.2308,23,complete,0.3795,582.5
20,3,48,1000,417.112,39,,7,0.494,726.3,0.4805,391,step_limit,0.2083,635.2
21,3,63,1000,750.462,60,,10,0.4647,763.8,0.2036,36,step_limit,0.3382,691.5
22,4,46,721,550.412,46,721,8,0.5413,798.2,0.1706,14,complete,0.294,730.4
23,3,44,1000,495.198,42,,7,0.5197,766.8,0.3249,112,step_limit,0.3393,786.7
24,4,41,617,507.857,41,617,7,0.5223,833.9,0.1481,13,complete,0.311,822.0
25,4,38,624,414.472,38,624,5,0.5853,877.4,0.2552,59,complete,0.2804,856.6
26,4,77,1000,814.358,71,,11,0.5435,895.0,0.2453,19,step_limit,0.3279,910.5
27,3,41,922,445.157,41,922,6,0.4928,778.6,0.27,57,complete,0.4043,961.8
28,4,52,1000,539.938,50,,8,0.6275,999.8,0.2674,19,step_limit,0.4364,1019.5
29,4,72,1000,706.478,63,,10,0.6015,860.5,0.1963,13,step_limit,0.382,1074.5
30,4,61,1000,586.557,56,,8,0.611,983.8,0.2697,23,step_limit,0.4449,1131.0
31,4,45,585,512.236,45,585,6,0.553,958.5,0.1986,15,complete,0.2711,1164.3
32,3,68,1000,811.379,64,,11,0.4987,790.1,0.2185,39,step_limit,0.2755,1219.7
33,3,35,735,420.084,35,735,6,0.4145,701.1,0.332,124,complete,0.2597,1259.0
34,3,24,355,271.687,24,355,3,0.354,656.1,0.1334,26,complete,0.2917,1279.2
35,3,58,1000,721.991,57,,10,0.4337,785.4,0.2868,75,step_limit,0.2377,1337.5
36,3,64,1000,697.7,56,,10,0.5063,781.0,0.1799,20,step_limit,0.3051,1392.5
37,4,58,1000,643.0,55,,10,0.6318,994.7,0.2658,20,step_limit,0.4045,1446.2
38,3,77,1000,699.695,56,,11,0.492,785.0,0.2621,55,step_limit,0.3035,1501.4
39,3,28,917,199.876,23,,3,0.5998,786.5,0.6531,490,no_progress,0.3882,1548.9
40,3,37,750,478.065,37,750,7,0.3729,691.4,0.2737,38,complete,0.2452,1589.2
41,4,59,1000,633.925,56,,9,0.3468,634.1,0.4567,118,step_limit,0.1702,1644.2
42,4,58,987,671.796,58,987,9,0.5874,991.6,0.2276,50,complete,0.377,1699.8
43,4,20,397,220.28,20,397,3,0.5894,890.8,0.1668,10,complete,0.3021,1720.2
44,4,30,354,343.027,30,354,4,0.4054,661.9,0.2093,21,complete,0.2125,1740.1
45,4,39,489,475.978,39,489,6,0.5138,831.1,0.094,12,complete,0.31,1764.8
46,4,32,432,352.508,32,432,4,0.5295,816.8,0.1521,12,complete,0.3254,1784.8
47,4,35,1000,247.634,31,,3,0.6783,863.2,0.6947,497,step_limit,0.3247,1828.0
48,4,39,672,380.607,39,672,4,0.6615,1060.2,0.2272,23,complete,0.3487,1855.0
49,4,47,788,581.654,47,788,8,0.4943,829.5,0.3236,23,complete,0.2553,1887.5
50,3,72,1000,853.204,65,,12,0.437,748.2,0.2133,54,step_limit,0.224,1927.0
51,3,71,1000,821.07,66,,11,0.3563,569.8,0.3105,101,step_limit,0.1707,2408.8
52,3,45,768,580.513,45,768,8,0.4184,625.8,0.2144,26,complete,0.2355,2450.8
53,4,64,891,832.166,64,891,12,0.3179,571.5,0.2806,31,complete,0.1854,2499.6
54,4,24,579,193.257,24,579,2,0.69,997.0,0.429,81,complete,0.307,2530.4
55,4,60,1000,509.213,51,,8,0.4705,1002.5,0.3103,42,step_limit,0.2652,2585.9
56,4,20,419,160.62,20,419,1,0.6432,821.2,0.3177,11,complete,0.2784,2610.3
57,4,61,880,769.639,61,880,11,0.5057,842.5,0.2366,20,complete,0.2378,2659.1
58,4,77,1000,766.021,67,,11,0.439,764.0,0.4198,26,step_limit,0.2103,2717.1
59,4,40,1000,357.66,39,,5,0.6545,1050.2,0.4272,55,step_limit,0.3428,2771.8
60,3,76,1000,745.891,60,,11,0.406,755.8,0.2606,58,step_limit,0.2308,2829.9
61,4,66,1000,777.806,64,,11,0.5258,925.1,0.1652,17,step_limit,0.2829,2886.5
62,4,43,587,574.622,43,587,8,0.5,831.5,0.1891,8,complete,0.2346,2919.7
63,4,57,1000,640.126,55,,9,0.547,777.1,0.3576,51,step_limit,0.284,2974.8
64,3,52,1000,588.085,47,,9,0.4857,761.6,0.3515,67,step_limit,0.2647,3031.2
65,4,42,484,504.745,42,484,6,0.5191,822.0,0.1858,11,complete,0.1644,3059.5
66,3,41,958,497.199,41,958,7,0.4868,775.0,0.3859,60,complete,0.2454,3112.7
67,4,23,459,272.683,23,459,4,0.3693,749.0,0.1665,10,complete,0.195,3138.1
68,4,77,910,1020.592,77,910,14,0.3607,682.5,0.2756,13,complete,0.1357,3192.6
69,3,48,791,617.914,48,791,8,0.3599,602.1,0.2434,73,complete,0.1409,3238.6
70,3,69,1000,461.722,46,,7,0.384,652.2,0.2138,44,step_limit,0.1327,3293.8
71,4,34,656,373.231,34,656,5,0.4188,645.9,0.2424,10,complete,0.1916,3329.5
72,4,61,1000,632.092,56,,9,0.6235,1059.0,0.3064,16,step_limit,0.2788,3382.4
73,4,50,1000,414.872,42,,7,0.6065,903.9,0.3924,34,step_limit,0.301,3437.9
74,3,70,1000,596.15,53,,8,0.3607,596.5,0.4106,135,step_limit,0.1397,3493.8
75,4,21,321,245.274,21,321,3,0.5,743.6,0.1565,7,complete,0.2391,3511.0
76,3,49,1000,501.302,43,,8,0.4627,731.4,0.3108,38,step_limit,0.2623,3567.2
77,3,67,1000,685.458,56,,10,0.5217,784.5,0.2629,59,step_limit,0.25,3623.4
78,3,34,633,426.557,34,633,6,0.4639,631.7,0.1711,23,complete,0.1826,3659.6
79,4,31,687,298.623,31,687,4,0.5346,831.5,0.3147,18,complete,0.2568,3698.1
80,3,44,810,171.914,24,,3,0.5621,503.9,0.7627,495,no_progress,0.2097,3741.1
81,4,71,1000,801.803,65,,12,0.5942,984.4,0.2687,16,step_limit,0.26,3798.1
82,3,59,1000,613.322,51,,9,0.3633,645.0,0.4313,96,step_limit,0.1242,3850.6
83,4,21,621,149.16,21,621,1,0.186,637.7,0.1545,10,complete,0.1182,3884.5
