episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,48.9125,4.6157,7.8,0.6061,925.6557,0.9125,1180.2875,97.3157,1,2245.4
100,49.75,1.3181,8.275,0.6366,933.6657,0.95,1108.7125,101.3043,1,4736.3
150,49.9375,0.3655,8.1375,0.6376,935.2475,0.9625,1102.0,102.5767,1,7203.6
200,49.7875,1.4026,8.3125,0.6274,932.9869,0.9625,1028.1375,102.8229,1,9541.2
250,49.8375,0.8131,8.2125,0.6207,934.8292,0.95,987.7125,101.7076,0,11831.5
300,49.95,0.35,8.2625,0.6251,935.161,0.975,945.025,104.3499,1,14056.8
350,49.4875,2.2913,8.1125,0.6233,931.7961,0.9125,994.725,97.9343,0,16367.1
400,49.5375,1.5964,8.1875,0.6213,929.5281,0.9,993.6375,96.6879,0,18631.5
450,49.55,2.0609,8.2375,0.6099,929.2276,0.925,1028.5875,99.0714,0,20906.1
500,49.65,2.0378,8.25,0.612,933.2324,0.9625,934.6,103.1347,0,23140.1
550,49.875,0.8997,8.125,0.615,935.2593,0.9625,991.3375,102.9455,0,25341.4
600,49.425,2.7421,8.175,0.6174,931.5536,0.95,993.6875,101.6877,0,27508.8
650,49.475,2.4494,8.25,0.6121,932.2819,0.925,1000.925,99.1636,0,29809.9
700,49.75,1.6008,8.35,0.6122,933.9224,0.95,987.5625,101.7081,0,32001.7
750,49.9,0.6442,8.35,0.6169,935.7493,0.975,934.6125,104.3846,1,34180.9
800,49.8625,0.7201,8.3625,0.6127,934.5231,0.95,977.7875,101.7407,0,36278.0
850,49.9125,0.6744,8.05,0.6197,934.4498,0.975,927.35,104.4088,1,38481.8
900,49.675,1.8626,8.1875,0.618,930.816,0.9625,979.1375,102.9862,0,40186.7
950,49.3125,2.9605,7.9375,0.6242,930.4016,0.9,1023.5125,96.5883,0,41861.8
1000,49.5875,1.2318,7.8625,0.6354,929.2932,0.8625,1022.525,92.8416,0,43594.2
1050,49.675,1.9415,7.8875,0.628,931.2996,0.9375,1007.1625,100.3928,0,45290.0
1100,49.8875,0.7415,7.9875,0.6326,936.444,0.975,1026.2875,104.079,0,47103.3
1150,49.6375,2.3887,7.925,0.6291,931.513,0.95,966.3125,101.779,0,48885.6
1200,49.5125,2.8284,8.2,0.6317,931.3406,0.9375,1035.75,100.2975,0,50581.7
1250,49.775,1.1178,7.975,0.626,933.3837,0.9375,1095.2625,100.0991,0,52288.1
1300,49.6125,1.8473,8.025,0.6313,931.128,0.9125,1113.975,97.5367,0,54307.5
1350,49.225,3.0207,7.6375,0.6338,928.6579,0.85,1093.4125,91.3553,0,56327.2
1400,49.4875,2.7111,7.8125,0.6276,931.7805,0.9125,1080.4375,97.6485,0,57940.6
1450,49.1875,2.8465,7.9625,0.6138,928.4785,0.8625,1081.825,92.6439,0,59487.7
1500,49.7375,0.8177,8.1125,0.6007,933.9672,0.9,1127.9375,96.2402,0,60649.8
