episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,6,57,1000,614.916,55,,10,0.4545,800.3,0.1483,6,step_limit,0.1437,2.5
2,3,50,1000,413.624,38,,7,0.4277,771.8,0.3151,63,step_limit,0.1739,4.1
3,6,72,1000,828.342,71,,12,0.5797,805.3,0.1297,3,step_limit,0.1565,6.3
4,3,46,1000,296.941,33,,5,0.2077,505.0,0.3214,66,step_limit,0.1478,10.3
5,4,58,1000,491.359,50,,7,0.6362,906.5,0.2068,14,step_limit,0.3484,46.6
6,3,61,1000,646.043,51,,10,0.4423,707.2,0.2765,62,step_limit,0.3043,105.3
7,3,30,573,341.16,30,573,4,0.4852,777.1,0.2449,21,complete,0.3483,137.6
8,3,69,1000,705.761,60,,9,0.5243,782.5,0.3398,98,step_limit,0.2837,194.5
9,4,66,998,854.983,66,998,12,0.5887,1008.2,0.0887,10,complete,0.3839,249.5
10,4,26,548,229.911,26,548,2,0.6492,816.8,0.5627,62,complete,0.2198,279.9
11,6,32,286,387.009,32,286,5,0.5268,689.9,0.0925,2,complete,0.19,297.9
12,4,35,361,431.24,35,361,5,0.4474,708.7,0.1132,10,complete,0.1591,318.4
13,4,23,413,285.689,23,413,4,0.5309,813.9,0.2043,11,complete,0.2553,341.4
14,3,61,1000,439.338,45,,7,0.408,651.1,0.5212,116,step_limit,0.2654,397.2
15,5,78,782,1015.227,78,782,14,0.5133,761.0,0.3317,14,complete,0.1853,443.3
16,6,46,366,517.657,46,366,6,0.4813,873.5,0.1288,6,complete,0.1573,465.0
17,5,74,697,973.785,74,697,13,0.5088,779.6,0.2576,24,complete,0.1772,505.2
18,4,24,370,261.767,24,370,3,0.5345,766.2,0.1248,10,complete,0.2766,526.5
19,5,24,525,194.542,24,525,2,0.685,837.4,0.5836,85,complete,0.1962,555.5
20,4,66,1000,732.527,60,,10,0.5188,552.2,0.5902,412,step_limit,0.1938,611.5
21,4,43,749,480.924,43,749,6,0.4005,625.5,0.4206,38,complete,0.1897,652.0
22,4,43,544,507.877,43,544,6,0.386,496.2,0.3694,40,complete,0.1265,684.2
23,3,22,803,188.819,22,803,3,0.5509,783.0,0.4068,149,complete,0.2537,726.5
24,4,35,393,396.989,35,393,4,0.4116,778.8,0.1258,14,complete,0.114,749.3
25,5,25,306,298.1,25,306,4,0.5693,893.6,0.2167,3,complete,0.2542,768.7
26,4,79,1000,955.494,76,,13,0.4195,669.7,0.1685,19,step_limit,0.2092,825.4
27,6,63,1000,638.943,61,,9,0.6085,1056.3,0.2489,12,step_limit,0.3,883.7
28,3,77,1000,888.242,66,,13,0.4253,768.9,0.1447,41,step_limit,0.2513,942.6
29,4,34,601,330.289,34,601,4,0.5503,878.3,0.1884,16,complete,0.2708,975.6
30,4,25,1000,31.696,19,,1,0.3815,791.2,0.2602,90,step_limit,0.3097,1028.9
31,6,68,615,815.035,68,615,10,0.5274,780.4,0.1829,6,complete,0.182,1064.3
32,4,79,1000,695.084,61,,11,0.4905,787.5,0.4,22,step_limit,0.2865,1121.9
33,4,62,1000,581.135,56,,8,0.558,924.8,0.2525,44,step_limit,0.281,1178.4
34,4,33,440,399.612,33,440,5,0.3835,639.4,0.0963,10,complete,0.1208,1204.5
35,4,26,436,292.606,26,436,4,0.4725,688.2,0.1822,9,complete,0.2264,1227.0
36,4,57,1000,483.811,47,,7,0.6218,774.2,0.5051,99,step_limit,0.2944,1282.9
37,4,29,522,310.21,29,522,4,0.5766,954.8,0.2603,10,complete,0.3387,1311.4
38,5,63,716,768.621,63,716,10,0.5615,865.0,0.1578,8,complete,0.2275,1352.2
39,5,44,806,468.166,44,806,7,0.5732,897.2,0.3944,11,complete,0.2922,1397.0
40,6,56,414,709.439,56,414,9,0.5717,856.1,0.2145,3,complete,0.1375,1424.0
41,6,21,225,171.243,21,225,1,0.6807,941.1,0.2845,11,complete,0.1524,1436.3
42,3,24,509,229.067,24,509,2,0.5737,801.1,0.4878,52,complete,0.2963,1464.0
43,4,52,685,620.615,52,685,8,0.4982,790.2,0.2585,42,complete,0.1825,1503.0
44,4,72,1000,929.394,70,,13,0.444,750.7,0.263,72,step_limit,0.175,1558.8
45,4,52,1000,501.131,49,,7,0.5992,952.7,0.2796,72,step_limit,0.35,1617.6
46,6,72,528,936.153,72,528,12,0.4482,636.7,0.1356,10,complete,0.1408,1651.5
47,4,69,1000,774.661,66,,10,0.437,722.8,0.2763,53,step_limit,0.1996,1707.3
48,4,56,640,696.457,56,640,9,0.4184,724.1,0.171,16,complete,0.1511,1744.2
49,6,78,955,932.854,78,955,13,0.6492,871.7,0.3792,37,complete,0.1806,1792.2
50,5,40,844,347.0,40,844,5,0.7123,1178.2,0.3232,16,complete,0.3717,1833.2
51,6,51,411,612.387,51,411,7,0.4765,742.3,0.1232,5,complete,0.1154,2262.5
52,3,42,884,507.73,42,884,7,0.4815,716.1,0.3061,97,complete,0.27,2299.8
53,6,60,562,708.36,60,562,9,0.4677,620.9,0.1566,3,complete,0.1359,2324.8
54,4,49,639,633.624,49,639,9,0.4523,629.5,0.2365,13,complete,0.1657,2354.6
55,4,40,624,431.76,40,624,5,0.488,703.5,0.2975,23,complete,0.1655,2386.3
56,5,61,747,744.961,61,747,10,0.551,835.5,0.2462,10,complete,0.1732,2430.0
57,3,53,925,676.08,53,925,9,0.4908,787.1,0.1964,41,complete,0.256,2479.8
58,6,57,618,750.952,57,618,11,0.6071,937.7,0.2368,5,complete,0.1312,2514.9
59,3,50,896,650.906,50,896,9,0.4606,773.0,0.1598,29,complete,0.2523,2569.6
60,4,21,470,204.895,21,470,3,0.5021,758.3,0.3052,12,complete,0.2115,2596.1
61,5,26,423,259.446,26,423,3,0.627,848.0,0.2144,10,complete,0.2481,2618.3
62,5,55,1000,567.927,52,,8,0.695,878.3,0.4761,137,step_limit,0.2684,2674.5
63,6,68,607,809.877,68,607,10,0.5568,954.1,0.1094,3,complete,0.1717,2709.1
64,3,41,888,494.55,41,888,7,0.4891,785.7,0.233,38,complete,0.2326,2756.8
65,5,68,678,866.497,68,678,11,0.4053,655.6,0.2583,8,complete,0.1086,2798.6
66,3,61,948,801.814,61,948,11,0.3801,607.0,0.2145,24,complete,0.1808,2850.0
67,3,53,1000,615.755,50,,9,0.5123,766.5,0.249,43,step_limit,0.3038,2906.5
68,3,44,1000,443.493,40,,6,0.34,636.7,0.2148,35,step_limit,0.2484,2961.3
69,4,34,729,322.464,34,729,4,0.4643,735.8,0.3451,30,complete,0.1831,3004.0
70,4,31,989,337.717,31,989,6,0.6532,1014.8,0.4724,129,complete,0.2837,3058.4
71,5,71,1000,847.472,70,,12,0.376,579.3,0.3463,18,step_limit,0.1169,3115.6
72,3,53,1000,567.934,48,,8,0.5233,765.4,0.3139,52,step_limit,0.2773,3171.5
73,4,21,762,174.11,21,762,3,0.6352,1056.3,0.3195,26,complete,0.2077,3213.2
74,5,45,634,532.111,45,634,7,0.5735,854.4,0.2792,10,complete,0.1775,3248.3
75,5,40,532,480.888,40,532,7,0.5158,787.2,0.2284,14,complete,0.1887,3279.0
76,4,75,1000,699.68,64,,10,0.5667,928.1,0.2568,21,step_limit,0.306,3334.6
77,5,24,318,255.267,24,318,3,0.6044,913.2,0.2366,5,complete,0.161,3353.6
78,4,64,1000,738.744,62,,10,0.5767,924.3,0.3143,15,step_limit,0.1983,3411.3
79,3,41,1000,449.271,38,,7,0.5403,752.7,0.3755,68,step_limit,0.2891,3466.3
