episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,49.1625,2.8742,7.7375,0.6395,929.254,0.8625,1068.6,92.688,1,2150.3
100,50.0,0.0,7.9125,0.6407,935.0479,1.0,1040.65,106.5312,1,4444.8
150,50.0,0.0,8.1875,0.6438,936.2576,1.0,1085.2,106.3827,0,6780.2
200,49.6,2.1366,8.15,0.6469,930.2836,0.9375,1182.7875,99.8074,0,9162.2
250,49.6125,2.7041,7.9375,0.6417,930.8064,0.95,1046.8875,101.5104,0,11307.0
300,49.975,0.2222,8.2625,0.6395,935.0379,0.9875,1060.4125,105.2153,0,13525.2
350,49.625,1.1766,8.1625,0.6402,932.5964,0.875,1101.0625,93.8298,0,15763.6
400,49.6,1.6016,7.9125,0.6271,932.9685,0.875,1127.1875,93.7427,0,18098.9
450,49.2875,2.3989,8.0375,0.6223,929.5634,0.875,1099.9625,93.8335,0,20498.5
500,49.6375,1.8791,8.05,0.6244,932.8606,0.9375,1024.275,100.3358,0,22812.4
550,49.9625,0.3333,8.0625,0.6209,935.9303,0.9875,1042.825,105.2739,0,25089.2
600,49.4375,3.1537,8.0875,0.6255,930.7856,0.95,1049.1875,101.5027,0,27356.7
650,49.7,1.391,8.0375,0.6203,932.9566,0.9375,1030.3,100.3157,0,29639.3
700,49.8,1.0416,8.125,0.6264,934.4312,0.95,1060.9625,101.4635,0,31917.5
750,49.3875,2.4109,8.05,0.6192,927.1962,0.9125,1065.8375,97.6972,0,34092.4
800,49.8375,0.8131,8.1625,0.6174,933.5653,0.95,1051.3,101.4957,0,36352.3
850,49.9875,0.1111,8.2,0.6209,935.3678,0.9875,1023.3875,105.3387,0,38593.9
