episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,5,43,1000,407.977,41,,7,0.5698,852.7,0.252,18,step_limit,0.1034,2.8
2,4,74,1000,819.211,66,,12,0.3225,558.5,0.2628,24,step_limit,0.0768,6.2
3,5,43,1000,441.163,41,,7,0.2934,583.1,0.1191,3,step_limit,0.0756,9.5
4,4,23,1000,32.0,20,,2,0.66,950.0,0.3768,37,step_limit,0.1377,12.4
5,4,31,920,280.916,31,920,5,0.5326,817.6,0.4406,54,complete,0.1938,33.1
6,3,68,1000,814.249,63,,11,0.4507,678.4,0.3394,50,step_limit,0.2188,90.2
7,6,44,359,511.992,44,359,6,0.6314,834.2,0.2061,4,complete,0.2279,111.0
8,6,30,285,303.64,30,285,3,0.638,762.5,0.2688,14,complete,0.25,128.8
9,6,42,400,485.957,42,400,6,0.5833,829.8,0.3229,11,complete,0.2511,153.2
10,6,47,640,529.579,47,640,7,0.5964,854.7,0.5003,9,complete,0.2726,189.3
11,5,21,287,170.007,21,287,1,0.5157,585.6,0.2473,4,complete,0.1351,204.4
12,3,37,1000,285.816,29,,5,0.3873,601.0,0.7322,309,step_limit,0.2171,260.4
13,6,28,228,295.57,28,228,3,0.4196,631.3,0.1373,4,complete,0.1741,273.9
14,3,41,711,491.599,41,711,6,0.4993,778.9,0.2554,69,complete,0.2917,312.1
15,3,66,1000,494.195,46,,8,0.4633,611.0,0.5768,326,step_limit,0.2386,367.8
16,4,71,1000,605.527,54,,9,0.5415,673.8,0.4369,20,step_limit,0.2744,425.3
17,4,24,488,278.43,24,488,4,0.6025,1045.7,0.2793,49,complete,0.3125,453.7
18,5,49,436,590.996,49,436,7,0.517,743.9,0.1967,8,complete,0.2104,479.1
19,6,34,308,384.802,34,308,4,0.6445,862.7,0.2016,10,complete,0.2339,498.3
20,3,48,1000,416.312,40,,6,0.4483,746.3,0.5792,245,step_limit,0.2593,551.1
21,4,63,846,799.639,63,846,11,0.5455,938.1,0.2203,19,complete,0.3004,602.3
22,6,46,436,535.54,46,436,7,0.6307,798.4,0.2072,5,complete,0.232,628.3
23,3,44,732,534.672,44,732,7,0.5128,769.9,0.2794,45,complete,0.2381,669.6
24,5,41,444,448.459,41,444,5,0.5986,840.4,0.2667,7,complete,0.2108,696.7
25,5,38,521,447.963,38,521,6,0.5977,872.3,0.3361,10,complete,0.2343,725.9
26,5,77,1000,892.455,74,,13,0.6016,790.2,0.4291,64,step_limit,0.2497,781.7
27,3,41,1000,423.168,39,,6,0.542,741.5,0.3586,59,step_limit,0.303,838.1
