episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,3,75,1000,388.824,41,,7,0.4077,593.1,0.439,75,step_limit,0.1973,3.3
2,3,70,1000,535.066,50,,8,0.322,585.7,0.1968,31,step_limit,0.1715,5.5
3,3,50,1000,348.18,36,,6,0.4687,742.2,0.3609,45,step_limit,0.1318,7.4
4,3,66,1000,507.3,47,,8,0.3373,537.9,0.3782,53,step_limit,0.1405,10.3
5,3,30,1000,228.13,28,,4,0.4917,702.4,0.3116,76,step_limit,0.3185,59.3
6,3,46,686,634.107,46,686,9,0.3212,619.8,0.1492,20,complete,0.2246,99.4
7,3,49,1000,555.563,45,,9,0.537,781.5,0.3486,125,step_limit,0.3236,154.5
8,3,25,416,282.988,25,416,3,0.3702,646.2,0.0953,29,complete,0.3197,178.5
9,3,61,1000,739.1,59,,10,0.4693,784.7,0.1521,31,step_limit,0.3634,234.2
10,3,26,598,294.606,26,598,4,0.5624,783.4,0.1387,17,complete,0.3698,267.2
11,3,78,1000,589.958,51,,9,0.462,628.0,0.5042,184,step_limit,0.266,321.3
12,3,69,1000,716.174,59,,10,0.4777,784.5,0.2459,50,step_limit,0.2923,378.9
13,3,47,1000,363.085,38,,5,0.4053,577.9,0.3069,96,step_limit,0.2516,434.8
14,3,44,1000,465.0,39,,7,0.4477,755.6,0.5197,239,step_limit,0.2626,489.2
15,3,26,470,283.885,26,470,3,0.4149,725.6,0.1091,15,complete,0.269,516.3
16,3,79,1000,669.663,56,,10,0.439,646.9,0.2973,84,step_limit,0.2485,573.2
17,3,37,1000,420.8,35,,6,0.362,767.8,0.1961,78,step_limit,0.2761,627.7
18,3,35,1000,381.597,34,,5,0.3857,706.3,0.2063,38,step_limit,0.3022,683.3
19,3,40,781,513.925,40,781,7,0.4725,772.3,0.2229,23,complete,0.2741,725.9
20,3,59,1000,723.88,57,,10,0.306,672.2,0.2272,33,step_limit,0.2534,782.8
21,3,61,1000,654.916,55,,9,0.4987,779.3,0.2939,79,step_limit,0.2939,837.0
22,3,63,1000,732.238,58,,10,0.3433,655.5,0.3309,72,step_limit,0.2028,893.9
23,3,80,1000,560.727,53,,8,0.4727,734.8,0.4221,48,step_limit,0.2514,950.3
24,3,46,1000,497.041,45,,6,0.486,669.6,0.4377,231,step_limit,0.3091,1004.0
25,3,60,1000,670.455,55,,9,0.4853,774.1,0.4453,160,step_limit,0.2791,1059.5
26,3,25,449,239.458,25,449,2,0.5457,758.0,0.1806,28,complete,0.3987,1084.5
