episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,49.9125,0.6744,7.6625,0.6064,935.2182,0.975,994.8125,104.184,1,2608.3
100,50.0,0.0,7.95,0.6059,934.176,1.0,1026.35,106.5788,1,5557.8
150,50.0,0.0,7.7125,0.6069,935.4269,1.0,975.475,106.7484,1,8524.0
200,49.9875,0.1111,7.375,0.5999,935.7886,0.9875,891.2375,105.7792,0,11371.1
250,50.0,0.0,7.65,0.5929,935.1039,1.0,896.3875,107.012,1,14127.4
300,50.0,0.0,7.9,0.5869,936.4459,1.0,917.85,106.9405,0,16860.5
350,49.95,0.35,7.5625,0.5967,935.179,0.975,890.9,104.5303,0,19572.5
400,49.95,0.4444,7.35,0.6022,935.5636,0.9875,862.875,105.8738,0,22287.2
450,49.5375,2.9152,7.3375,0.6048,931.3234,0.9625,835.6125,103.4646,0,24774.9
500,49.425,2.9739,7.55,0.5973,934.4697,0.95,845.6,102.1813,0,27318.2
550,49.825,1.2427,7.675,0.5953,934.0862,0.9625,871.0625,103.3465,0,29838.8
600,48.8125,4.478,7.35,0.599,923.9896,0.925,831.4125,99.7286,0,32587.3
650,49.825,1.0096,7.525,0.6044,933.9696,0.9625,837.0,103.46,0,35059.9
700,49.5875,2.6206,7.625,0.5965,933.758,0.9625,838.1625,103.4561,0,37760.9
750,49.1125,3.3316,7.55,0.6,927.011,0.9125,844.2125,98.436,0,40414.1
800,49.15,3.6882,7.6,0.6009,925.0772,0.9,868.2875,97.1057,0,43092.1
850,48.5375,5.3407,7.4875,0.605,922.2278,0.9,859.1375,97.1362,0,45120.3
900,49.55,2.4592,7.625,0.5989,931.9321,0.925,835.025,99.7166,0,47005.7
950,48.8125,4.2104,7.325,0.6032,922.6109,0.8875,843.1125,95.9396,0,48919.2
1000,49.0875,3.7222,7.5,0.6043,931.3694,0.9125,849.2625,98.4191,0,50783.8
