episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,4,57,1000,550.302,51,,8,0.4447,789.4,0.2474,18,step_limit,0.14,3.4
2,3,50,1000,465.664,43,,7,0.457,766.5,0.2567,69,step_limit,0.1971,6.4
3,4,72,1000,577.733,55,,9,0.441,730.5,0.2388,27,step_limit,0.1466,11.8
4,3,46,1000,437.222,38,,7,0.3207,519.3,0.2243,41,step_limit,0.163,18.3
5,3,58,1000,433.407,45,,6,0.4713,783.6,0.1761,22,step_limit,0.3491,66.2
6,3,61,1000,692.889,58,,9,0.492,766.7,0.1942,59,step_limit,0.3802,123.8
7,3,30,617,-31.52,11,,0,0.6186,634.0,0.8599,495,no_progress,0.4762,156.8
8,3,69,1000,737.426,60,,10,0.484,687.2,0.2498,112,step_limit,0.3282,212.2
9,3,66,1000,639.177,55,,9,0.477,765.6,0.3182,116,step_limit,0.2649,270.2
10,3,26,549,304.695,26,549,4,0.3934,731.6,0.3247,77,complete,0.3229,302.0
11,4,32,372,366.133,32,372,4,0.4153,702.0,0.1314,21,complete,0.2589,324.4
12,3,35,595,418.173,35,595,5,0.3765,704.5,0.3142,135,complete,0.2319,357.6
13,3,23,384,267.393,23,384,3,0.4444,667.8,0.0367,10,complete,0.3403,378.0
14,3,61,1000,588.298,50,,9,0.4657,781.7,0.2627,70,step_limit,0.3363,434.9
15,4,78,889,1030.937,78,889,14,0.4758,761.5,0.1676,24,complete,0.2393,485.8
16,4,46,628,539.689,46,628,7,0.4865,881.8,0.2704,51,complete,0.2703,521.7
17,4,74,1000,905.011,71,,13,0.411,777.1,0.3084,40,step_limit,0.2432,581.7
18,3,24,531,246.858,24,531,3,0.4363,756.4,0.3208,33,complete,0.3392,611.1
19,4,24,628,219.197,24,628,3,0.6373,845.6,0.4061,27,complete,0.4044,645.9
