episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,49.6625,1.8024,7.7375,0.6208,932.0205,0.9625,1038.4,122.4047,1,2504.3
100,50.0,0.0,8.025,0.6257,934.3226,1.0,1266.2125,123.1172,1,5308.3
150,49.8,0.8718,8.35,0.6328,932.971,0.9375,1219.9375,117.4842,0,8039.8
200,49.9875,0.1111,8.3,0.6226,935.1893,0.9875,1057.175,124.6543,1,10823.8
250,49.9625,0.2472,8.1375,0.6272,935.4435,0.975,1040.4875,123.6268,0,13538.8
300,49.625,2.3042,8.1,0.6171,932.1699,0.9375,993.4625,120.5038,0,16121.2
350,50.0,0.0,8.2125,0.6136,935.445,1.0,1021.3625,126.3818,1,18714.6
400,49.975,0.2222,7.8625,0.6145,934.9107,0.9875,935.0875,126.2822,0,21298.7
450,49.9375,0.5555,8.225,0.6176,936.0272,0.9875,985.6875,125.6075,0,23935.6
500,50.0,0.0,8.05,0.6074,935.2811,1.0,933.1625,127.5578,1,26541.2
550,49.8,1.6688,8.0625,0.6111,934.6434,0.975,926.0,125.1533,0,29035.5
600,49.875,1.111,7.9875,0.6176,934.6238,0.9875,964.35,125.892,0,31539.7
650,50.0,0.0,8.0125,0.6181,936.263,1.0,923.325,127.689,1,34102.9
700,49.4625,3.5105,7.95,0.6099,928.049,0.9625,937.1125,123.7552,0,36690.5
750,49.975,0.2222,7.8875,0.618,935.4689,0.9875,908.05,126.6427,0,39207.5
800,50.0,0.0,7.875,0.6155,935.4205,1.0,904.575,127.939,1,41629.9
850,50.0,0.0,8.075,0.6132,934.6668,1.0,891.2125,128.1172,1,44175.0
900,50.0,0.0,7.8375,0.6169,935.3302,1.0,860.9,128.5213,1,46721.6
950,50.0,0.0,7.8,0.614,935.439,1.0,880.175,128.2643,0,49223.8
1000,49.875,1.111,7.975,0.6142,935.8248,0.9875,887.9,126.9113,0,51870.6
1050,49.7875,1.0919,7.8875,0.6183,934.6614,0.95,903.875,122.9483,0,54460.5
1100,49.95,0.4444,8.2125,0.6171,934.8428,0.9875,927.3625,126.3852,0,57033.6
1150,50.0,0.0,7.8,0.6195,935.2742,1.0,918.35,127.7553,0,59471.6
1200,49.9875,0.1111,8.0375,0.6199,936.706,0.9875,953.7,126.034,0,61321.6
1250,50.0,0.0,7.95,0.6123,936.0829,1.0,927.5875,127.6322,0,63161.1
1300,49.925,0.6666,8.2125,0.6067,935.43,0.9875,901.9375,126.7242,0,64595.4
1350,49.9875,0.1111,8.0375,0.6071,935.8507,0.9875,937.8375,126.2455,0,65865.3
1400,49.975,0.2222,8.275,0.6025,935.3776,0.9875,905.4625,126.6772,0,67054.0
1450,49.9875,0.1111,8.2625,0.6097,935.0468,0.9875,951.1375,126.0682,0,68293.2
1500,50.0,0.0,8.225,0.6102,934.9191,1.0,951.1375,127.3182,0,69497.3
