episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,4,57,1000,497.93,49,,7,0.4265,750.1,0.2701,16,step_limit,0.1442,3.5
2,3,50,1000,433.072,40,,7,0.4343,759.7,0.2998,47,step_limit,0.1701,6.2
3,4,72,1000,617.528,55,,10,0.4248,774.8,0.3321,95,step_limit,0.1332,11.4
4,3,46,1000,403.704,37,,7,0.2763,561.2,0.2318,39,step_limit,0.1424,20.1
5,3,58,1000,420.95,44,,6,0.5107,779.8,0.2652,97,step_limit,0.3182,73.4
6,3,61,1000,584.956,51,,8,0.5057,785.1,0.207,53,step_limit,0.3565,129.7
7,3,30,550,370.29,30,550,5,0.4703,781.2,0.0917,38,complete,0.3081,159.7
8,3,69,1000,607.73,55,,8,0.4523,731.8,0.378,85,step_limit,0.3063,214.7
9,3,66,1000,766.455,62,,10,0.4913,768.7,0.1501,40,step_limit,0.3385,273.3
10,3,26,1000,118.742,21,,2,0.5823,730.3,0.7424,368,step_limit,0.2489,325.7
11,4,32,424,387.69,32,424,5,0.4393,693.8,0.1589,10,complete,0.2161,350.3
12,3,35,459,403.079,35,459,4,0.4205,705.2,0.0905,18,complete,0.1949,376.4
13,3,23,479,286.13,23,479,4,0.3897,666.8,0.2647,52,complete,0.3007,402.2
14,3,61,1000,585.928,50,,9,0.4343,758.6,0.1997,31,step_limit,0.2493,458.3
15,4,78,933,987.613,78,933,13,0.4293,763.8,0.2521,24,complete,0.1946,512.0
16,4,46,812,505.946,46,812,7,0.4317,882.7,0.2449,29,complete,0.2361,556.8
17,4,74,770,986.227,74,770,13,0.436,777.5,0.1402,15,complete,0.1475,602.5
18,3,24,661,237.832,24,661,3,0.5285,762.7,0.2308,22,complete,0.3284,639.1
19,4,24,492,232.27,24,492,3,0.5686,844.3,0.1435,11,complete,0.2596,666.9
20,3,66,1000,627.523,53,,9,0.275,596.5,0.3524,67,step_limit,0.1884,723.6
21,3,43,610,555.798,43,610,7,0.3874,627.7,0.1894,37,complete,0.2195,757.8
22,3,43,752,483.2,43,752,6,0.3914,485.4,0.4121,98,complete,0.1373,799.4
23,3,22,1000,230.005,21,,4,0.5757,784.1,0.5269,308,step_limit,0.3553,854.7
24,3,35,719,432.264,35,719,6,0.4358,771.3,0.2899,28,complete,0.2121,895.5
25,4,25,501,253.592,25,501,3,0.5639,881.3,0.2136,19,complete,0.375,922.6
26,3,79,1000,886.908,70,,12,0.379,624.9,0.1704,30,step_limit,0.1981,979.3
27,4,63,1000,308.502,40,,5,0.6405,826.4,0.54,190,step_limit,0.2964,1033.3
28,3,77,1000,810.036,65,,11,0.434,779.8,0.1902,58,step_limit,0.2439,1089.5
29,3,34,756,375.494,34,756,5,0.5437,781.0,0.2699,59,complete,0.2949,1130.2
30,3,25,654,278.668,25,654,4,0.553,792.3,0.296,56,complete,0.2751,1166.4
31,4,68,847,880.408,68,847,12,0.4914,781.6,0.1556,19,complete,0.2201,1216.4
32,3,79,1000,658.433,55,,10,0.446,697.5,0.3312,75,step_limit,0.25,1271.1
33,3,62,1000,534.955,50,,7,0.5213,773.3,0.3797,147,step_limit,0.2862,1326.0
34,3,33,714,387.571,33,714,5,0.3908,647.0,0.3644,64,complete,0.1778,1367.8
35,3,26,845,267.454,26,845,4,0.4769,682.1,0.4375,126,complete,0.2381,1414.5
36,3,57,1000,670.042,55,,9,0.5077,789.1,0.2441,78,step_limit,0.2137,1470.5
37,3,29,1000,249.728,26,,4,0.436,761.0,0.4351,298,step_limit,0.298,1524.9
38,4,63,933,796.832,63,933,11,0.5624,859.6,0.2642,50,complete,0.2705,1577.5
39,4,44,824,481.422,44,824,7,0.5583,895.8,0.2664,19,complete,0.2875,1624.0
40,4,56,871,703.146,56,871,10,0.5692,842.8,0.2599,20,complete,0.2799,1674.0
41,4,21,393,197.404,21,393,2,0.605,940.9,0.2193,11,complete,0.2772,1695.6
42,3,24,1000,216.887,23,,4,0.573,796.2,0.5286,115,step_limit,0.2863,1750.4
43,3,52,1000,310.781,35,,5,0.4397,682.5,0.6028,326,step_limit,0.2564,1804.4
44,3,72,1000,845.354,63,,12,0.403,636.2,0.4166,173,step_limit,0.1707,1862.8
45,3,52,1000,486.444,45,,7,0.4657,783.5,0.4514,119,step_limit,0.2413,1919.4
46,4,72,718,936.591,72,718,12,0.4251,642.7,0.1519,26,complete,0.1667,1962.0
47,3,69,1000,638.865,55,,9,0.425,714.2,0.4463,146,step_limit,0.1682,2014.4
48,3,56,1000,659.566,54,,9,0.3967,723.2,0.2745,73,step_limit,0.1879,2059.8
49,4,78,1000,918.39,75,,12,0.5707,874.8,0.2806,19,step_limit,0.2536,2102.5
50,4,40,1000,154.66,27,,5,0.638,938.5,0.4607,92,step_limit,0.3305,2143.5
51,4,51,703,685.778,51,703,10,0.4243,742.0,0.276,18,complete,0.1807,2538.1
52,3,42,899,535.844,42,899,8,0.4861,718.7,0.2997,51,complete,0.2483,2582.9
53,4,60,703,796.907,60,703,11,0.4563,627.7,0.1884,16,complete,0.1698,2623.2
54,3,49,731,652.05,49,731,9,0.4049,628.3,0.1566,14,complete,0.191,2663.9
55,3,40,825,496.967,40,825,7,0.362,695.5,0.1884,39,complete,0.1553,2709.7
56,4,61,989,743.188,61,989,10,0.4884,839.3,0.2661,14,complete,0.1926,2766.5
57,3,53,951,699.623,53,951,10,0.4795,788.3,0.2231,24,complete,0.2202,2820.7
58,4,57,1000,684.168,55,,10,0.5823,938.6,0.3431,90,step_limit,0.2826,2877.3
59,3,50,1000,600.562,49,,8,0.516,774.3,0.3134,43,step_limit,0.2171,2935.6
60,3,21,705,179.221,21,705,3,0.5319,749.2,0.3328,41,complete,0.2527,2975.6
61,4,26,395,276.462,26,395,3,0.5253,860.2,0.1338,8,complete,0.1615,2998.3
62,4,55,1000,513.469,47,,8,0.5593,892.6,0.4081,97,step_limit,0.2982,3057.8
63,4,68,1000,728.412,59,,11,0.5613,883.3,0.3976,36,step_limit,0.2177,3115.7
64,3,41,1000,411.09,38,,6,0.4643,770.7,0.3447,78,step_limit,0.2057,3170.5
65,4,68,684,900.199,68,684,12,0.3885,653.8,0.1685,11,complete,0.1,3210.7
66,3,61,1000,754.928,57,,11,0.3563,599.9,0.2358,25,step_limit,0.1351,3266.2
67,3,53,1000,615.03,50,,9,0.4857,763.6,0.2265,31,step_limit,0.2381,3322.2
68,3,44,682,555.917,44,682,7,0.4076,676.3,0.1554,16,complete,0.1285,3360.9
69,3,34,929,374.451,34,929,5,0.4539,728.6,0.3332,41,complete,0.1667,3412.1
