episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,48.9625,3.5016,7.9125,0.6037,927.282,0.875,1133.25,112.39,1,2439.6
100,49.9625,0.3333,8.3625,0.6371,934.63,0.9875,1153.2125,123.3738,1,5160.8
150,49.875,1.111,8.1625,0.6296,933.8222,0.9875,1066.25,124.5333,1,7884.8
200,49.6,1.8069,8.25,0.6282,934.3144,0.9,1122.5,115.0333,0,10644.6
250,50.0,0.0,7.9,0.6226,934.5865,1.0,985.65,126.858,1,13256.5
300,50.0,0.0,8.15,0.6112,934.9306,1.0,997.5125,126.6998,0,15905.8
350,49.7625,1.4164,7.8625,0.6157,933.1123,0.9625,914.225,124.0603,0,18436.4
400,49.7375,1.7302,7.7875,0.6096,931.7033,0.9625,914.875,124.0517,0,21094.0
450,49.15,3.5676,7.575,0.614,928.4938,0.9375,911.625,121.595,0,23753.3
500,49.475,2.5049,7.8,0.6114,931.8494,0.9375,929.775,121.353,0,26368.9
550,49.6625,1.8838,7.5875,0.6231,936.3465,0.9625,921.5625,123.9625,0,28985.9
600,49.6375,1.8791,7.75,0.6186,933.3591,0.95,894.0875,123.0788,0,31513.3
650,49.3875,3.4077,7.8125,0.611,930.9417,0.9375,897.95,121.7773,0,34021.7
700,49.9375,0.5555,7.875,0.6094,934.6568,0.9875,884.9875,126.9502,1,36618.8
750,49.6875,1.8069,7.925,0.6053,933.4654,0.9625,902.0875,124.2222,0,39124.1
800,49.8375,0.8724,8.0375,0.6114,934.6047,0.95,916.7125,122.7772,0,41693.4
850,50.0,0.0,7.8875,0.6117,935.6864,1.0,899.8625,128.0018,1,44202.4
900,49.9125,0.6744,8.0125,0.617,933.902,0.975,937.6625,124.9978,0,46711.0
950,49.3875,2.5568,7.725,0.6124,930.6473,0.925,911.525,120.3463,0,49235.7
1000,49.4125,2.5724,8.0375,0.6101,929.8487,0.95,911.1375,122.8515,0,51714.3
1050,50.0,0.0,8.05,0.6141,935.2452,1.0,887.6625,128.1645,1,54325.5
1100,49.475,2.7202,7.675,0.6133,930.8536,0.95,892.2625,123.1032,0,56805.6
1150,49.8625,0.8623,7.6875,0.6194,934.1071,0.975,881.85,125.742,0,59352.7
1200,49.6875,1.8881,7.675,0.6197,932.7443,0.9625,888.75,124.4,0,61227.0
1250,50.0,0.0,7.8,0.6177,935.9034,1.0,877.075,128.3057,1,63119.5
1300,49.4375,2.5683,7.7,0.6153,932.2774,0.925,912.4125,120.3345,0,64558.2
1350,49.9875,0.1111,7.8625,0.6061,935.3712,0.9875,890.8,126.8727,0,65837.2
1400,49.975,0.2222,7.8875,0.6116,936.1325,0.9875,883.25,126.9733,0,67141.1
1450,49.95,0.3122,7.8875,0.617,934.4993,0.975,894.7625,125.5698,0,68397.7
1500,49.9875,0.1111,7.7625,0.6171,935.7562,0.9875,872.0375,127.1228,0,69629.0
