episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,4,43,1000,428.251,39,,7,0.6192,818.6,0.355,21,step_limit,0.0813,5.2
2,3,74,1000,613.007,53,,9,0.239,503.2,0.3191,59,step_limit,0.0673,10.6
3,4,43,982,462.199,43,982,6,0.3269,584.6,0.1062,10,complete,0.0884,16.7
4,3,23,1000,129.761,20,,2,0.562,796.8,0.4853,113,step_limit,0.1422,21.3
5,3,31,943,310.616,31,943,5,0.4662,716.8,0.2869,35,complete,0.2222,41.7
6,3,68,1000,735.151,59,,10,0.4337,730.8,0.4266,112,step_limit,0.2328,97.2
7,4,44,729,554.749,44,729,8,0.537,842.1,0.3148,44,complete,0.375,137.7
8,4,30,389,333.76,30,389,4,0.5154,770.1,0.2068,20,complete,0.2888,160.3
9,4,42,729,412.326,42,729,5,0.5748,833.3,0.3699,49,complete,0.3385,202.2
10,4,47,621,562.786,47,621,7,0.5254,853.0,0.1857,24,complete,0.3361,237.6
11,4,21,391,194.074,21,391,2,0.3932,580.3,0.3418,18,complete,0.2979,258.9
12,3,37,646,467.936,37,646,6,0.3916,746.7,0.2949,75,complete,0.2602,297.4
13,4,28,380,294.843,28,380,3,0.4125,630.5,0.0605,1,complete,0.2727,319.6
14,3,41,742,511.216,41,742,7,0.4335,782.9,0.2779,35,complete,0.3103,360.9
15,3,66,1000,719.645,58,,10,0.458,768.8,0.2249,65,step_limit,0.2857,418.4
16,3,71,1000,838.276,63,,12,0.4003,740.8,0.1996,59,step_limit,0.2651,475.7
17,3,24,1000,247.362,23,,4,0.5803,801.2,0.5625,354,step_limit,0.4859,531.5
18,4,49,677,561.5,49,677,7,0.4287,735.5,0.2815,53,complete,0.3011,569.6
19,4,34,541,394.548,34,541,5,0.5994,856.8,0.1321,17,complete,0.3036,599.6
20,3,48,910,582.894,48,910,8,0.3857,739.2,0.2979,71,complete,0.3013,651.1
21,3,63,1000,691.557,59,,9,0.451,775.2,0.2389,45,step_limit,0.2901,706.8
22,4,46,986,484.23,46,986,7,0.5756,800.3,0.3958,35,complete,0.342,763.2
23,3,44,808,531.54,44,808,7,0.519,781.6,0.2376,40,complete,0.3369,807.9
24,4,41,975,422.6,38,,6,0.6369,780.9,0.5798,264,no_progress,0.3079,862.1
25,4,38,987,390.141,37,,5,0.6586,876.0,0.5156,468,no_progress,0.3883,916.2
26,4,77,1000,800.873,69,,11,0.538,768.5,0.2414,26,step_limit,0.2981,973.0
27,3,41,790,471.354,41,790,6,0.5435,781.8,0.2733,67,complete,0.3021,1017.5
28,4,52,917,592.551,52,917,8,0.6559,999.7,0.2141,25,complete,0.411,1069.4
29,4,72,1000,637.717,60,,9,0.62,902.9,0.3329,58,step_limit,0.3937,1126.9
30,4,61,1000,462.518,50,,6,0.6465,982.8,0.395,60,step_limit,0.387,1182.0
31,4,45,715,526.964,45,715,7,0.5357,962.4,0.2678,9,complete,0.2661,1222.4
32,3,68,1000,734.096,60,,10,0.489,790.8,0.2801,53,step_limit,0.2827,1279.3
33,3,35,684,399.054,35,684,5,0.4391,701.6,0.2154,45,complete,0.3042,1317.3
34,3,24,490,248.312,24,490,3,0.4422,653.3,0.4008,134,complete,0.244,1344.9
35,3,58,1000,729.812,57,,10,0.4803,731.3,0.3704,109,step_limit,0.2661,1402.3
36,3,64,1000,694.73,57,,10,0.4823,760.7,0.2919,79,step_limit,0.2923,1459.2
37,4,58,1000,415.897,46,,7,0.6585,819.1,0.3793,86,step_limit,0.331,1514.3
38,3,77,1000,484.56,47,,8,0.3897,750.5,0.3171,59,step_limit,0.2317,1569.8
39,3,28,750,274.782,28,750,3,0.5587,782.7,0.1739,11,complete,0.3739,1610.8
40,3,37,697,481.366,37,697,7,0.3606,704.0,0.1521,18,complete,0.2249,1650.5
41,4,59,603,810.544,59,603,11,0.3852,631.5,0.1158,15,complete,0.1719,1686.3
42,4,58,1000,457.166,47,,6,0.6495,827.8,0.5761,411,step_limit,0.3584,1742.6
43,4,20,462,181.9,20,462,2,0.5476,890.7,0.099,14,complete,0.3077,1767.2
44,4,30,363,322.747,30,363,3,0.3939,666.9,0.0597,10,complete,0.2097,1788.4
45,4,39,599,491.332,39,599,7,0.533,825.9,0.192,12,complete,0.2901,1822.5
46,4,32,526,377.523,32,526,5,0.5851,823.9,0.2067,13,complete,0.254,1852.0
47,4,35,674,400.811,35,674,6,0.5423,880.9,0.2847,17,complete,0.2857,1889.4
48,4,39,826,389.432,39,826,5,0.6326,1051.7,0.339,17,complete,0.3391,1934.9
49,4,47,814,574.095,47,814,8,0.5639,840.0,0.3851,104,complete,0.2872,1980.3
50,3,72,1000,765.712,61,,11,0.4183,657.8,0.3044,35,step_limit,0.2619,2029.2
51,3,71,1000,781.738,62,,11,0.4123,614.0,0.4229,53,step_limit,0.2073,2479.4
52,3,45,812,570.153,45,812,8,0.493,623.0,0.3652,84,complete,0.2281,2516.0
53,4,64,780,854.187,64,780,12,0.3885,577.0,0.336,29,complete,0.1786,2554.9
54,4,24,665,189.017,24,665,3,0.685,990.7,0.353,21,complete,0.3945,2592.4
55,4,60,1000,428.673,45,,7,0.5873,888.9,0.4206,81,step_limit,0.3137,2647.9
56,4,20,349,226.26,20,349,3,0.5709,824.4,0.2,10,complete,0.2326,2667.9
57,4,61,970,750.197,61,970,11,0.5402,840.2,0.2908,26,complete,0.2265,2722.4
58,4,77,1000,820.566,70,,11,0.4435,789.6,0.3882,24,step_limit,0.2355,2779.8
59,4,40,937,425.04,40,937,6,0.6494,1046.8,0.3171,28,complete,0.349,2832.4
60,3,76,1000,597.064,52,,9,0.4103,708.0,0.3572,61,step_limit,0.1987,2888.2
61,4,66,1000,776.655,63,,11,0.5743,852.5,0.3129,30,step_limit,0.266,2945.0
62,4,43,731,517.123,43,731,7,0.5551,843.2,0.2728,22,complete,0.1773,2987.0
63,4,57,991,688.086,57,991,10,0.5399,788.6,0.2812,19,complete,0.252,3042.9
64,3,52,1000,591.775,49,,8,0.523,784.5,0.2026,29,step_limit,0.2571,3098.1
65,4,42,696,521.303,42,696,7,0.569,822.9,0.2286,47,complete,0.2134,3137.2
66,3,41,1000,458.529,40,,6,0.5183,788.9,0.3831,105,step_limit,0.2852,3193.0
67,4,23,413,244.645,23,413,3,0.3947,752.4,0.3011,31,complete,0.2059,3215.6
68,4,77,1000,973.304,74,,14,0.4148,615.0,0.3947,21,step_limit,0.1562,3274.3
69,3,48,785,615.162,48,785,8,0.3707,611.3,0.1782,39,complete,0.1773,3319.0
70,3,69,1000,509.135,49,,7,0.4563,700.4,0.4174,164,step_limit,0.2596,3377.1
71,4,34,505,427.388,34,505,6,0.4267,634.4,0.3535,25,complete,0.2435,3406.5
72,4,61,1000,659.187,55,,10,0.6165,895.4,0.3308,59,step_limit,0.252,3462.3
73,4,50,892,574.704,50,892,8,0.6342,981.4,0.2697,16,complete,0.3357,3512.3
74,3,70,1000,735.374,58,,11,0.3847,634.3,0.2953,44,step_limit,0.1667,3568.6
75,4,21,296,245.131,21,296,3,0.4493,739.4,0.1632,9,complete,0.2153,3584.9
76,3,49,1000,611.731,48,,9,0.5033,757.9,0.2997,62,step_limit,0.2635,3643.3
77,3,67,1000,727.115,60,,10,0.5223,780.1,0.2812,32,step_limit,0.2444,3700.5
78,3,34,864,394.833,34,864,6,0.4672,638.6,0.2925,54,complete,0.2181,3748.0
79,4,31,697,348.649,31,697,5,0.5947,836.7,0.2734,23,complete,0.2355,3786.1
80,3,44,841,531.661,44,841,7,0.5375,741.2,0.3236,39,complete,0.2198,3833.5
81,4,71,1000,718.811,63,,10,0.604,982.7,0.292,17,step_limit,0.248,3891.7
82,3,59,1000,721.131,56,,10,0.4393,693.4,0.2835,73,step_limit,0.1935,3946.5
83,4,21,382,234.072,21,382,3,0.3606,641.3,0.1903,9,complete,0.1646,3968.9
84,3,41,1000,444.071,40,,6,0.5187,791.8,0.4592,90,step_limit,0.227,4023.4
85,4,38,668,441.091,38,668,6,0.6452,1046.9,0.2601,14,complete,0.3155,4061.9
86,4,64,838,850.042,64,838,12,0.5161,778.9,0.1847,19,complete,0.2275,4110.7
87,4,24,958,204.68,24,958,4,0.661,965.0,0.4522,83,complete,0.2955,4162.0
88,4,66,793,867.298,66,793,12,0.4946,812.3,0.1665,10,complete,0.2201,4207.0
