episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,49.5,3.1385,7.675,0.6243,933.3952,0.975,983.9,124.3813,1,2569.2
100,49.65,2.3722,8.0125,0.6269,929.287,0.95,1113.9,120.148,0,5509.0
150,49.7625,1.6826,7.925,0.608,932.8346,0.95,1149.2625,119.6765,0,8336.8
200,49.9,0.4637,7.8,0.6248,934.0643,0.95,1038.6375,121.1515,0,11069.2
250,49.5875,2.3329,7.7625,0.6262,933.0441,0.9625,946.5,123.63,0,13720.1
300,49.3375,3.2479,7.9375,0.6175,932.1736,0.95,945.4625,122.3938,0,16278.3
350,49.575,2.2292,7.5375,0.6199,929.6107,0.9375,955.5125,121.0098,0,18784.6
400,49.35,2.5353,7.4875,0.6109,930.4173,0.9125,891.8,119.3593,0,21449.7
450,49.3625,2.7624,7.525,0.617,930.5844,0.8875,954.4625,116.0238,0,24119.0
500,49.975,0.2222,7.675,0.615,936.8336,0.9875,899.675,126.7543,1,26578.6
550,49.6375,1.5512,7.625,0.6245,930.4188,0.925,940.9125,119.9545,0,29124.2
600,49.55,1.76,7.4375,0.6188,932.1894,0.9,936.1875,117.5175,0,31597.1
650,49.2625,2.7007,7.5,0.6229,932.2735,0.875,914.15,115.3113,0,34065.1
700,49.9375,0.4567,7.6125,0.6173,934.8664,0.975,938.75,124.9833,0,36545.4
750,49.5125,2.1035,7.725,0.6204,933.0071,0.9375,935.325,121.279,0,39103.5
800,49.6,2.2282,7.6875,0.6147,931.4397,0.9375,920.575,121.4757,0,41737.1
850,49.775,1.0604,7.8875,0.6212,934.1129,0.9375,970.525,120.8097,0,44506.2
900,49.55,2.0911,7.775,0.6186,931.7804,0.95,933.4375,122.5542,0,47165.8
950,49.15,3.5605,7.775,0.6162,929.4563,0.9375,945.425,121.1443,0,49713.4
1000,49.6125,1.9906,8.0875,0.6092,930.7496,0.95,943.3875,122.4215,0,52377.2
1050,49.6625,1.6198,8.025,0.6198,933.5756,0.95,1035.025,121.1997,0,54975.9
1100,49.2875,3.5574,8.025,0.6159,929.9962,0.95,951.8625,122.3085,0,57581.6
1150,49.65,1.5174,7.9375,0.6143,932.9877,0.9375,944.6125,121.1552,0,59992.3
1200,49.7875,1.1258,8.0625,0.6113,935.7634,0.9625,960.325,123.4457,0,61871.6
1250,49.825,1.5554,8.1375,0.6137,934.4975,0.9875,900.3625,126.7452,0,63811.1
