episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,3,70,1000,520.38,48,,8,0.3513,617.1,0.2809,35,step_limit,0.1667,3.9
2,3,66,1000,537.268,49,,8,0.3203,586.5,0.3254,89,step_limit,0.1782,6.1
3,3,46,1000,367.513,36,,6,0.236,498.1,0.2735,92,step_limit,0.1259,8.6
4,3,25,1000,234.848,23,,4,0.403,599.1,0.1885,35,step_limit,0.1713,10.6
5,3,26,975,223.308,26,975,4,0.5638,785.8,0.299,65,complete,0.3448,37.0
6,3,69,1000,765.365,63,,10,0.4847,743.0,0.2321,28,step_limit,0.3128,93.7
7,4,44,702,472.093,44,702,6,0.4231,762.2,0.3336,34,complete,0.275,133.6
8,3,79,1000,805.768,65,,11,0.4867,758.0,0.1707,30,step_limit,0.3108,189.9
9,3,35,619,450.187,35,619,6,0.4367,706.5,0.323,91,complete,0.2311,225.4
10,3,59,1000,567.556,50,,8,0.377,605.0,0.4415,117,step_limit,0.2515,281.1
11,3,63,944,795.547,63,944,10,0.4043,700.3,0.3143,74,complete,0.2187,335.6
12,4,46,1000,457.357,43,,7,0.5265,880.7,0.5637,107,step_limit,0.3032,389.8
13,4,25,855,187.16,25,855,2,0.6734,941.7,0.4564,148,complete,0.4474,434.5
14,3,54,1000,575.939,49,,8,0.5237,775.3,0.3557,64,step_limit,0.3424,490.1
15,3,66,1000,664.727,55,,9,0.3443,553.8,0.5177,217,step_limit,0.1927,545.2
16,3,42,830,162.936,23,,3,0.3426,518.0,0.5637,499,no_progress,0.2059,589.7
17,3,28,467,298.079,28,467,3,0.4218,688.8,0.2918,79,complete,0.2788,616.3
18,3,35,527,424.653,35,527,5,0.4428,780.6,0.0479,9,complete,0.3014,645.9
19,3,22,1000,175.386,20,,3,0.484,773.5,0.5408,320,step_limit,0.3502,700.1
20,3,68,1000,727.421,60,,10,0.4857,787.6,0.2262,59,step_limit,0.3038,756.5
21,3,77,1000,890.482,69,,12,0.4577,765.2,0.149,23,step_limit,0.2506,813.8
22,3,78,1000,889.908,69,,12,0.4747,792.0,0.1749,29,step_limit,0.2802,871.0
23,3,69,1000,775.209,61,,11,0.4303,759.7,0.2143,38,step_limit,0.2975,928.2
24,3,79,1000,770.22,65,,10,0.4727,710.1,0.2459,45,step_limit,0.2787,987.0
25,3,41,944,440.326,41,944,6,0.53,775.6,0.3128,126,complete,0.3368,1040.3
26,3,47,810,570.391,47,810,8,0.3918,594.9,0.3268,94,complete,0.2821,1087.4
27,3,57,1000,596.558,52,,8,0.5207,787.6,0.3303,114,step_limit,0.2648,1143.2
28,3,64,1000,559.972,50,,8,0.4207,675.3,0.3067,64,step_limit,0.3391,1199.2
29,3,54,1000,548.267,49,,7,0.49,755.5,0.3331,56,step_limit,0.2515,1255.1
30,4,56,831,709.917,56,831,10,0.5096,844.1,0.3011,33,complete,0.25,1304.8
31,3,55,1000,603.807,51,,8,0.437,777.3,0.3254,98,step_limit,0.2928,1360.3
32,3,48,994,577.78,48,994,8,0.4903,788.6,0.2357,36,complete,0.3077,1414.9
33,3,72,1000,798.567,65,,10,0.3373,646.2,0.1802,34,step_limit,0.2027,1471.6
34,3,55,983,716.552,55,983,10,0.4903,792.5,0.2934,46,complete,0.2865,1526.8
35,3,44,682,561.263,44,682,7,0.4252,676.4,0.2027,54,complete,0.2299,1564.4
36,3,56,1000,649.566,53,,9,0.4513,721.3,0.4197,67,step_limit,0.2522,1621.3
37,4,32,434,386.94,32,434,5,0.4965,752.1,0.2947,14,complete,0.2177,1645.6
38,3,74,1000,514.107,48,,8,0.4723,678.8,0.4734,69,step_limit,0.2256,1699.9
39,3,42,818,506.931,42,818,7,0.4678,718.7,0.3102,94,complete,0.2593,1746.1
40,3,67,1000,744.331,60,,10,0.5193,784.8,0.1957,37,step_limit,0.3279,1804.5
41,3,46,866,580.335,46,866,8,0.4919,746.8,0.1651,18,complete,0.2977,1853.5
42,3,61,1000,828.915,60,,12,0.4647,742.2,0.1768,42,step_limit,0.2917,1908.7
43,3,68,1000,734.254,60,,10,0.449,664.8,0.1916,18,step_limit,0.2604,1965.6
44,4,26,403,299.495,26,403,4,0.4194,629.1,0.2766,14,complete,0.2026,1988.7
45,3,21,770,178.829,21,770,3,0.5035,758.2,0.4052,72,complete,0.3333,2024.9
46,3,70,1000,792.419,65,,10,0.4833,756.7,0.1989,24,step_limit,0.2872,2067.4
47,3,68,1000,828.815,64,,11,0.4217,629.8,0.2148,28,step_limit,0.2407,2108.7
48,3,41,696,483.715,41,696,6,0.4569,783.4,0.2243,21,complete,0.3148,2137.1
49,4,50,721,629.872,50,721,9,0.5146,744.4,0.3955,47,complete,0.2016,2162.2
50,3,28,712,320.151,28,712,4,0.551,781.6,0.3048,73,complete,0.314,2187.4
51,3,44,913,555.608,44,913,8,0.379,670.2,0.2293,27,complete,0.2255,2619.5
52,3,40,755,495.265,40,755,7,0.4623,690.5,0.2993,58,complete,0.2481,2662.8
53,3,62,1000,644.119,54,,9,0.4223,775.6,0.3507,77,step_limit,0.2319,2718.1
54,3,53,1000,641.251,52,,9,0.524,764.9,0.2003,22,step_limit,0.297,2774.4
55,3,30,865,295.9,30,865,4,0.4836,780.2,0.285,37,complete,0.3125,2820.7
56,3,59,1000,609.744,53,,8,0.5117,747.7,0.3258,39,step_limit,0.2749,2875.6
57,3,75,1000,588.424,50,,9,0.5203,706.7,0.4429,237,step_limit,0.263,2930.5
58,3,77,1000,848.836,66,,12,0.4413,705.5,0.2435,40,step_limit,0.1967,2985.7
59,3,20,493,206.015,20,493,3,0.3624,603.6,0.2121,19,complete,0.1973,3012.8
60,3,69,1000,650.47,54,,10,0.3363,604.5,0.3323,46,step_limit,0.188,3067.8
61,3,59,1000,504.127,45,,8,0.4653,637.1,0.458,54,step_limit,0.1795,3123.7
62,3,50,1000,567.672,48,,8,0.5333,742.1,0.2973,68,step_limit,0.2991,3179.0
63,3,33,841,369.643,33,841,5,0.4713,787.2,0.2067,43,complete,0.27,3225.6
64,3,52,1000,383.658,38,,6,0.332,664.0,0.354,49,step_limit,0.1541,3279.3
65,3,21,418,206.174,21,418,2,0.4298,584.3,0.2947,32,complete,0.1441,3301.7
66,3,38,1000,383.353,36,,5,0.5477,698.6,0.541,252,step_limit,0.206,3355.3
67,3,41,873,472.961,41,873,6,0.4349,761.2,0.237,43,complete,0.1775,3404.3
68,3,79,1000,688.694,60,,9,0.5103,737.4,0.2375,23,step_limit,0.2672,3459.6
69,3,69,1000,641.835,54,,10,0.4323,641.9,0.4074,49,step_limit,0.2251,3515.5
