episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,50.0,0.0,7.5875,0.6157,935.008,1.0,967.9,127.0947,1,2382.8
100,49.9625,0.2472,8.125,0.6139,933.7522,0.975,1077.7,123.1307,0,5252.7
150,49.775,1.4403,7.85,0.6247,935.3541,0.9625,1066.8,122.026,0,7989.1
200,49.95,0.4444,7.675,0.611,935.5773,0.9875,966.8125,125.8592,0,10727.0
250,49.6375,2.105,7.75,0.6091,932.2922,0.9625,968.225,123.3403,0,13363.8
300,49.8375,1.2394,7.8125,0.6046,935.1659,0.975,908.875,125.3817,0,15971.7
350,49.8625,0.9453,7.875,0.6146,934.8585,0.975,903.7375,125.4502,0,18555.8
400,50.0,0.0,7.725,0.6064,935.7474,1.0,870.1375,128.3982,1,21227.8
450,49.775,1.9998,7.9125,0.6017,933.0983,0.9875,910.275,126.613,0,23740.3
500,48.975,5.0274,7.7125,0.606,923.4881,0.9375,896.075,121.8023,0,26257.8
550,49.8625,1.0093,7.875,0.6069,934.2604,0.9625,879.0625,124.5292,0,28790.6
600,49.8625,0.8908,8.075,0.6042,933.6377,0.975,911.425,125.3477,0,31261.3
650,49.55,1.9868,7.775,0.6113,931.1232,0.9375,895.3625,121.8118,0,33795.0
700,49.825,1.5554,8.075,0.6042,934.5625,0.9875,892.4625,126.8505,0,36454.0
750,49.7625,1.4853,7.8125,0.6063,932.5618,0.975,843.4625,126.2538,0,39046.3
800,49.3375,3.3651,7.9375,0.6076,929.4651,0.9375,864.4,122.2247,0,41525.6
850,50.0,0.0,8.225,0.5966,936.0993,1.0,870.825,128.389,0,44109.4
900,49.9375,0.4567,7.9,0.6115,935.1661,0.975,899.8375,125.5022,0,46661.5
950,49.9875,0.1111,7.9,0.6109,935.8726,0.9875,874.1875,127.0942,0,49238.0
1000,49.55,2.2299,7.8125,0.6089,930.9341,0.95,894.5125,123.0732,0,51853.2
1050,49.85,0.7762,7.875,0.6113,933.9492,0.95,901.55,122.9793,0,54429.1
1100,49.8,1.336,7.875,0.6125,934.4794,0.975,918.6375,125.2515,0,56888.4
1150,49.8375,0.858,8.0,0.6143,934.5086,0.9625,885.825,124.439,0,59436.9
