episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,3,67,1000,461.512,45,,7,0.478,741.7,0.276,102,step_limit,0.0833,3.8
2,3,57,1000,409.511,39,,7,0.3957,527.7,0.3946,65,step_limit,0.0787,6.0
3,3,23,1000,145.922,20,,3,0.5187,770.8,0.3431,79,step_limit,0.0833,8.3
4,3,71,1000,640.921,55,,9,0.2637,554.5,0.2709,71,step_limit,0.0952,11.4
5,4,75,1000,818.837,67,,12,0.385,748.4,0.3915,112,step_limit,0.2131,50.7
6,4,30,408,337.12,30,408,4,0.565,763.2,0.171,12,complete,0.3033,74.5
7,3,54,1000,583.317,50,,8,0.4873,801.0,0.3041,159,step_limit,0.3639,130.7
8,3,61,785,793.435,61,785,10,0.3584,581.0,0.1497,40,complete,0.2241,177.2
9,3,37,698,491.357,37,698,7,0.3649,735.1,0.3251,101,complete,0.2857,215.1
10,3,58,1000,609.088,51,,9,0.3393,591.9,0.4053,107,step_limit,0.2649,270.2
11,3,27,653,333.999,27,653,5,0.4722,694.2,0.3321,122,complete,0.2748,305.8
12,3,71,1000,541.904,49,,8,0.3527,662.4,0.5087,169,step_limit,0.2642,361.6
13,3,40,621,513.415,40,621,7,0.3816,548.1,0.2064,29,complete,0.2731,397.1
14,3,72,1000,767.858,61,,11,0.435,743.7,0.1656,81,step_limit,0.2954,454.7
15,3,48,838,635.066,48,838,9,0.4208,752.7,0.1686,44,complete,0.3235,500.9
16,3,71,1000,788.545,62,,11,0.4717,767.3,0.2372,97,step_limit,0.3018,558.6
17,3,32,719,365.836,32,719,5,0.4826,779.4,0.127,46,complete,0.4254,598.0
18,3,41,1000,414.62,37,,6,0.4997,778.4,0.5103,329,step_limit,0.3509,653.7
19,3,76,1000,784.474,64,,11,0.417,685.0,0.2898,50,step_limit,0.2769,710.5
20,3,25,346,286.288,25,346,3,0.3198,644.3,0.0326,8,complete,0.3061,729.6
21,3,52,1000,606.073,50,,9,0.54,801.4,0.1205,56,step_limit,0.4435,784.5
22,4,51,564,631.362,51,564,8,0.4362,753.8,0.1287,9,complete,0.2472,818.3
23,3,59,1000,663.4,55,,9,0.4793,802.4,0.211,48,step_limit,0.3136,874.5
24,3,68,1000,703.293,60,,9,0.4987,796.9,0.1672,28,step_limit,0.3117,930.1
25,3,43,762,526.08,43,762,7,0.3154,656.2,0.1763,24,complete,0.2065,971.3
26,3,21,558,225.503,21,558,3,0.4564,728.5,0.2003,53,complete,0.3765,1002.0
27,3,64,1000,713.345,58,,10,0.4687,745.3,0.1902,75,step_limit,0.3221,1058.6
