episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,49.4875,2.0916,7.475,0.6327,933.2249,0.9375,1032.05,119.9893,1,1189.3
100,50.0,0.0,7.8,0.6167,935.444,1.0,1033.8875,126.2148,1,2537.7
150,50.0,0.0,7.75,0.6214,934.9094,1.0,962.0,127.1733,1,3496.3
200,49.9125,0.5957,7.45,0.6235,935.8059,0.975,961.9625,124.6738,0,4856.1
250,49.75,1.6845,7.6375,0.6131,933.6379,0.975,951.6875,124.8108,0,6146.1
300,49.9625,0.2472,7.65,0.6232,935.5607,0.975,926.875,125.1417,0,7081.4
350,49.9875,0.1111,7.7125,0.6113,935.7272,0.9875,886.6,126.9287,0,8339.1
400,49.9375,0.5555,7.625,0.6204,936.1332,0.9875,890.55,126.876,0,9561.2
450,49.9125,0.3935,7.7,0.6209,934.0497,0.95,915.125,122.7983,0,10523.0
500,49.8375,0.8131,7.6875,0.6231,934.0444,0.95,899.6,123.0053,0,11823.1
550,49.95,0.35,8.0375,0.6193,934.5547,0.975,924.0875,125.1788,0,13020.2
600,49.8375,1.2394,7.8625,0.6181,933.4255,0.975,898.7375,125.5168,0,13971.3
650,49.7,2.6665,7.875,0.6162,934.0502,0.9875,888.2875,126.9062,0,15181.7
700,49.775,1.5809,7.7875,0.6213,934.5641,0.9625,942.875,123.6783,0,16422.7
750,49.6,1.8412,7.7625,0.6209,931.0264,0.9125,915.7625,119.0398,0,17452.4
800,49.95,0.4444,7.6875,0.62,934.3528,0.9875,887.7,126.914,0,18649.1
850,49.9,0.5148,7.775,0.6251,933.6474,0.9625,903.5125,124.2032,0,19809.1
900,49.875,0.6778,7.9125,0.6243,934.8027,0.9625,921.6375,123.9615,0,20822.6
