episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,4,57,1000,548.646,50,,8,0.421,739.1,0.2055,19,step_limit,0.1604,3.5
2,3,50,1000,289.83,33,,5,0.3993,660.7,0.3093,52,step_limit,0.1804,5.9
3,4,72,1000,619.322,58,,9,0.4855,751.0,0.3447,39,step_limit,0.161,9.9
4,3,46,1000,373.815,37,,6,0.2207,498.5,0.2819,49,step_limit,0.1404,14.9
5,3,58,1000,-58.112,18,,1,0.2757,578.2,0.4933,187,step_limit,0.1194,69.4
6,3,61,1000,423.469,43,,6,0.5277,726.5,0.5435,183,step_limit,0.2313,135.9
7,3,30,565,344.95,30,565,4,0.515,779.6,0.1306,19,complete,0.2899,174.5
8,3,69,902,249.397,30,,5,0.3082,484.5,0.7626,473,no_progress,0.0412,234.2
9,3,66,1000,686.036,55,,10,0.4713,714.3,0.3626,117,step_limit,0.2183,301.3
10,3,26,737,288.913,26,737,4,0.4179,727.0,0.5107,196,complete,0.1354,349.0
11,4,32,590,376.788,32,590,5,0.4415,698.2,0.4237,86,complete,0.0731,388.7
12,3,35,555,457.55,35,555,6,0.4739,707.5,0.3241,57,complete,0.0945,426.3
13,3,23,724,227.519,23,724,3,0.5295,672.2,0.5973,104,complete,0.0565,473.8
14,3,61,1000,195.161,29,,4,0.4823,581.9,0.6356,215,step_limit,0.1181,539.6
15,4,78,1000,836.385,68,,12,0.4688,688.4,0.4443,77,step_limit,0.0797,609.5
16,4,46,883,522.776,46,883,7,0.5037,881.2,0.3187,45,complete,0.0565,667.5
17,4,74,1000,820.357,69,,11,0.344,659.4,0.1759,14,step_limit,0.0674,737.8
18,3,24,1000,127.262,19,,3,0.4243,753.9,0.295,68,step_limit,0.1111,802.8
19,4,24,435,253.483,24,435,3,0.5822,831.5,0.1771,25,complete,0.0798,832.2
20,3,66,1000,753.705,59,,11,0.2987,604.4,0.3107,41,step_limit,0.1101,903.7
21,3,43,1000,456.321,39,,7,0.2763,623.9,0.158,60,step_limit,0.1418,970.8
22,3,43,1000,395.177,36,,6,0.3363,467.5,0.3446,113,step_limit,0.0899,1028.7
23,3,22,1000,126.009,20,,2,0.5627,783.9,0.3805,99,step_limit,0.1524,1087.1
24,3,35,1000,178.0,25,,3,0.294,615.1,0.2633,37,step_limit,0.1022,1143.0
25,4,25,1000,90.816,20,,2,0.389,730.8,0.1462,16,step_limit,0.1767,1202.8
26,3,79,1000,648.866,57,,9,0.351,665.0,0.3734,56,step_limit,0.1415,1270.4
27,4,63,806,178.274,31,,3,0.5189,836.7,0.6723,482,no_progress,0.0493,1323.2
28,3,77,1000,788.153,64,,11,0.399,781.5,0.2273,41,step_limit,0.2222,1391.8
29,3,34,1000,244.1,26,,5,0.588,769.4,0.4275,37,step_limit,0.1602,1455.7
30,3,25,1000,100.96,19,,2,0.57,755.9,0.3123,32,step_limit,0.1389,1519.5
31,4,68,1000,803.506,64,,12,0.4973,789.1,0.2063,12,step_limit,0.2229,1587.8
32,3,79,1000,550.243,52,,8,0.4867,700.4,0.4045,159,step_limit,0.2,1656.6
33,3,62,1000,419.382,41,,7,0.4947,754.5,0.4732,259,step_limit,0.172,1722.1
34,3,33,1000,184.0,25,,3,0.244,618.9,0.2574,58,step_limit,0.0833,1788.0
35,3,26,900,242.958,26,900,4,0.5241,686.3,0.4523,83,complete,0.0541,1847.0
