/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=고정 드론 4 목적지 50 인스턴스=무작위 목표유지=off
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:282: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.22 | alpha 0.100 | step_limit
Ep 2 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  7 | 중계율 0.19 | alpha 0.100 | step_limit
Ep 3 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  7 | 중계율 0.21 | alpha 0.100 | step_limit
Ep 4 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  7 | 중계율 0.18 | alpha 0.100 | step_limit
Ep 5 | 드론4 목적지50 | 1000스텝 | 배송 30/50 | 재적재  4 | 중계율 0.07 | alpha 0.105 | step_limit
Ep 6 | 드론4 목적지50 | 1000스텝 | 배송 34/50 | 재적재  5 | 중계율 0.04 | alpha 0.110 | step_limit
Ep 7 | 드론4 목적지50 | 1000스텝 | 배송 36/50 | 재적재  5 | 중계율 0.16 | alpha 0.122 | step_limit
Ep 8 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  7 | 중계율 0.13 | alpha 0.135 | step_limit
Ep 9 | 드론4 목적지50 | 1000스텝 | 배송 44/50 | 재적재  6 | 중계율 0.12 | alpha 0.148 | step_limit
Ep 10 | 드론4 목적지50 |  886스텝 | 배송 50/50 | 재적재  8 | 중계율 0.14 | alpha 0.161 | complete
Ep 11 | 드론4 목적지50 |  993스텝 | 배송 50/50 | 재적재  9 | 중계율 0.14 | alpha 0.175 | complete
Ep 12 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  5 | 중계율 0.09 | alpha 0.190 | step_limit
Ep 13 | 드론4 목적지50 | 1000스텝 | 배송 44/50 | 재적재  7 | 중계율 0.14 | alpha 0.207 | step_limit
Ep 14 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  8 | 중계율 0.10 | alpha 0.224 | step_limit
Ep 15 | 드론4 목적지50 |  852스텝 | 배송 33/50 | 재적재  5 | 중계율 0.10 | alpha 0.240 | no_progress
Ep 16 | 드론4 목적지50 |  941스텝 | 배송 25/50 | 재적재  3 | 중계율 0.04 | alpha 0.259 | no_progress
Ep 17 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  8 | 중계율 0.11 | alpha 0.279 | step_limit
Ep 18 | 드론4 목적지50 | 1000스텝 | 배송 30/50 | 재적재  4 | 중계율 0.08 | alpha 0.302 | step_limit
Ep 19 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  6 | 중계율 0.06 | alpha 0.326 | step_limit
Ep 20 | 드론4 목적지50 | 1000스텝 | 배송 39/50 | 재적재  6 | 중계율 0.07 | alpha 0.351 | step_limit
Ep 21 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  8 | 중계율 0.15 | alpha 0.377 | step_limit
Ep 22 | 드론4 목적지50 | 1000스텝 | 배송 44/50 | 재적재  6 | 중계율 0.07 | alpha 0.405 | step_limit
Ep 23 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  7 | 중계율 0.12 | alpha 0.435 | step_limit
Ep 24 | 드론4 목적지50 | 1000스텝 | 배송 38/50 | 재적재  5 | 중계율 0.04 | alpha 0.466 | step_limit
Ep 25 | 드론4 목적지50 | 1000스텝 | 배송 39/50 | 재적재  6 | 중계율 0.14 | alpha 0.499 | step_limit
