/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:282: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론8 목적지57 |  756스텝 | 배송 57/57 | 재적재  7 | 중계율 0.14 | alpha 0.100 | complete
Ep 2 | 드론3 목적지50 | 1000스텝 | 배송 37/50 | 재적재  6 | 중계율 0.17 | alpha 0.100 | step_limit
Ep 3 | 드론7 목적지72 | 1000스텝 | 배송 68/72 | 재적재 11 | 중계율 0.14 | alpha 0.100 | step_limit
Ep 4 | 드론3 목적지46 | 1000스텝 | 배송 44/46 | 재적재  7 | 중계율 0.14 | alpha 0.100 | step_limit
Ep 5 | 드론5 목적지58 | 1000스텝 | 배송 20/58 | 재적재  1 | 중계율 0.01 | alpha 0.106 | step_limit
Ep 6 | 드론3 목적지61 | 1000스텝 | 배송 28/61 | 재적재  4 | 중계율 0.08 | alpha 0.114 | step_limit
Ep 7 | 드론3 목적지30 | 1000스텝 | 배송 22/30 | 재적재  2 | 중계율 0.18 | alpha 0.126 | step_limit
Ep 8 | 드론3 목적지69 | 1000스텝 | 배송 38/69 | 재적재  6 | 중계율 0.09 | alpha 0.139 | step_limit
Ep 9 | 드론5 목적지66 | 1000스텝 | 배송 61/66 | 재적재  9 | 중계율 0.17 | alpha 0.152 | step_limit
Ep 10 | 드론4 목적지26 |  735스텝 | 배송 26/26 | 재적재  4 | 중계율 0.11 | alpha 0.162 | complete
Ep 11 | 드론8 목적지32 |  171스텝 | 배송 32/32 | 재적재  0 | 중계율 0.01 | alpha 0.165 | complete
