/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:282: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론6 목적지43 |  823스텝 | 배송 43/43 | 재적재  6 | 중계율 0.09 | alpha 0.100 | complete
Ep 2 | 드론5 목적지74 | 1000스텝 | 배송 69/74 | 재적재 12 | 중계율 0.06 | alpha 0.100 | step_limit
Ep 3 | 드론6 목적지43 |  948스텝 | 배송 43/43 | 재적재  6 | 중계율 0.06 | alpha 0.100 | complete
Ep 4 | 드론5 목적지23 |  696스텝 | 배송 23/23 | 재적재  2 | 중계율 0.09 | alpha 0.100 | complete
Ep 5 | 드론5 목적지31 | 1000스텝 | 배송 25/31 | 재적재  3 | 중계율 0.07 | alpha 0.102 | step_limit
Ep 6 | 드론3 목적지68 | 1000스텝 | 배송 28/68 | 재적재  4 | 중계율 0.00 | alpha 0.109 | step_limit
Ep 7 | 드론8 목적지44 |  360스텝 | 배송 44/44 | 재적재  6 | 중계율 0.02 | alpha 0.113 | complete
Ep 8 | 드론8 목적지30 |  175스텝 | 배송 30/30 | 재적재  1 | 중계율 0.00 | alpha 0.115 | complete
Ep 9 | 드론8 목적지42 |  408스텝 | 배송 42/42 | 재적재  3 | 중계율 0.01 | alpha 0.119 | complete
Ep 10 | 드론8 목적지47 |  378스텝 | 배송 47/47 | 재적재  5 | 중계율 0.01 | alpha 0.124 | complete
Ep 11 | 드론7 목적지21 |  178스텝 | 배송 21/21 | 재적재  1 | 중계율 0.00 | alpha 0.126 | complete
Ep 12 | 드론3 목적지37 |  832스텝 | 배송 27/37 | 재적재  4 | 중계율 0.02 | alpha 0.136 | no_progress
Ep 13 | 드론7 목적지28 |  271스텝 | 배송 28/28 | 재적재  1 | 중계율 0.02 | alpha 0.139 | complete
Ep 14 | 드론3 목적지41 |  721스텝 | 배송 23/41 | 재적재  3 | 중계율 0.01 | alpha 0.148 | no_progress
Ep 15 | 드론3 목적지66 |  851스텝 | 배송 34/66 | 재적재  5 | 중계율 0.00 | alpha 0.159 | no_progress
Ep 16 | 드론4 목적지71 |  715스텝 | 배송 35/71 | 재적재  4 | 중계율 0.00 | alpha 0.168 | no_progress
Ep 17 | 드론5 목적지24 |  695스텝 | 배송 17/24 | 재적재  0 | 중계율 0.00 | alpha 0.178 | no_progress
Ep 18 | 드론6 목적지49 |  553스텝 | 배송 49/49 | 재적재  6 | 중계율 0.05 | alpha 0.186 | complete
Ep 19 | 드론8 목적지34 |  211스텝 | 배송 34/34 | 재적재  5 | 중계율 0.06 | alpha 0.189 | complete
Ep 20 | 드론3 목적지48 | 1000스텝 | 배송 36/48 | 재적재  6 | 중계율 0.11 | alpha 0.204 | step_limit
Ep 21 | 드론4 목적지63 | 1000스텝 | 배송 37/63 | 재적재  5 | 중계율 0.13 | alpha 0.220 | step_limit
Ep 22 | 드론8 목적지46 |  294스텝 | 배송 46/46 | 재적재  8 | 중계율 0.03 | alpha 0.225 | complete
Ep 23 | 드론4 목적지44 |  536스텝 | 배송 44/44 | 재적재  7 | 중계율 0.10 | alpha 0.234 | complete
Ep 24 | 드론6 목적지41 |  458스텝 | 배송 41/41 | 재적재  5 | 중계율 0.14 | alpha 0.242 | complete
