/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 4] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=0.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.25@400 자기회귀=True 홀드아웃상한=3000 선택=makespan/속도가중치=40.0
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:354: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론4 목적지57 | 1000스텝 | 배송 50/57 | 재적재  8 | 중계율 0.16 | alpha 0.100 | step_limit
Ep 2 | 드론3 목적지50 | 1000스텝 | 배송 33/50 | 재적재  5 | 중계율 0.18 | alpha 0.100 | step_limit
Ep 3 | 드론4 목적지72 | 1000스텝 | 배송 58/72 | 재적재  9 | 중계율 0.16 | alpha 0.100 | step_limit
Ep 4 | 드론3 목적지46 | 1000스텝 | 배송 37/46 | 재적재  6 | 중계율 0.14 | alpha 0.100 | step_limit
Ep 5 | 드론3 목적지58 | 1000스텝 | 배송 18/58 | 재적재  1 | 중계율 0.12 | alpha 0.107 | step_limit
Ep 6 | 드론3 목적지61 | 1000스텝 | 배송 43/61 | 재적재  6 | 중계율 0.23 | alpha 0.117 | step_limit
Ep 7 | 드론3 목적지30 |  565스텝 | 배송 30/30 | 재적재  4 | 중계율 0.29 | alpha 0.124 | complete
Ep 8 | 드론3 목적지69 |  902스텝 | 배송 30/69 | 재적재  5 | 중계율 0.04 | alpha 0.134 | no_progress
Ep 9 | 드론3 목적지66 | 1000스텝 | 배송 55/66 | 재적재 10 | 중계율 0.22 | alpha 0.146 | step_limit
Ep 10 | 드론3 목적지26 |  737스텝 | 배송 26/26 | 재적재  4 | 중계율 0.14 | alpha 0.155 | complete
Ep 11 | 드론4 목적지32 |  590스텝 | 배송 32/32 | 재적재  5 | 중계율 0.07 | alpha 0.163 | complete
Ep 12 | 드론3 목적지35 |  555스텝 | 배송 35/35 | 재적재  6 | 중계율 0.09 | alpha 0.170 | complete
Ep 13 | 드론3 목적지23 |  724스텝 | 배송 23/23 | 재적재  3 | 중계율 0.06 | alpha 0.180 | complete
Ep 14 | 드론3 목적지61 | 1000스텝 | 배송 29/61 | 재적재  4 | 중계율 0.12 | alpha 0.195 | step_limit
Ep 15 | 드론4 목적지78 | 1000스텝 | 배송 68/78 | 재적재 12 | 중계율 0.08 | alpha 0.210 | step_limit
Ep 16 | 드론4 목적지46 |  883스텝 | 배송 46/46 | 재적재  7 | 중계율 0.06 | alpha 0.224 | complete
Ep 17 | 드론4 목적지74 | 1000스텝 | 배송 69/74 | 재적재 11 | 중계율 0.07 | alpha 0.242 | step_limit
Ep 18 | 드론3 목적지24 | 1000스텝 | 배송 19/24 | 재적재  3 | 중계율 0.11 | alpha 0.261 | step_limit
Ep 19 | 드론4 목적지24 |  435스텝 | 배송 24/24 | 재적재  3 | 중계율 0.08 | alpha 0.269 | complete
Ep 20 | 드론3 목적지66 | 1000스텝 | 배송 59/66 | 재적재 11 | 중계율 0.11 | alpha 0.290 | step_limit
Ep 21 | 드론3 목적지43 | 1000스텝 | 배송 39/43 | 재적재  7 | 중계율 0.14 | alpha 0.313 | step_limit
Ep 22 | 드론3 목적지43 | 1000스텝 | 배송 36/43 | 재적재  6 | 중계율 0.09 | alpha 0.337 | step_limit
Ep 23 | 드론3 목적지22 | 1000스텝 | 배송 20/22 | 재적재  2 | 중계율 0.15 | alpha 0.363 | step_limit
Ep 24 | 드론3 목적지35 | 1000스텝 | 배송 25/35 | 재적재  3 | 중계율 0.10 | alpha 0.390 | step_limit
Ep 25 | 드론4 목적지25 | 1000스텝 | 배송 20/25 | 재적재  2 | 중계율 0.18 | alpha 0.420 | step_limit
Ep 26 | 드론3 목적지79 | 1000스텝 | 배송 57/79 | 재적재  9 | 중계율 0.14 | alpha 0.452 | step_limit
Ep 27 | 드론4 목적지63 |  806스텝 | 배송 31/63 | 재적재  3 | 중계율 0.05 | alpha 0.480 | no_progress
Ep 28 | 드론3 목적지77 | 1000스텝 | 배송 64/77 | 재적재 11 | 중계율 0.22 | alpha 0.517 | step_limit
Ep 29 | 드론3 목적지34 | 1000스텝 | 배송 26/34 | 재적재  5 | 중계율 0.16 | alpha 0.557 | step_limit
Ep 30 | 드론3 목적지25 | 1000스텝 | 배송 19/25 | 재적재  2 | 중계율 0.14 | alpha 0.600 | step_limit
Ep 31 | 드론4 목적지68 | 1000스텝 | 배송 64/68 | 재적재 12 | 중계율 0.22 | alpha 0.646 | step_limit
Ep 32 | 드론3 목적지79 | 1000스텝 | 배송 52/79 | 재적재  8 | 중계율 0.20 | alpha 0.696 | step_limit
Ep 33 | 드론3 목적지62 | 1000스텝 | 배송 41/62 | 재적재  7 | 중계율 0.17 | alpha 0.749 | step_limit
Ep 34 | 드론3 목적지33 | 1000스텝 | 배송 25/33 | 재적재  3 | 중계율 0.08 | alpha 0.806 | step_limit
Ep 35 | 드론3 목적지26 |  900스텝 | 배송 26/26 | 재적재  4 | 중계율 0.05 | alpha 0.861 | complete
Ep 36 | 드론3 목적지57 | 1000스텝 | 배송 47/57 | 재적재  9 | 중계율 0.18 | alpha 0.927 | step_limit
Ep 37 | 드론3 목적지29 | 1000스텝 | 배송 25/29 | 재적재  3 | 중계율 0.21 | alpha 0.998 | step_limit
Ep 38 | 드론4 목적지63 |  972스텝 | 배송 63/63 | 재적재 10 | 중계율 0.19 | alpha 1.071 | complete
Ep 39 | 드론4 목적지44 | 1000스텝 | 배송 37/44 | 재적재  6 | 중계율 0.20 | alpha 1.150 | step_limit
Ep 40 | 드론4 목적지56 | 1000스텝 | 배송 52/56 | 재적재  8 | 중계율 0.20 | alpha 1.235 | step_limit
Ep 41 | 드론4 목적지21 |  412스텝 | 배송 21/21 | 재적재  3 | 중계율 0.07 | alpha 1.272 | complete
Ep 42 | 드론3 목적지24 |  861스텝 | 배송 20/24 | 재적재  3 | 중계율 0.23 | alpha 1.350 | no_progress
Ep 43 | 드론3 목적지52 | 1000스텝 | 배송 43/52 | 재적재  8 | 중계율 0.09 | alpha 1.445 | step_limit
Ep 44 | 드론3 목적지72 | 1000스텝 | 배송 54/72 | 재적재  9 | 중계율 0.12 | alpha 1.545 | step_limit
Ep 45 | 드론3 목적지52 | 1000스텝 | 배송 48/52 | 재적재  9 | 중계율 0.17 | alpha 1.647 | step_limit
Ep 46 | 드론4 목적지72 | 1000스텝 | 배송 70/72 | 재적재 13 | 중계율 0.14 | alpha 1.753 | step_limit
Ep 47 | 드론3 목적지69 | 1000스텝 | 배송 45/69 | 재적재  7 | 중계율 0.10 | alpha 1.859 | step_limit
Ep 48 | 드론3 목적지56 | 1000스텝 | 배송 30/56 | 재적재  5 | 중계율 0.09 | alpha 1.967 | step_limit
Ep 49 | 드론4 목적지78 | 1000스텝 | 배송 59/78 | 재적재 10 | 중계율 0.15 | alpha 2.073 | step_limit
Ep 50 | 드론4 목적지40 | 1000스텝 | 배송 20/40 | 재적재  2 | 중계율 0.10 | alpha 2.178 | step_limit
  [홀드아웃] 배송 47.6±7.0 완주 0.74 스텝 1343 점수 95.8 재적재 7.8 2홉+ 0.66 | 최고 95.8@ep50 정체 0/15  ← 갱신
Ep 51 | 드론4 목적지51 |  682스텝 | 배송 51/51 | 재적재  9 | 중계율 0.11 | alpha 2.247 | complete
Ep 52 | 드론3 목적지42 | 1000스텝 | 배송 40/42 | 재적재  7 | 중계율 0.17 | alpha 2.345 | step_limit
Ep 53 | 드론4 목적지60 | 1000스텝 | 배송 58/60 | 재적재 10 | 중계율 0.12 | alpha 2.437 | step_limit
Ep 54 | 드론3 목적지49 | 1000스텝 | 배송 43/49 | 재적재  7 | 중계율 0.15 | alpha 2.527 | step_limit
Ep 55 | 드론3 목적지40 |  824스텝 | 배송 40/40 | 재적재  6 | 중계율 0.12 | alpha 2.599 | complete
Ep 56 | 드론4 목적지61 | 1000스텝 | 배송 60/61 | 재적재 10 | 중계율 0.14 | alpha 2.685 | step_limit
Ep 57 | 드론3 목적지53 | 1000스텝 | 배송 41/53 | 재적재  7 | 중계율 0.18 | alpha 2.768 | step_limit
Ep 58 | 드론4 목적지57 |  958스텝 | 배송 57/57 | 재적재 10 | 중계율 0.11 | alpha 2.842 | complete
Ep 59 | 드론3 목적지50 | 1000스텝 | 배송 44/50 | 재적재  8 | 중계율 0.13 | alpha 2.906 | step_limit
Ep 60 | 드론3 목적지21 |  781스텝 | 배송 21/21 | 재적재  3 | 중계율 0.18 | alpha 2.954 | complete
Ep 61 | 드론4 목적지26 |  821스텝 | 배송 26/26 | 재적재  3 | 중계율 0.08 | alpha 3.003 | complete
Ep 62 | 드론4 목적지55 | 1000스텝 | 배송 46/55 | 재적재  8 | 중계율 0.18 | alpha 3.053 | step_limit
Ep 63 | 드론4 목적지68 | 1000스텝 | 배송 50/68 | 재적재  9 | 중계율 0.11 | alpha 3.094 | step_limit
Ep 64 | 드론3 목적지41 | 1000스텝 | 배송 35/41 | 재적재  5 | 중계율 0.11 | alpha 3.133 | step_limit
Ep 65 | 드론4 목적지68 | 1000스텝 | 배송 64/68 | 재적재 11 | 중계율 0.09 | alpha 3.156 | step_limit
Ep 66 | 드론3 목적지61 | 1000스텝 | 배송 58/61 | 재적재 11 | 중계율 0.11 | alpha 3.182 | step_limit
Ep 67 | 드론3 목적지53 | 1000스텝 | 배송 41/53 | 재적재  6 | 중계율 0.16 | alpha 3.199 | step_limit
Ep 68 | 드론3 목적지44 | 1000스텝 | 배송 41/44 | 재적재  7 | 중계율 0.14 | alpha 3.210 | step_limit
Ep 69 | 드론3 목적지34 | 1000스텝 | 배송 31/34 | 재적재  5 | 중계율 0.11 | alpha 3.201 | step_limit
Ep 70 | 드론3 목적지31 | 1000스텝 | 배송 25/31 | 재적재  4 | 중계율 0.14 | alpha 3.197 | step_limit
Ep 71 | 드론4 목적지71 | 1000스텝 | 배송 65/71 | 재적재 12 | 중계율 0.09 | alpha 3.173 | step_limit
Ep 72 | 드론3 목적지53 | 1000스텝 | 배송 44/53 | 재적재  7 | 중계율 0.12 | alpha 3.111 | step_limit
Ep 73 | 드론3 목적지21 | 1000스텝 | 배송 20/21 | 재적재  2 | 중계율 0.10 | alpha 3.059 | step_limit
Ep 74 | 드론4 목적지45 | 1000스텝 | 배송 43/45 | 재적재  7 | 중계율 0.12 | alpha 3.018 | step_limit
Ep 75 | 드론4 목적지40 | 1000스텝 | 배송 35/40 | 재적재  5 | 중계율 0.12 | alpha 2.980 | step_limit
Ep 76 | 드론3 목적지75 | 1000스텝 | 배송 60/75 | 재적재 10 | 중계율 0.18 | alpha 2.959 | step_limit
Ep 77 | 드론4 목적지24 |  415스텝 | 배송 24/24 | 재적재  3 | 중계율 0.16 | alpha 2.960 | complete
Ep 78 | 드론3 목적지64 | 1000스텝 | 배송 54/64 | 재적재  9 | 중계율 0.13 | alpha 2.952 | step_limit
Ep 79 | 드론3 목적지41 | 1000스텝 | 배송 38/41 | 재적재  7 | 중계율 0.16 | alpha 2.921 | step_limit
Ep 80 | 드론3 목적지69 | 1000스텝 | 배송 54/69 | 재적재 10 | 중계율 0.14 | alpha 2.912 | step_limit
Ep 81 | 드론4 목적지47 | 1000스텝 | 배송 45/47 | 재적재  7 | 중계율 0.14 | alpha 2.897 | step_limit
Ep 82 | 드론4 목적지69 | 1000스텝 | 배송 56/69 | 재적재 10 | 중계율 0.22 | alpha 2.849 | step_limit
Ep 83 | 드론4 목적지31 |  915스텝 | 배송 31/31 | 재적재  5 | 중계율 0.11 | alpha 2.839 | complete
Ep 84 | 드론3 목적지33 | 1000스텝 | 배송 30/33 | 재적재  5 | 중계율 0.15 | alpha 2.819 | step_limit
Ep 85 | 드론3 목적지38 |  893스텝 | 배송 38/38 | 재적재  6 | 중계율 0.14 | alpha 2.825 | complete
Ep 86 | 드론4 목적지24 |  677스텝 | 배송 24/24 | 재적재  3 | 중계율 0.17 | alpha 2.800 | complete
Ep 87 | 드론3 목적지30 |  874스텝 | 배송 30/30 | 재적재  5 | 중계율 0.18 | alpha 2.766 | complete
Ep 88 | 드론3 목적지38 | 1000스텝 | 배송 30/38 | 재적재  5 | 중계율 0.16 | alpha 2.779 | step_limit
Ep 89 | 드론3 목적지57 | 1000스텝 | 배송 41/57 | 재적재  7 | 중계율 0.20 | alpha 2.741 | step_limit
Ep 90 | 드론4 목적지21 |  752스텝 | 배송 21/21 | 재적재  1 | 중계율 0.14 | alpha 2.742 | complete
Ep 91 | 드론4 목적지77 | 1000스텝 | 배송 59/77 | 재적재 10 | 중계율 0.12 | alpha 2.771 | step_limit
Ep 92 | 드론3 목적지69 | 1000스텝 | 배송 38/69 | 재적재  7 | 중계율 0.16 | alpha 2.794 | step_limit
Ep 93 | 드론4 목적지60 | 1000스텝 | 배송 57/60 | 재적재  9 | 중계율 0.11 | alpha 2.799 | step_limit
Ep 94 | 드론4 목적지45 |  883스텝 | 배송 45/45 | 재적재  7 | 중계율 0.14 | alpha 2.775 | complete
Ep 95 | 드론3 목적지71 | 1000스텝 | 배송 56/71 | 재적재 10 | 중계율 0.12 | alpha 2.768 | step_limit
Ep 96 | 드론3 목적지74 | 1000스텝 | 배송 48/74 | 재적재  8 | 중계율 0.13 | alpha 2.753 | step_limit
Ep 97 | 드론4 목적지47 | 1000스텝 | 배송 40/47 | 재적재  7 | 중계율 0.20 | alpha 2.736 | step_limit
Ep 98 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  8 | 중계율 0.16 | alpha 2.684 | step_limit
Ep 99 | 드론4 목적지35 |  894스텝 | 배송 35/35 | 재적재  6 | 중계율 0.16 | alpha 2.653 | complete
Ep 100 | 드론3 목적지40 |  748스텝 | 배송 40/40 | 재적재  6 | 중계율 0.15 | alpha 2.653 | complete
  [홀드아웃] 배송 49.6±1.3 완주 0.91 스텝 1495 점수 111.3 재적재 8.4 2홉+ 0.66 | 최고 111.3@ep100 정체 0/15  ← 갱신
Ep 101 | 드론3 목적지23 |  611스텝 | 배송 23/23 | 재적재  3 | 중계율 0.11 | alpha 2.665 | complete
Ep 102 | 드론3 목적지21 |  878스텝 | 배송 21/21 | 재적재  4 | 중계율 0.16 | alpha 2.646 | complete
Ep 103 | 드론4 목적지72 | 1000스텝 | 배송 68/72 | 재적재 12 | 중계율 0.11 | alpha 2.646 | step_limit
