/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=고정 드론 4 목적지 50 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.25@400 자기회귀=True 홀드아웃상한=3000 선택=makespan/속도가중치=40.0
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:354: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론4 목적지50 | 1000스텝 | 배송 37/50 | 재적재  5 | 중계율 0.09 | alpha 0.100 | step_limit
Ep 2 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  7 | 중계율 0.11 | alpha 0.100 | step_limit
Ep 3 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  7 | 중계율 0.10 | alpha 0.100 | step_limit
Ep 4 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  6 | 중계율 0.12 | alpha 0.100 | step_limit
Ep 5 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  7 | 중계율 0.33 | alpha 0.104 | step_limit
Ep 6 | 드론4 목적지50 |  725스텝 | 배송 50/50 | 재적재  8 | 중계율 0.35 | alpha 0.111 | complete
Ep 7 | 드론4 목적지50 |  847스텝 | 배송 50/50 | 재적재  7 | 중계율 0.40 | alpha 0.120 | complete
Ep 8 | 드론4 목적지50 |  799스텝 | 배송 50/50 | 재적재  7 | 중계율 0.39 | alpha 0.128 | complete
Ep 9 | 드론4 목적지50 |  818스텝 | 배송 50/50 | 재적재  9 | 중계율 0.35 | alpha 0.137 | complete
Ep 10 | 드론4 목적지50 |  956스텝 | 배송 36/50 | 재적재  5 | 중계율 0.35 | alpha 0.148 | no_progress
Ep 11 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  6 | 중계율 0.31 | alpha 0.159 | step_limit
Ep 12 | 드론4 목적지50 |  840스텝 | 배송 50/50 | 재적재  8 | 중계율 0.43 | alpha 0.170 | complete
Ep 13 | 드론4 목적지50 |  758스텝 | 배송 50/50 | 재적재  6 | 중계율 0.40 | alpha 0.179 | complete
Ep 14 | 드론4 목적지50 |  923스텝 | 배송 50/50 | 재적재  8 | 중계율 0.37 | alpha 0.192 | complete
Ep 15 | 드론4 목적지50 |  826스텝 | 배송 50/50 | 재적재  7 | 중계율 0.36 | alpha 0.203 | complete
Ep 16 | 드론4 목적지50 |  653스텝 | 배송 50/50 | 재적재  6 | 중계율 0.30 | alpha 0.212 | complete
Ep 17 | 드론4 목적지50 |  872스텝 | 배송 50/50 | 재적재  7 | 중계율 0.40 | alpha 0.224 | complete
Ep 18 | 드론4 목적지50 |  781스텝 | 배송 50/50 | 재적재  9 | 중계율 0.26 | alpha 0.236 | complete
Ep 19 | 드론4 목적지50 |  690스텝 | 배송 50/50 | 재적재  6 | 중계율 0.32 | alpha 0.247 | complete
Ep 20 | 드론4 목적지50 |  886스텝 | 배송 50/50 | 재적재  7 | 중계율 0.27 | alpha 0.262 | complete
Ep 21 | 드론4 목적지50 |  701스텝 | 배송 50/50 | 재적재  7 | 중계율 0.32 | alpha 0.274 | complete
Ep 22 | 드론4 목적지50 |  828스텝 | 배송 50/50 | 재적재  6 | 중계율 0.33 | alpha 0.289 | complete
Ep 23 | 드론4 목적지50 |  767스텝 | 배송 50/50 | 재적재  7 | 중계율 0.31 | alpha 0.305 | complete
Ep 24 | 드론4 목적지50 |  982스텝 | 배송 50/50 | 재적재  7 | 중계율 0.29 | alpha 0.325 | complete
Ep 25 | 드론4 목적지50 |  877스텝 | 배송 50/50 | 재적재  6 | 중계율 0.41 | alpha 0.344 | complete
Ep 26 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.32 | alpha 0.367 | step_limit
Ep 27 | 드론4 목적지50 |  804스텝 | 배송 50/50 | 재적재  6 | 중계율 0.32 | alpha 0.387 | complete
Ep 28 | 드론4 목적지50 |  846스텝 | 배송 50/50 | 재적재  6 | 중계율 0.32 | alpha 0.409 | complete
Ep 29 | 드론4 목적지50 |  639스텝 | 배송 50/50 | 재적재  8 | 중계율 0.22 | alpha 0.426 | complete
Ep 30 | 드론4 목적지50 |  834스텝 | 배송 50/50 | 재적재  7 | 중계율 0.29 | alpha 0.451 | complete
Ep 31 | 드론4 목적지50 |  850스텝 | 배송 50/50 | 재적재  7 | 중계율 0.34 | alpha 0.477 | complete
Ep 32 | 드론4 목적지50 |  845스텝 | 배송 50/50 | 재적재  7 | 중계율 0.29 | alpha 0.506 | complete
Ep 33 | 드론4 목적지50 | 1000스텝 | 배송 44/50 | 재적재  8 | 중계율 0.23 | alpha 0.542 | step_limit
Ep 34 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.28 | alpha 0.582 | step_limit
Ep 35 | 드론4 목적지50 |  840스텝 | 배송 50/50 | 재적재  8 | 중계율 0.29 | alpha 0.617 | complete
Ep 36 | 드론4 목적지50 |  915스텝 | 배송 50/50 | 재적재  7 | 중계율 0.31 | alpha 0.658 | complete
Ep 37 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  6 | 중계율 0.27 | alpha 0.707 | step_limit
Ep 38 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  7 | 중계율 0.37 | alpha 0.759 | step_limit
Ep 39 | 드론4 목적지50 |  901스텝 | 배송 50/50 | 재적재  7 | 중계율 0.34 | alpha 0.809 | complete
Ep 40 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.29 | alpha 0.868 | step_limit
Ep 41 | 드론4 목적지50 |  803스텝 | 배송 50/50 | 재적재  8 | 중계율 0.29 | alpha 0.917 | complete
Ep 42 | 드론4 목적지50 |  780스텝 | 배송 50/50 | 재적재  7 | 중계율 0.28 | alpha 0.965 | complete
Ep 43 | 드론4 목적지50 |  959스텝 | 배송 50/50 | 재적재  8 | 중계율 0.27 | alpha 1.024 | complete
Ep 44 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  6 | 중계율 0.26 | alpha 1.089 | step_limit
Ep 45 | 드론4 목적지50 |  782스텝 | 배송 50/50 | 재적재  6 | 중계율 0.28 | alpha 1.143 | complete
Ep 46 | 드론4 목적지50 |  885스텝 | 배송 50/50 | 재적재  8 | 중계율 0.30 | alpha 1.202 | complete
Ep 47 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  7 | 중계율 0.36 | alpha 1.270 | step_limit
Ep 48 | 드론4 목적지50 |  941스텝 | 배송 50/50 | 재적재  8 | 중계율 0.31 | alpha 1.336 | complete
Ep 49 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  7 | 중계율 0.31 | alpha 1.411 | step_limit
Ep 50 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  6 | 중계율 0.30 | alpha 1.489 | step_limit
  [홀드아웃] 배송 49.9±1.1 완주 0.99 스텝 936 점수 126.3 재적재 7.8 2홉+ 0.63 | 최고 126.3@ep50 정체 0/15  ← 갱신
Ep 51 | 드론4 목적지50 |  908스텝 | 배송 50/50 | 재적재  8 | 중계율 0.28 | alpha 1.560 | complete
