/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:333: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론6 목적지57 | 1000스텝 | 배송 52/57 | 재적재  8 | 중계율 0.16 | alpha 0.100 | step_limit
Ep 2 | 드론3 목적지50 | 1000스텝 | 배송 37/50 | 재적재  5 | 중계율 0.20 | alpha 0.100 | step_limit
Ep 3 | 드론6 목적지72 | 1000스텝 | 배송 65/72 | 재적재 11 | 중계율 0.14 | alpha 0.100 | step_limit
Ep 4 | 드론3 목적지46 | 1000스텝 | 배송 40/46 | 재적재  7 | 중계율 0.16 | alpha 0.099 | step_limit
Ep 5 | 드론4 목적지58 | 1000스텝 | 배송 40/58 | 재적재  5 | 중계율 0.33 | alpha 0.107 | step_limit
Ep 6 | 드론3 목적지61 | 1000스텝 | 배송 58/61 | 재적재 10 | 중계율 0.30 | alpha 0.118 | step_limit
Ep 7 | 드론3 목적지30 |  658스텝 | 배송 30/30 | 재적재  5 | 중계율 0.35 | alpha 0.124 | complete
Ep 8 | 드론3 목적지69 | 1000스텝 | 배송 60/69 | 재적재 10 | 중계율 0.25 | alpha 0.135 | step_limit
Ep 9 | 드론4 목적지66 | 1000스텝 | 배송 57/66 | 재적재 10 | 중계율 0.31 | alpha 0.146 | step_limit
Ep 10 | 드론4 목적지26 |  530스텝 | 배송 26/26 | 재적재  4 | 중계율 0.30 | alpha 0.152 | complete
Ep 11 | 드론6 목적지32 |  245스텝 | 배송 32/32 | 재적재  3 | 중계율 0.18 | alpha 0.155 | complete
Ep 12 | 드론4 목적지35 |  481스텝 | 배송 35/35 | 재적재  5 | 중계율 0.21 | alpha 0.161 | complete
Ep 13 | 드론4 목적지23 |  339스텝 | 배송 23/23 | 재적재  3 | 중계율 0.25 | alpha 0.165 | complete
Ep 14 | 드론3 목적지61 | 1000스텝 | 배송 55/61 | 재적재  9 | 중계율 0.30 | alpha 0.178 | step_limit
Ep 15 | 드론5 목적지78 |  870스텝 | 배송 78/78 | 재적재 13 | 중계율 0.22 | alpha 0.190 | complete
Ep 16 | 드론6 목적지46 |  409스텝 | 배송 46/46 | 재적재  8 | 중계율 0.20 | alpha 0.195 | complete
Ep 17 | 드론5 목적지74 |  647스텝 | 배송 74/74 | 재적재 13 | 중계율 0.18 | alpha 0.205 | complete
Ep 18 | 드론4 목적지24 |  329스텝 | 배송 24/24 | 재적재  3 | 중계율 0.21 | alpha 0.210 | complete
Ep 19 | 드론5 목적지24 |  455스텝 | 배송 24/24 | 재적재  3 | 중계율 0.26 | alpha 0.217 | complete
Ep 20 | 드론4 목적지66 |  738스텝 | 배송 66/66 | 재적재 11 | 중계율 0.15 | alpha 0.229 | complete
Ep 21 | 드론4 목적지43 |  458스텝 | 배송 43/43 | 재적재  7 | 중계율 0.17 | alpha 0.237 | complete
Ep 22 | 드론4 목적지43 |  404스텝 | 배송 43/43 | 재적재  7 | 중계율 0.13 | alpha 0.245 | complete
Ep 23 | 드론3 목적지22 |  498스텝 | 배송 22/22 | 재적재  4 | 중계율 0.22 | alpha 0.254 | complete
Ep 24 | 드론4 목적지35 |  699스텝 | 배송 35/35 | 재적재  5 | 중계율 0.15 | alpha 0.267 | complete
Ep 25 | 드론5 목적지25 |  365스텝 | 배송 25/25 | 재적재  3 | 중계율 0.23 | alpha 0.275 | complete
Ep 26 | 드론4 목적지79 | 1000스텝 | 배송 75/79 | 재적재 13 | 중계율 0.19 | alpha 0.296 | step_limit
Ep 27 | 드론6 목적지63 |  821스텝 | 배송 63/63 | 재적재 10 | 중계율 0.23 | alpha 0.314 | complete
Ep 28 | 드론3 목적지77 | 1000스텝 | 배송 60/77 | 재적재 10 | 중계율 0.20 | alpha 0.337 | step_limit
Ep 29 | 드론4 목적지34 |  596스텝 | 배송 34/34 | 재적재  4 | 중계율 0.19 | alpha 0.352 | complete
Ep 30 | 드론4 목적지25 |  928스텝 | 배송 25/25 | 재적재  2 | 중계율 0.27 | alpha 0.376 | complete
Ep 31 | 드론6 목적지68 |  543스텝 | 배송 68/68 | 재적재 12 | 중계율 0.14 | alpha 0.391 | complete
Ep 32 | 드론4 목적지79 | 1000스텝 | 배송 75/79 | 재적재 12 | 중계율 0.28 | alpha 0.419 | step_limit
Ep 33 | 드론4 목적지62 | 1000스텝 | 배송 59/62 | 재적재  9 | 중계율 0.24 | alpha 0.450 | step_limit
Ep 34 | 드론4 목적지33 |  451스텝 | 배송 33/33 | 재적재  5 | 중계율 0.17 | alpha 0.465 | complete
Ep 35 | 드론4 목적지26 |  334스텝 | 배송 26/26 | 재적재  4 | 중계율 0.19 | alpha 0.476 | complete
Ep 36 | 드론4 목적지57 |  928스텝 | 배송 57/57 | 재적재  9 | 중계율 0.24 | alpha 0.508 | complete
Ep 37 | 드론4 목적지29 | 1000스텝 | 배송 28/29 | 재적재  4 | 중계율 0.22 | alpha 0.546 | step_limit
Ep 38 | 드론5 목적지63 |  673스텝 | 배송 63/63 | 재적재 11 | 중계율 0.15 | alpha 0.573 | complete
Ep 39 | 드론5 목적지44 |  908스텝 | 배송 44/44 | 재적재  5 | 중계율 0.25 | alpha 0.611 | complete
Ep 40 | 드론6 목적지56 |  480스텝 | 배송 56/56 | 재적재  9 | 중계율 0.12 | alpha 0.633 | complete
Ep 41 | 드론6 목적지21 |  272스텝 | 배송 21/21 | 재적재  1 | 중계율 0.17 | alpha 0.645 | complete
